'a'bei'ye 阿贝耶
'a'bi'da'er 阿比达尔
'a'bu'ba'ka 阿布巴卡
'a'bu'de'er'ka'de'er'kai'ta 阿布德尔卡德尔凯塔
'a'bu'dun 阿布顿
'a'bu'yong'shu 阿部勇樹
'a'de'lai'de 阿德莱德
'a'de'lai'te 阿德莱特
'a'de'le'ye 阿德勒耶
'a'di 阿迪
'a'di'yi'ya 阿迪伊亚
'a'er'ai'yin 阿尔艾因
'a'er'bi'ao'er 阿尔比奥尔
'a'er'di'duo'lei 阿尔蒂多雷
'a'er'fa'luo'li'ao'si 阿尔法罗里奥斯
'a'er'ji'li'ya'dui 阿尔及利亚队
'a'er'ka'la'zi 阿尔卡拉兹
'a'er'ke'ma'er 阿尔克马尔
'a'er'mei'da 阿尔梅达
'a'er'mei'li'ya 阿尔梅里亚
'a'er'sa'de 阿尔萨德
'a'er'se'bo'ka 阿尔瑟博卡
'a'er'wa'lei'si 阿尔瓦雷斯
'a'er'wa'luo'fei'er'nan'de'si 阿尔瓦罗费尔南德斯
'a'er'wa'luo'gang'sa'lei'si 阿尔瓦罗冈萨雷斯
'a'er'wa'luo'pei'lei'la 阿尔瓦罗佩雷拉
'a'er'wei'si 阿尔维斯
'a'fei'lai 阿费莱
'a'fu'la'bi 阿弗拉比
'a'ge 阿格
'a'gen'ting'ban'fei'er'de'dui 阿根廷班菲尔德队
'a'gen'ting'dui 阿根廷队
'a'gen'ting'he'chuang 阿根廷河床
'a'gen'ting'qing'nian'dui 阿根廷青年队
'a'ji'la'er 阿吉拉尔
'a'jia'ke'si 阿贾克斯
'a'jie'yi 阿杰伊
'a'kui'luo 阿奎罗
'a'la'ni'ya 阿拉尼亚
'a'li'si 阿里斯
'a'li'si'di'de'si'zuo'ge'bo 阿里斯蒂德斯佐格博
'a'lu'na'ding'da'nei 阿鲁纳丁达内
'a'mo'a 阿莫阿
'a'na'mu 阿纳姆
'a'nei'er'ka 阿内尔卡
'a'pi'ya 阿皮亚
'a'sa'mo'a 阿萨莫阿
'a'sa'mo'a'ji'an 阿萨莫阿吉安
'a'sai'mu'bei 阿塞姆贝
'a'sen'na 阿森纳
'a'shi'li'ke'er 阿什利科尔
'a'si'dun'wei'la 阿斯顿维拉
'a'wei'luo'ya 阿韦洛亚
'a'xiao'si 阿晓斯
'a'ya'ke'xiao 阿雅克肖
'a'ye'nu'ge'ba 阿耶努格巴
'a'you 阿尤
'a'zu'er 阿祖尔
'ai'de'hua'duo 爱德华多
'ai'ding'sen'ka'wa'ni 爱丁森卡瓦尼
'ai'du 埃杜
'ai'er'de'sen 埃尔德森
'ai'er'nan'de'si 埃尔南德斯
'ai'er'wen'ding'ji'ni'qi 埃尔文丁季尼奇
'ai'fu'dun 埃弗顿
'ai'fu'la 埃夫拉
'ai'ji'de 埃吉德
'ai'ji'man 埃吉曼
'ai'ke'te 埃克特
'ai'la'nuo 埃拉诺
'ai'li'ao'te 埃利奥特
'ai'li'ke'jian'de'li'sai'ke 埃里克简德里塞克
'ai'li'ke'sen 埃里克森
'ai'li'si'gong'yuan'qiu'chang 埃利斯公园球场
'ai'li'ya 埃利亚
'ai'ma'na 埃马纳
'ai'man'nu'ai'er'ai'bu'ai 埃曼努埃尔埃布埃
'ai'man'nu'ai'er'ke'nei 埃曼努埃尔科内
'ai'si'pa'nuo'la'lian'dui 艾斯帕诺拉联队
'ai'si'pi'nuo'sa 埃斯皮诺萨
'ai'si'te'la'da 埃斯特拉达
'ai'tuo'ao 埃托奥
'ai'yin'huo'wen 埃因霍温
'ai'zi'kui'er 埃兹奎尔
'an'de'la'zi'ka'mu 安德拉兹卡姆
'an'de'lei'si'si'ke'di 安德雷斯斯科蒂
'an'de'lie'ke'ma'qi 安德烈科马奇
'an'du'ha'er 安杜哈尔
'an'ka'la 安卡拉
'an'ka'la'gao'gu 安卡拉高古
'an'nan 安南
'an'ta'li'ya 安塔利亚
'an'ying'xue 安英学
'an'zhe'he 安哲赫
'an'zhen'huan 安贞焕
'ao'ba'xi 奥巴西
'ao'bi'na 奥比纳
'ao'bu'la'duo'wei'qi 奥布拉多维奇
'ao'da'li'ya'dui 澳大利亚队
'ao'da'li'ya'huang'jin'hai'an'lian'dui 澳大利亚黄金海岸联队
'ao'de'mu'wen'ji 奥德姆温吉
'ao'di'ya'he 奥迪亚赫
'ao'er'di'ge'sa 奥尔蒂戈萨
'ao'er'hu'si 奥尔胡斯
'ao'er'sen 奥尔森
'ao'er'ya'zi'la 奥尔亚兹拉
'ao'ge 奥戈
'ao'he'de 奥赫德
'ao'huo'er'lu 奥霍尔鲁
'ao'ke'lan'cheng 奥克兰城
'ao'lei'la'na 奥雷拉纳
'ao'lin'pi'ya 奥林匹亚
'ao'lin'pi'ya'ke'si 奥林匹亚科斯
'ao'mo'ni'ya 奥莫尼亚
'ao'nie'wu 奥涅乌
'ao'qiao'ya 奥乔亚
'ao'si'ka'ta'ba'lei'zi 奥斯卡塔巴雷兹
'ao'si'man'cha'wei'si 奥斯曼查韦斯
'ao'suo'li'ao 奥索里奥
'ao'ta'men'di 奥塔门迪
'ao'tuo'lei'ha'ge'er 奥托雷哈格尔
'ao'ye 奥耶
'ba'bei'er 巴贝尔
'ba'de'si'tu'bei'er 巴德斯图贝尔
'ba'er'de'si 巴尔德斯
'ba'er'di'wei'ya 巴尔迪维亚
'ba'er'lei'tuo 巴尔雷托
'ba'ke'man 巴克曼
'ba'la'duo'li'de 巴拉多利德
'ba'la'gui'dui 巴拉圭队
'ba'la'ke 巴拉克
'ba'le'mo 巴勒莫
'ba'lei'la 巴雷拉
'ba'lei'tuo 巴雷托
'ba'li 巴里
'ba'li'ao'si 巴里奥斯
'ba'long 巴隆
'ba'lun'xi'ya 巴伦西亚
'ba'nei'ta 巴内塔
'ba'pu'di'si'ta 巴普蒂斯塔
'ba'sa 巴萨
'ba'sai'er 巴塞尔
'ba'sai'luo'na 巴塞罗那
'ba'si'tuo'si 巴斯托斯
'ba'song 巴松
'ba'xi'bo'ta'fu'ge 巴西博塔弗戈
'ba'xi'dui 巴西队
'bai'en'si 拜恩斯
'bai'ren 拜仁
'bai'ren'mu'ni'hei 拜仁慕尼黑
'ban'na'di'ni 班纳蒂尼
'bao'di'si'ta 保蒂斯塔
'bao'luo'fei'lei'la 保罗费雷拉
'bao'luo'ni 保洛尼
'bei'di'si 贝蒂斯
'bei'er'ge'lai'de'you'ji'dui 贝尔格莱德游击队
'bei'er'ha'ji 贝尔哈吉
'bei'er'sa 贝尔萨
'bei'er'tuo'si 贝尔托斯
'bei'gen 贝根
'bei'he'la'mi 贝赫拉米
'bei'ke 贝克
'bei'la 贝拉
'bei'la'yi'de 贝拉伊德
'bei'long 贝隆
'bei'na'ge'li'ao 贝纳格里奥
'bei'ni'te'si 贝尼特斯
'bei'qie'mu'qie'er'xi 贝切姆切尔西
'bei'tuo 贝托
'bei'xi'ke'ta'si 贝西克塔斯
'ben'fei'ka 本菲卡
'ben'jie'ming'bu'luo'an'gao'ya 本杰明布罗安高亚
'ben'te'na 本特纳
'ben'tian'gui'you 本田圭佑
'bi'da'er 比达尔
'bi'da'ti'ka'wa'xia'pu'er 彼达提卡瓦夏普尔
'bi'er'ba'e 毕尔巴鄂
'bi'la'er 比拉尔
'bi'le'tuo'li'ya 比勒陀利亚
'bi'li'ya 比利亚
'bi'li'ya'lei'ya'er 比利亚雷亚尔
'bi'si'li 比斯利
'biao'zhun'lie'ri 标准列日
'bo'a'teng 博阿滕
'bo'ba'di'la 博巴迪拉
'bo'ba'ka'ba'li 博巴卡巴里
'bo'de'bu'zi 博德布兹
'bo'duo'er'si'ji 波多尔斯基
'bo'en 博恩
'bo'en'si'te'en 博恩斯特恩
'bo'er'dun 博尔顿
'bo'er'duo 波尔多
'bo'er'ni'nian'qing'nan'hai 伯尔尼年轻男孩
'bo'er'ni'nian'qing'ren 伯尔尼年轻人
'bo'er'tu 波尔图
'bo'hong 波鸿
'bo'ka'nei'la 博卡内拉
'bo'ka'qing'nian 博卡青年
'bo'kai'di 博凯蒂
'bo'la'di 博拉蒂
'bo'la'lu'zi 博拉鲁兹
'bo'lin'he'ta 柏林赫塔
'bo'luo'ke'wa'ni 波罗克瓦尼
'bo'luo'ni'ya 博洛尼亚
'bo'nei'te 博内特
'bo'nie'ke'jia'xi'ya 博涅克加西亚
'bo'nu'qi 博努奇
'bo'sai'hao'er 博塞豪尔
'bo'shi'qie'ke 博施切克
'bo'si'ke 博斯克
'bo'si'te'yang'sai'sa'er 波斯特杨塞萨尔
'bo'te'nuo'shan'qiu 波特诺山丘
'bo'yang'yue'ji'qi 博杨约基奇
'bo'ye'en'si 博耶恩斯
'bo'zuo 波佐
'bu'de'er 布德尔
'bu'er'di'suo 布尔迪索
'bu'feng 布冯
'bu'ge'he'la 布格赫拉
'bu'jia'le'si'te'kuai'su 布加勒斯特快速
'bu'jia'le'si'te'xing 布加勒斯特星
'bu'la'de'li 布拉德利
'bu'la'de'qiong'si 布拉德琼斯
'bu'la'di'si'la'si'luo'wan 布拉迪斯拉斯洛万
'bu'la'fu'hai'de 布拉夫海德
'bu'la'ge'si'ba'da 布拉格斯巴达
'bu'la'jia 布拉加
'bu'la'wo 布拉沃
'bu'lai'ke'ben 布莱克本
'bu'lai'mei 不莱梅
'bu'lai'mei 不来梅
'bu'lan'ke 布兰科
'bu'lan'ke'li'qi 布兰科里奇
'bu'lang 布朗
'bu'lei'da 布雷达
'bu'lei'te'ai'mo'dun 布雷特埃莫顿
'bu'lei'te'huo'er'man 布雷特霍尔曼
'bu'long'de'bi 布隆德比
'bu'long'fang'dan 布隆方丹
'bu'lu'nuo'a'er'wei'si 布鲁诺阿尔维斯
'bu'lu'ri 布鲁日
'bu'luo'ke'ji 布罗克基
'bu'si 布斯
'bu'si'ke'ci 布斯克茨
'bu'te 布特
'cha'ao'qi 查奥奇
'cha'ba'la'la 查巴拉拉
'cha'er'ji'ya'si 查尔基亚斯
'cha'li'si'te'ya'si 查理斯特亚斯
'chang'gu'bu'cheng 长谷部诚
'chang'you'you'dou 长友佑都
'chao'xian'dui 朝鲜队
'che'du'li 车杜里
'che'zheng'he 车正赫
'cheng'nan'yi'he 城南一和
'chuan'dao'yong'si 川岛永嗣
'chuan'kou'neng'huo 川口能活
'chuan'qi'qian'feng 川崎前锋
'cui'jin'zhe 崔金哲
'da'er'yang'ma'di'qi 达尔杨马蒂奇
'da'gong'song'shu 大宫松鼠
'da'jiu'bao'jia'ren 大久保嘉人
'da'lei'wei'er'xi'qi 达雷威尔西奇
'da'li'ao'wei'duo'xi'qi 达里奥维多西奇
'da'li'bo'er'si'te'wan'nuo'wei'qi 达利波尔斯特万诺维奇
'da'lun'ben'te 达伦本特
'da'ni 达尼
'da'ni'er'fei'er'nan'de'si 达尼尔费尔南德斯
'da'ni'luo'tu'er'xi'ao'si 达尼罗图尔西奥斯
'da'wei'su'ya'zuo 大卫苏亚佐
'da'xi'er'wa 达席尔瓦
'dai'wei'si 戴维斯
'dan'mai'dui 丹麦队
'dan'mai'mi'di'lan'de 丹麦米迪兰德
'dan'ni'er'ye'bo'ya 丹尼尔叶博亚
'dao'ben'run'yi 稲本潤一
'dao'sen 道森
'de'ban 德班
'de'ban'qiu'chang 德班球场
'de'er'di'yue'ke 德尔迪约克
'de'guo'dui 德国队
'de'guo'fu'lai'bao 德国弗赖堡
'de'jie'bu'er 德杰布尔
'de'ke 德科
'de'luo'ba 德罗巴
'de'luo'xi 德罗西
'de'mei'li'te 德梅里特
'de'mi'kai'li'si 德米凯利斯
'de'rong 德容
'de'sang'ke'di'si 德桑克蒂斯
'de'yang'ji'xia 德杨基夏
'de'yue'li'qi 德约利奇
'de'ze'wu 德泽乌
'deng'di'lian 邓迪联
'deng'jia 邓加
'deng'pu'xi 邓普希
'di'ao'te 迪奥特
'di'di'er'zuo'ke'la 迪迪尔佐科拉
'di'fu 迪福
'di'ha'shi'wa 迪哈施瓦
'di'ke'xun'ai'tu'hu 迪克逊埃图胡
'di'ma'li'ya 迪马里亚
'di'mi'shen'wa'la 蒂米什瓦拉
'di'mu'ge'luo'ning 蒂姆格罗宁
'di'na'ta'lai 迪纳塔莱
'di'ya'bi 迪亚比
'di'ya'ge 迪亚哥
'di'ya'ge'xi'er'wa 蒂亚戈席尔瓦
'di'ya'la 迪亚拉
'die'ge'fu'lan 迭戈弗兰
'die'ge'ge'ding 迭戈戈丁
'die'ge'lu'jia'nuo 迭戈卢加诺
'die'ge'pei'lei'si 迭戈佩雷斯
'du'da 杜达
'du'sang'ku'xi'ya'ke 杜桑库西亚克
'du'sang'pei'er'ni'si 杜桑佩尔尼斯
'duo'mei'nei'ke 多梅内克
'duo'ni 多尼
'duo'ni'si'ai'si'ku'bo 多尼斯埃斯库伯
'duo'nuo'wan 多诺万
'duo'si'sang'tuo'si 多斯桑托斯
'duo'te'meng'de 多特蒙德
'e'luo'si'tuo'mu'si'ke 俄罗斯托姆斯克
'e'pu'sen 厄普森
'e'qi'er 厄齐尔
'en'gu'er'mo 恩古尔莫
'en'ji'ta'pu 恩吉塔普
'en'ku'fu 恩库福
'en'ku'lu 恩库鲁
'en'ye'ma 恩耶马
'fa'bi'ao'ke'en'te'lao 法比奥科恩特劳
'fa'bi'ya'nuo 法比亚诺
'fa'bu'lei'jia'si 法布雷加斯
'fa'guo'dui 法国队
'fa'guo'mo'na'ge 法国摩纳哥
'fa'jia'mo'na'ge 法甲摩纳哥
'fa'lan'ke'fu 法兰克福
'fa'lun 法伦
'fan'bo'mei'er 范博梅尔
'fan'bu'long'ke'huo'si'te 范布隆克霍斯特
'fan'de'fa'te 范德法特
'fan'de'wei'er 范德维尔
'fan'ma'er'wei'ke 范马尔维克
'fan'pei'xi 范佩西
'fei'di'nan'de 费迪南德
'fei'er'ha'bo 费尔哈伯
'fei'er'nan'de'si 费尔南德斯
'fei'er'nan'duo'mu'si'lai'la 费尔南多穆斯莱拉
'fei'ge'luo'a 菲戈罗阿
'fei'li'pu'huo'luo'si'ke 菲利普霍洛斯科
'fei'luo 菲罗
'fei'ye'nuo'de 费耶诺德
'fei'zhou'shi'ke 非洲时刻
'fen'de'li 芬德利
'fo'luo'lun'sa 佛罗伦萨
'fu'en'te'si 富恩特斯
'fu'la'men'ge 弗拉门戈
'fu'lang'ge 弗朗哥
'fu'le'mu 富勒姆
'fu'lei 弗雷
'fu'lei'bao 弗雷堡
'fu'li'de'li'xi 弗里德里希
'fu'yi'fu'ding'na 伏伊伏丁那
'gai'yi'de'mei'er 盖伊德梅尔
'gang'qi'shen'si 冈崎慎司
'gang'tian'wu'shi 冈田武史
'ge'ben'ha'gen 哥本哈根
'ge'ke'jia'ka 格科加卡
'ge'la'fei'te 格拉菲特
'ge'la'na'da 格拉纳达
'ge'la'si'ge'liu'lang'zhe 格拉斯哥流浪者
'ge'le'nuo'bu'er 格勒诺布尔
'ge'li'xi'ting 格里希廷
'ge'lin 格林
'ge'lun'xia'er 格伦夏尔
'ge'lun'yue'han'xun 格伦约翰逊
'ge'luo'ning'gen 格罗宁根
'ge'mai'si 戈麦斯
'ge'suo 戈索
'ge'wa'la 格瓦拉
'ge'wu 戈武
'ge'zha'er 格扎尔
'gen'te 根特
'gu'de'sen 古德森
'gu'di'ao'la 古迪奥拉
'gu'er'ku'fu 古尔库夫
'gu'la'rui'qi 古拉瑞奇
'gu'tie'lei'si 古铁雷斯
'gu'zan 古赞
'gua'er'da'duo 瓜尔达多
'guang'zhou'shang'wu 光州尚武
'guo'ji'a'er'jie'shen 国际阿尔杰什
'guo'ji'mi'lan 国际米兰
'guo'tai'hui 郭泰辉
'ha'bu'ni 哈布尼
'ha'er'nu'ya 哈尔努亚
'ha'kan'ya'jin 哈坎雅金
'ha'la 哈拉
'ha'li'qie 哈利切
'ha'ma'luo 哈马罗
'ha'nei'man 哈内曼
'ha'wei 哈维
'ha'wei'a'long'suo 哈维阿隆索
'ha'wei'ma'ding'nei'si 哈维马丁内斯
'hai'ting'jia 海廷加
'hai'yin'ce 海因策
'han'bao 汉堡
'han'guo'dui 韩国队
'han'nuo'wei 汉诺威
'he'de'er'si'tong 赫德尔斯通
'he'di'la 赫迪拉
'he'er'bo'te 赫尔伯特
'he'er'cheng 赫尔城
'he'jia'a'jia'ke'si 荷甲阿贾克斯
'he'jia'a'jia'ke'si'dui 荷甲阿贾克斯队
'he'lan'dui 荷兰队
'he'lei'si 赫雷斯
'he'si'ji 赫斯基
'he'ta'fei 赫塔费
'he'wei 贺炜
'heng'de'li'tuo'ma'si 亨得利托马斯
'heng'li 亨利
'heng'te'la'er 亨特拉尔
'hong'du'la'si'dui 洪都拉斯队
'hong'ying'zao 洪映早
'hu'an 胡安
'hu'an'ka'si'di'lue 胡安卡斯蒂略
'hu'hu'sai'la 呼呼塞拉
'hu'lei'si 胡雷斯
'hu'li'ao'sai'sa'er 胡里奥塞萨尔
'hua'sha'lai'ji'ya 华沙莱吉亚
'huang'jia'ba'fu'ken'qiu'chang 皇家巴弗肯球场
'huang'jia'ma'de'li 皇家马德里
'huang'jia'she'hui 皇家社会
'huang'jin'hai'an 黄金海岸
'huang'ma 皇马
'huang'you'shou 黄油手
'hui'ling'dun'dui 惠灵顿队
'hui'ling'dun'feng'huang 惠灵顿凤凰
'huo'er'deng 霍尔登
'huo'fen'hai'mu 霍芬海姆
'huo'hua'de 霍华德
'ji'ao'wa'ni 吉奥瓦尼
'ji'duo'da'xue 基多大学
'ji'er'bo'tuo 吉尔伯托
'ji'er'bo'tuo'xi'er'wa 吉尔伯托席尔瓦
'ji'er'jia'ke'si 基尔贾科斯
'ji'fu'di'na'mo 基辅迪纳摩
'ji'la'di'nuo 吉拉迪诺
'ji'lun 基伦
'ji'ni'ya'ke 吉尼亚克
'ji'si'lin 基斯林
'ji'ye'li'ni 基耶里尼
'ji'zhou'lian'dui 济州联队
'jia'ao'wei 加奥维
'jia'er'sai 加尔塞
'jia'kua 加夸
'jia'la 加拉
'jia'la'ta'sa'lei 加拉塔萨雷
'jia'li 加里
'jia'li'te'xi'ao'si 加里特西奥斯
'jia'lu'a 贾鲁阿
'jia'ma'la 加马拉
'jia'na'dui 加纳队
'jia'sen'ku'li'na 贾森库里纳
'jia'tu'suo 加图索
'jiang'min'shou 姜敏寿
'jie'er'wei'si'kua'xi 杰尔维斯夸西
'jie'la'de 杰拉德
'jin'dong'jin 金东进
'jin'fu'jiong 金甫炅
'jin'heng'yi 金亨益
'jin'jin'yi 金锦一
'jin'ming'ji 金明吉
'jin'ming'yuan 金明元
'jin'nan'yi 金南一
'jin'sen 金森
'jin'ye'tai'xing 今野泰幸
'jin'yong'guang 金永光
'jin'yong'jun 金永峻
'jin'zai'cheng 金在成
'jin'zheng'xun 金正勋
'jin'zheng'you 金正友
'ju'ye'you'yi 驹野友一
'ju'zi'zhe 具子哲
'ka'cha'er 卡查尔
'ka'chu'la'ni'si 卡楚拉尼斯
'ka'de'er 卡德尔
'ka'duo'zuo 卡多佐
'ka'er'wa'lai'li 卡尔瓦莱利
'ka'ka 卡卡
'ka'kao 卡考
'ka'la'ge 卡拉格
'ka'la'gu'ni'si 卡拉古尼斯
'ka'la'suo 卡拉索
'ka'li'ke 卡里克
'ka'li'mei'zhou 卡利美洲
'ka'li'ya'li 卡利亚里
'ka'lu 卡卢
'ka'lu'wu'qie 卡鲁乌切
'ka'lun'bo'ge 卡伦伯格
'ka'luo'si'pa'wen 卡洛斯帕文
'ka'mai'long'dui 喀麦隆队
'ka'mei'ni 卡梅尼
'ka'mi'er'ke'pu'nei'ke 卡米尔科普内科
'ka'mo'la'nei'xi 卡莫拉内西
'ka'mo'na 卡莫纳
'ka'na'wa'luo 卡纳瓦罗
'ka'ni'sa 卡尼萨
'ka'nu 卡努
'ka'pei'luo 卡佩罗
'ka'pei'ta'ni'ao'si 卡佩塔尼奥斯
'ka'pu'de'wei'la 卡普德维拉
'ka'sai'lei'si 卡塞雷斯
'ka'si'te'luo 卡斯特罗
