'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'a'gui'yang'xue'ke'li 阿归养血颗粒
'a'gui'yang'xue'kou'fu'ye 阿归养血口服液
'a'gui'yang'xue'tang'jiang 阿归养血糖浆
'a'la'tan'wu'wei'wan 阿拉坦五味丸
'a'li'hong'ke'chuan'kou'fu'ye 阿里红咳喘口服液
'a'na'er'fu'jie'ye 阿娜尔妇洁液
'a'na'ri'ba'wei'san 阿那日八味散
'a'na'ri'shi'si'wei'san 阿那日十四味散
'a'na'ri'wu'wei'san 阿那日五味散
'a'wei'ba'wei'wan 阿魏八味丸
'a'wei'hua'pi'gao 阿魏化痞膏
'a'zhen'yang'xue'kou'fu'ye 阿珍养血口服液
'ai'di'zhu'she'ye 艾迪注射液
'ai'fu'nuan'gong'wan 艾附暖宫丸
'ai'wei'xin'kou'fu'ye 爱维心口服液
'ai'ye'you'jiao'nang 艾叶油胶囊
'ai'ye'you'ruan'jiao'nang 艾叶油软胶囊
'ai'yu'jiao'nang 艾愈胶囊
'an'chuan'pian 安喘片
'an'duo'lin'jiao'nang 安多霖胶囊
'an'er'mian'jiao'nang 安尔眠胶囊
'an'er'mian'ke'li 安尔眠颗粒
'an'er'mian'tang'jiang 安尔眠糖浆
'an'er'ning'ke'li 安儿宁颗粒
'an'gong'jiang'ya'wan 安宫降压丸
'an'gong'niu'huang'jiao'nang 安宫牛黄胶囊
'an'gong'niu'huang'pian 安宫牛黄片
'an'gong'niu'huang'san 安宫牛黄散
'an'gong'niu'huang'shuan 安宫牛黄栓
'an'gong'niu'huang'wan 安宫牛黄丸
'an'gong'zhi'xue'gao 安宫止血膏
'an'gong'zhi'xue'ke'li 安宫止血颗粒
'an'gong'zhi'xue'wan 安宫止血丸
'an'jun'ning 安君宁
'an'kang'jiao'nang 安康胶囊
'an'kang'ke'li 安康颗粒
'an'kang'pian 安康片
'an'kang'xin'bao'wan 安康心宝丸
'an'kang'xin'jiao'nang 安康欣胶囊
'an'kun'jiao'nang 安坤胶囊
'an'kun'ke'li 安坤颗粒
'an'kun'pian 安坤片
'an'kun'zan'yu'wan 安坤赞育丸
'an'le'jiao'nang 安乐胶囊
'an'le'pian 安乐片
'an'luo'hua'xian'wan 安络化纤丸
'an'luo'tong'ding 安络痛酊
'an'luo'tong'jiao'nang 安络痛胶囊
'an'luo'tong'pian 安络痛片
'an'luo'tong'yao'jiu 安络痛药酒
'an'mian'bu'nao'ke'li 安眠补脑颗粒
'an'mian'bu'nao'kou'fu'ye 安眠补脑口服液
'an'mian'bu'nao'tang'jiang 安眠补脑糖浆
'an'mo'ru 按摩乳
'an'nao'niu'huang'jiao'nang 安脑牛黄胶囊
'an'nao'niu'huang'pian 安脑牛黄片
'an'nao'pian 安脑片
'an'nao'wan 安脑丸
'an'qi'kang'kou'fu'ye 氨杞康口服液
'an'shen'bao'ke'li 安神宝颗粒
'an'shen'bu'nao'fen'san'pian 安神补脑分散片
'an'shen'bu'nao'jiao'nang 安神补脑胶囊
'an'shen'bu'nao'ke'li 安神补脑颗粒
'an'shen'bu'nao'pian 安神补脑片
'an'shen'bu'nao'ruan'jiao'nang 安神补脑软胶囊
'an'shen'bu'nao'ye 安神补脑液
'an'shen'bu'qi'wan 安神补气丸
'an'shen'bu'xin'jiao'nang 安神补心胶囊
'an'shen'bu'xin'ke'li 安神补心颗粒
'an'shen'bu'xin'liu'wei'wan 安神补心六味丸
'an'shen'bu'xin'pian 安神补心片
'an'shen'bu'xin'wan 安神补心丸
'an'shen'jian'nao'ye 安神健脑液
'an'shen'jiao'nang 安神胶囊
'an'shen'ke'li 安神颗粒
'an'shen'ning 安神宁
'an'shen'pian 安神片
'an'shen'shuang'nao'kou'fu'ye 安神爽脑口服液
'an'shen'tang'jiang 安神糖浆
'an'shen'wan 安神丸
'an'shen'wan 安肾丸
'an'shen'wen'dan'wan 安神温胆丸
'an'shen'yang'xin'wan 安神养心丸
'an'shen'yang'xue'kou'fu'ye 安神养血口服液
'an'shen'yi'nao'wan 安神益脑丸
'an'shen'zhen'jing'er'shi'wei'wan 安神镇惊二十味丸
'an'shen'zu'ye 安神足液
'an'sou'hua'tan'wan 安嗽化痰丸
'an'sou'pian 安嗽片
'an'sou'tang'jiang 安嗽糖浆
'an'tai'wan 安胎丸
'an'tai'yi'mu'wan 安胎益母丸
'an'ti'ke'jiao'nang 安替可胶囊
'an'wei'jiao'nang 安胃胶囊
'an'wei'ke'li 安胃颗粒
'an'wei'pian 安胃片
'an'wei'yang'jiao'nang 安胃疡胶囊
'an'wei'zhi'tong'jiao'nang 安胃止痛胶囊
'an'wei'zhi'tong'pian 安胃止痛片
'an'wei'zhi'tong'san 安胃止痛散
'an'yang'gao'yao 安阳膏药
'an'yang'gu'ben'gao 安阳固本膏
'an'yang'jing'zhi'gao 安阳精制膏
'an'zhong'pian 安中片
'ao'dong'zhuang'shen'wan 敖东壮肾丸
'ao'tai'le'jiao'nang 澳泰乐胶囊
'ao'tai'le'ke'li 澳泰乐颗粒
'ao'tai'le'pian 澳泰乐片
'ba'bao'bo'yun'san 八宝拨云散
'ba'bao'dan 八宝丹
'ba'bao'dan'jiao'nang 八宝丹胶囊
'ba'bao'jing'feng'san 八宝惊风散
'ba'bao'kun'shun'wan 八宝坤顺丸
'ba'bao'rui'sheng'wan 八宝瑞生丸
'ba'bao'wu'dan'yao'mo 八宝五胆药墨
'ba'bao'yan'she'san 八宝盐蛇散
'ba'bao'yan'yao 八宝眼药
'ba'bao'yu'shu'wan 八宝玉枢丸
'ba'bao'zhen'jing'wan 八宝镇惊丸
'ba'du'gao 拔毒膏
'ba'du'sheng'ji'san 拔毒生肌散
'ba'hen'zhi'yang'ruan'hua'gao 疤痕止痒软化膏
'ba'hen'zhi'yang'ruan'hua'ru'gao 疤痕止痒软化乳膏
'ba'ji'bu'jiu 巴戟补酒
'ba'ji'bu'shen'wan 巴戟补肾丸
'ba'ji'jiao'nang 巴戟胶囊
'ba'ji'kou'fu'ye 巴戟口服液
'ba'ji'tian'gua'tang'jiao'nang 巴戟天寡糖胶囊
'ba'ji'zhen'yang'jiao'nang 巴戟振阳胶囊
'ba'jiao'hui'xiang'shui 八角茴香水
'ba'li'san 八厘散
'ba'sang'mu'su'you'ke'li 巴桑母酥油颗粒
'ba'sang'mu'su'you'wan 巴桑母酥油丸
'ba'te'ri'qi'wei'wan 巴特日七味丸
'ba'wei'an'ning'san 八味安宁散
'ba'wei'chen'xiang'jiao'nang 八味沉香胶囊
'ba'wei'chen'xiang'pian 八味沉香片
'ba'wei'chen'xiang'san 八味沉香散
'ba'wei'chen'xiang'wan 八味沉香丸
'ba'wei'di'huang'ning'xin'kou'fu'ye 八味地黄宁心口服液
'ba'wei'he'wei'kou'fu'ye 八味和胃口服液
'ba'wei'qi'long'ke'li 八味芪龙颗粒
'ba'wei'qin'pi'jiao'nang 八味秦皮胶囊
'ba'wei'qin'pi'wan 八味秦皮丸
'ba'wei'rou'gui'jiao'nang 八味肉桂胶囊
'ba'wei'san'xiang'san 八味三香散
'ba'wei'shen'qi'wan 八味肾气丸
'ba'wei'shi'hui'hua'wan 八味石灰华丸
'ba'wei'tan'xiang'san 八味檀香散
'ba'wei'tan'xiang'wan 八味檀香丸
'ba'wei'tong'jing'jiao'nang 八味痛经胶囊
'ba'wei'tong'jing'ke'li 八味痛经颗粒
'ba'wei'tong'jing'pian 八味痛经片
'ba'wei'xi'hong'hua'qing'gan're'jiao'nang 八味西红花清肝热胶囊
