'a'wei 阿魏
'ai'di'cha 矮地茶
'ai'ye 艾叶
'an'xi'xiang 安息香
'ba'dou 巴豆
'ba'dou'shuang 巴豆霜
'ba'ji'rou 巴戟肉
'ba'ji'tian 巴戟天
'ba'jiao'hui'xiang 八角茴香
'ba'qia 菝葜
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'fan 白矾
'bai'fu'zi 白附子
'bai'guo 白果
'bai'guo'ren 白果仁
'bai'he 百合
'bai'ji 白及
'bai'lian 白蔹
'bai'mao'gen 白茅根
'bai'qian 白前
'bai'qu'cai 白屈菜
'bai'shao 白芍
'bai'tang'can 白糖参
'bai'tou'weng 白头翁
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'ren 柏子仁
'bai'zi'ren'shuang 柏子仁霜
'ban'bian'lian 半边莲
'ban'lan'gen 板蓝根
'ban'mao 斑蝥
'ban'xia 半夏
'ban'zhi'lian 半枝莲
'bao'ma'zi'pi 暴马子皮
'bei'chai'hu 北柴胡
'bei'dou'gen 北豆根
'bei'liu'ji'nu 北刘寄奴
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cheng'qie 荜澄茄
'bi'ma'zi 蓖麻子
'bian'xu 萹蓄
'bie'jia 鳖甲
'bie'jia'jiao 鳖甲胶
'bing'lang 槟榔
'bo'he 薄荷
'bu'gu'zhi 补骨脂
'bu'zha'ye 布渣叶
'cang'chang'pu 藏菖蒲
'cang'er'zi 苍耳子
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'guo'ren 草果仁
'cao'wu 草乌
'cao'wu'ye 草乌叶
'ce'bai'tan 侧柏炭
'ce'bai'ye 侧柏叶
'chai'hu 柴胡
'chan'ku'xing'ren 燀苦杏仁
'chan'shan'tao'ren 燀山桃仁
'chan'su 蟾酥
'chan'su'fen 蟾酥粉
'chan'tao'ren 燀桃仁
'chan'tui 蝉蜕
'chang'shan 常山
'chao'bing'lang 炒槟榔
'chao'cang'er'zi 炒苍耳子
'chao'chong'wei'zi 炒茺蔚子
'chao'dao'ya 炒稻芽
'chao'gu'ya 炒谷芽
'chao'gua'lou'zi 炒瓜蒌子
'chao'hua'jiao 炒花椒
'chao'huai'hua 炒槐花
'chao'ji'li 炒蒺藜
'chao'ji'nei'jin 炒鸡内金
'chao'jiang'can 炒僵蚕
'chao'jie'zi 炒芥子
'chao'ku'xing'ren 炒苦杏仁
'chao'lai'fu'zi 炒莱菔子
'chao'man'jing'zi 炒蔓荆子
'chao'qian'niu'zi 炒牵牛子
'chao'sang'zhi 炒桑枝
'chao'shan'tao'ren 炒山桃仁
'chao'shi'jun'zi'ren 炒使君子仁
'chao'suan'zao'ren 炒酸枣仁
'chao'ting'li'zi 炒葶苈子
'chao'xian'hong'shen 朝鲜红参
'chao'zhi'zi 炒栀子
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'pi 陈皮
'chen'xiang 沉香
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'xiao'dou 赤小豆
'chong'bai'la 虫白蜡
'chong'lou 重楼
'chong'wei'zi 茺蔚子
'chou'ling'dan'cao 臭灵丹草
'chu'shi'zi 楮实子
'chuan'bei'mu 川贝母
'chuan'lian'zi 川楝子
'chuan'mu'tong 川木通
'chuan'mu'xiang 川木香
'chuan'niu'xi 川牛膝
'chuan'shan'jia 穿山甲
'chuan'shan'long 穿山龙
'chuan'she'gan 川射干
'chuan'wu 川乌
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chui'pen'cao 垂盆草
'chun'pi 椿皮
'ci'shi 磁石
'ci'wu'jia 刺五加
'cu'bei'chai'hu 醋北柴胡
'cu'bie'jia 醋鳖甲
'cu'e'zhu 醋莪术
'cu'gan'sui 醋甘遂
'cu'gui'jia 醋龟甲
'cu'ji'nei'jin 醋鸡内金
