'bei'chuan'qian'er 北川谦二
'bian'cheng'ying'hua'shu 变成樱花树
'ceng'bu'xie'yi'gu'de'ai'qing 曾不屑一顾的爱情
'chong'shang'ma'li'zi 崇尚麻里子
'da'sheng'zuan'shi 大声钻石
'fa'gu 发箍
'fei'xiang'ru'shou 飞翔入手
'feng'zheng'zai'chui 风正在吹
'ge'zi'hua'wen 格子花纹
'ji'hui'de'shun'xu 机会的顺序
'jing'xi'zhi'lei 惊喜之泪
'lang'man'bu'xu'yao 浪漫不需要
'ma'wei'yu'fa'quan 马尾与发圈
'ni'zheng'zai'kan'zhe'xi'yang'ma 你正在看着夕阳吗
'nian'ying 年樱
'po'lang'bao'bing 破浪刨冰
'qun'bai'piao'piao 裙摆飘飘
'shi'jie'kou 是借口
'wo'de'tai'yang 我的太阳
'wu'xian'chong'bo 无限重播
'xiang'jian'ni 想见你
'ying'hua'de'hua'ban'men 樱花的花瓣们
'ying'hua'yin'ji 樱花印记
'yong'yuan'de'ya'li 永远的压力
'zhi'fu'zhen'ai'shi 制服真碍事
