'bai'ye'chuang 百叶窗
'bao'guang'fei 曝光废
'bao'liu'xi'jie'fang'da 保留细节放大
'bao'liu'yan'se 保留颜色
'bei'xi'er'qu'xian'jiao'xing 贝喜尔曲线交形
'beng'chen'yu'hua'hen 泵尘与划痕
'bian'hao 编号
'bian'ji 编辑
'bian'jiao'ding'wei 边角定位
'bian'yi 编移
'bian'yuan'xie'mian 边缘斜面
'biao'da'shi'kong'zhi 表达式控制
'bo'wen 波纹
'bo'xing'bian'xing 波形变形
'bo'xing'huan'jing 波形环境
'cai'se'fu'diao 彩色浮雕
'can'shu'jun'heng 参数均衡
'can'ying 残影
'cha'kan'qi 查看器
'cha'zhao'bian'yuan 查找边缘
'cha'zhi'zhe'zhao 差值遮罩
'chen'man'shi'shi'e 沉漫式视额
'chong'ming'ming 重命名
'chuang'kou 窗口
'chun'se 纯色
'dan'yuan'ge'tu'an 单元格图案
'dao'fang 倒放
'dao'ru 导入
'dao'ru'zui'jin'de'su'cai 导入最近的素材
'deng'guang 灯光
'di'dao'mo'hu 递道模糊
'di'yin'he'gao'yin 低音和高音
'dian'kong'zhi 点控制
'dian'wo'tiao'wen 淀涡条纹
'ding'xiang'mo'hu 定向模糊
'dong'hua 动画
'dong'hua'yu'she 动画预设
'dong'tai'cao'tu 动态草图
'dong'tai'pin'tie 动态拼贴
'duan'luo 段落
'dui'qi 对齐
'dun'hua'ju'ban 钝化聚板
'fa'guang 发光
'fan'guo'kuo'san 范国扩散
'fan'wei'xin'xi 范围信息
'fan'zhuan 反转
'fang'da 放大
'fen'bian'lv 分辨率
'fen'xing 分形
'fen'xing'za'se 分形杂色
'feng'ge'hua 风格化
'fu'diao 浮雕
'fu'he'mo'hu 复合模糊
'fu'he'yun'suan 复合运算
'fu'xuan'kuang'kong'zhi 复选框控制
'gai'bian'xing'zhuang 改变形状
'gao'guang'ya'suo 高光压缩
'gao'ji'shan'dian 高级闪电
'gao'si'mo'hu 高斯模糊
'gao'si'mo'hu'jiu'ban 高斯模糊旧版
'gao'tong'di'tong 高通低通
'gen'zong'qi 跟踪器
'geng'gai'wei'yan'se 更改为颜色
'geng'gai'yan'se 更改颜色
'gong'ju 工具
'gou'hua 勾画
'gu'tai'ceng'he'cheng 固态层合成
'guang'quan'ca'chu 光圈擦除
'guang'shu 光束
'guang'xue'bu'chang 光学补偿
'guang'zhi'yan'se 广指颜色
'guo'dong'xiao'ying'xiu'fu 果冻效应修复
'guo'du 过渡
'guo'shi 过时
'he'cheng 合成
'he'cheng'she'zhi 合成设置
'hei'se'he'bai'se 黑色和白色
'hua'bi 画笔
'hua'bi'miao'bian 画笔描边
'hua'kuai'kong'zhi 滑块控制
'hui'fei'xi'shu'ji'zhi'zeng'yi 灰废系数基值增益
'hui'hua 绘画
'hun'he 混合
'hun'xiang 混响
'ji'ben'tu'xing 基本图形
'ji'ben'wen'zi 基本文字
'ji'suan 计算
'ji'zuo'biao 极坐标
'jian'dan'zu'jian'gong'ju 简单阻鉴工具
'jian'jiao'ca'chu 渐交擦除
'jian'shao'jiao'cuo'shan'shuo 减少交错闪烁
'jiang'zao 降噪
'jiao'du'kong'zhi 角度控制
'jiao'huan 交换
'jiao'san 焦散
'jiao'tiao'yu'he'sheng 交调与合声
'jiao'xing 交形
'jiao'xing'wen'ding'qi 交形稳定器
'jin'du 进度
'jing'tou'guang'yun 镜头光晕
'jing'xiang 镜像
'jing'xiang'ca'chu 径向擦除
'jing'xiang'mo'hu 径向模糊
'jing'xiang'yin'ying 径向阴影
'ka'pian'ca'chu 卡片擦除
'ka'pian'dong'hua 卡片动画
'ka'tong 卡通
'ke'xuan'yan'se 可选颜色
'kong'dui'xiang 空对像
'kou'xiang 抠像
'kuai'rong'jie 块溶解
'kuai'su'fang'kuang'mo'hu 快速方框模糊
'li'ti'sheng'hun'he'qi 立体声混合器
'li'zi'yun'dong'chang 粒子运动场
'liang'du'jian 亮度键
'liang'fei'he'dui'bi'du 亮废和对比度
'lu'jing'wen'ben 路径文本
'ma'bao'ke 马暴克
'mao'bian 毛边
'mei'ti'liu'lan'qi 媒体浏览器
'meng'ban'cha'zhi 蒙版插值
'miao'bian 描边
'mo'hu 模糊
'mo'ni 模拟
'mo'pan 模盘
'mo'zhi'he'rui'hua 模制和锐化
'nei'bu'wai'bu'jian 内部外部键
'nei'rong'shi'bie'tian'chong 内容识别填充
'nei'rong'shi'bie'tian'chong'tu'ceng 内容识别填充图层
'niu'qu 扭曲
'pao'mo 泡沫
'pi'pei'ke'li 匹配颗粒
'ping'hua'qi 平滑器
'ping'mian'dao'qiu'mian 平面到球面
'qiu'mian'dao'ping'mian 球面到平面
'qiu'mian'hua 球面化
'qu'xian 曲线
'ren'yi'ying'she 任意映射
'rui'hua 锐化
'san'bu 散布
'san'se'diao 三色调
'se'cha 色差
'se'diao 色调
'se'diao'fen'li 色调分离
'se'diao'fen'li'shi'jian 色调分离时间
'se'diao'jun'hua 色调均化
'se'guang 色光
'se'jie 色阶
'se'jie'dan'du'kong'jian 色阶单独控件
'se'xiang'bao'he'du 色相包和度
'shan'guang 闪光
'shan'guang'deng 闪光灯
'she'xiang'ji 摄像机
'she'xiang'ji'rui'tou'mo'hu 摄像机锐头模糊
'she'zhi'tong'dao 设置通道
'she'zhi'zhe'zhang 设置遮章
'sheng'cheng 生成
'sheng'dao 声道
'shi'cha 时差
'shi'jian 时间
'shi'jian'ma 时间码
'shi'jian'niu'qu 时间扭曲
'shi'jian'zhi'huan 时间置换
'shi'tu 视图
'shi'xu'xian'fu'qi 视须限幅器
'shi'yong'gong'ju 实用工具
'shu'zi'gu'zhang 数字故障
'shuang'xiang'mo'ju 双向模据
'si'se'jian'jiao 四色渐交
'suan'shu 算术
'sui'pian 碎片
'tang'xiang'ji'pin'dong'qu'mo'hu 烫像机拼动去模糊
'ti'qu 提取
'tian'chong 填充
'tian'jia'ke'li 添加颗粒
'tiao'zheng'rou'he'zhe'zhao 调整柔和遮罩
'tiao'zheng'shi'bian'zhe'zhao 调整实边遮罩
'tiao'zheng'tu'ceng 调整图层
'tiao'zhi'qi 调制器
'tong'dao'he'cheng'qi 通道合成器
'tong'dao'hun'he'qi 通道混合器
'tou'shi 透视
'tou'ying 投影
'tu'ceng 图层
'tu'ceng'kong'zhi 图层控制
'tu'chu 凸出
'tu'xie 涂写
