'ao'cao 凹槽
'ba'mo'xie'du 拔模斜度
'ban'jing'chi'cun 半径尺寸
'bei'jing'shi'tu 背景视图
'bei'jing'tu'zhi 背景图纸
'biao'ti'kuai 标题块
'biao'zhu 标注
'biao'zhun 标准
'biao'zhun'yuan'su 标准元素
'bu'que'ding'zhong'duan 不确定中断
'cai'jian'lun'kuo 裁剪轮廓
'cai'jian'shi'tu 裁剪视图
'cao'tu 草图
'chao'xian 超限
'chi'cun'biao'zhu 尺寸标注
'chong'die 重叠
'chong'xin'pai'xu 重新排序
'chuang'cheng'shi'shi'tu'yang'shi 创成式视图样式
'cu'cao'du'fu'hao 粗糙度符号
'dao'jiao 倒角
'dao'jiao'chi'cun 倒角尺寸
'deng'zhou'ce'shi'tu 等轴测视图
'di'san'jiao 第三角
'di'san'jiao'tou'ying'fa 第三角投影法
'di'yi'jiao'tou'ying'fang'fa 第一角投影方法
'dui'chen 对称
'dui'xiang 对象
'fen'ge 分割
'fu'ben 副本
'fu'he'biao'ji 复合标记
'fu'ji 父级
'fu'shi'tu 父视图
'fu'zhu'shi'tu 辅助视图
'gen'zong 跟踪
'gong'cheng'tu 工程图
'gong'cheng'tu'ku 工程图库
'gou'zao'yuan'su 构造元素
'guan'lian 关联
'guan'lian'de'xiang'xi 关联的详细
'guang'shan'mo'shi 光栅模式
'guo'lv'qi 过滤器
'han'jie'fu'hao 焊接符号
'he'ti 盒体
'huo'dong'shi'tu 活动视图
'ji'he'ti 几何体
'ji'zhun'mu'biao 基准目标
'ji'zhun'te'zheng 基准特征
'ji'zuo'biao 极坐标
'jia'qiang'lei 加强肋
'jian'dan'zhong'duan 简单中断
'jiao'du'chi'cun 角度尺寸
'jie'mian'fen'ge 截面分割
'jie'mian'xian 截面线
'jin'si'mo'shi 近似模式
'jing'que'shi'tu 精确视图
'jing'xiang 镜像
'ju'bu'shi'tu 局部视图
'ju'ji 聚集
'ju'li'chi'cun 距离尺寸
'jue'dui'wei'zhi 绝对位置
'jue'dui'zuo'biao 绝对坐标
'kai'cao 开槽
'kong'zhi'dian 控制点
'kuai'su'xiang'xi'shi'tu 快速详细视图
'lian'shi'chi'cun 链式尺寸
'ling'jian 零件
'ling'jian'ji'he'ti 零件几何体
'lun'kuo 轮廓
'mu'ban 模板
'nei'bu'yue'shu 内部约束
'pian'yi 偏移
'pian'yi'pou'shi'tu 偏移剖视图
'ping'yi 平移
'pou'mian 剖面
'pou'mian'xian 剖面线
'pou'shi'tu 剖视图
'qie'chu'lun'kuo 切除轮廓
'qie'chu'qu'yu 切除区域
'qu'dong'yue'shu 驱动约束
'qu'yu'tian'chong 区域填充
'she'ji'shu 设计树
'shi'ti 实体
'shi'tu 视图
'shi'tu'kuang 视图框
'shi'tu'kuang'jia 视图框架
'shi'yong'bian'xian 使用边线
'shu'xing 属性
'shu'zi 数字
'suo'ding 锁定
'suo'fang 缩放
'te'zheng 特征
'ting'yong 停用
'tou'ying'shi'tu 投影视图
'tu'tai 凸台
'tu'zhi 图纸
'wai'bu'yue'shu 外部约束
'wen'ben'mu'ban 文本模板
'wen'dang 文档
'wu'liao'qing'dan 物料清单
'xiang'dao 向导
'xiang'tu 详图
'xiang'xi'shi'tu 详细视图
'xiao'yin 消隐
'xiu'shi 修饰
'xuan'zhuan 旋转
'xuan'zhuan'cao 旋转槽
'xuan'zhuan'pou'shi'tu 旋转剖视图
'xuan'zhuan'ti 旋转体
'yuan'dian 原点
'yuan'duan'jie'qu 远端截取
'yuan'jiao 圆角
'yue'shu 约束
'zhan'kai'shi'tu 展开视图
'zhen'lie 阵列
'zheng'ping'mian 正平面
'zheng'shi'tu 正视图
'zhi'jiao'zuo'biao 直角坐标
'zhi'jing'chi'cun 直径尺寸
'zhi'neng'shi'qu 智能拾取
'zhong'xin 重心
'zhu'shi'tu 主视图
'zi'dong'jian'ce 自动检测
'zi'dong'yue'shu 自动约束
'zi'ji 子级
'zi'shi'tu 子视图
