'a'ha'li'mu'fu'you 阿哈利姆福佑
'a'ha'li'mu'mo'jing 阿哈利姆魔晶
'a'ha'li'mu'shen'zhang 阿哈利姆神杖
'a'ha'li'mu'tian'di'mi'gong 阿哈利姆天地迷宫
'a'tuo'si 阿托斯
'a'tuo'si'zhi'gun 阿托斯之棍
'a'zi'jia'luo 阿兹加洛
'a'zi'rui'si 阿兹瑞斯
'ai'luo'sha'yi'shi 埃罗莎仪式
'ai'ou 埃欧
'ai'ou 艾欧
'ai'ren'huo'qiang'shou 矮人火枪手
'ai'ren'ju'ji'shou 矮人狙击手
'ai'ren'zhi'sheng'ji 矮人直升机
'ai'rui'da 艾瑞达
'ai'zi'shuang'ren'zu 矮子双人组
'an'dan'xiong'zhen 暗淡胸针
'an'hei'kuang'huan'zhu'chi 暗黑狂欢主持
'an'hei'shi'ji'ye'ying 暗黑世纪夜影
'an'hei'tuan'jie 暗黑团结
'an'hei'zhi'jiao 暗黑之礁
'an'hei'zhi'jiao'pan'tu 暗黑之礁叛徒
'an'hui 暗绘
'an'mie 黯灭
'an'mu 暗牧
'an'quan'xun'luo 安全巡逻
'an'sha 暗杀
'an'yan'shu 暗言术
'an'ye'lie'ying 暗夜猎影
'an'ye'mo'wang 暗夜魔王
'an'ying'bo 暗影波
'an'ying'bu 暗影步
'an'ying'chong'ci 暗影冲刺
'an'ying'e'mo 暗影恶魔
'an'ying'hu'fu 暗影护符
'an'ying'ju'du 暗影剧毒
'an'ying'mu'shi 暗影牧师
'an'ying'pu'cong 暗影仆从
'an'ying'qing'yi 暗影情谊
'an'ying'sa'man 暗影萨满
'an'ying'tu'xi 暗影突袭
'an'ying'xie'dian 暗影邪典
'an'ying'zhi'jing 暗影之境
'an'ying'zhi'wu 暗影之舞
'ang'ran'sheng'ji 盎然生机
'ao'shu 奥术
'ao'shu'fu 奥术符
'ao'shu'guang'huan 奥术光环
'ao'shu'ji'lei 奥术积累
'ao'shu'shen'fu 奥术神符
'ao'shu'tian'qiu 奥术天球
'ao'shu'wai'yi 奥术外溢
'ao'shu'xie 奥术鞋
'ao'shu'zhi'huan 奥术指环
'ao'si'ta'li'ang'da'di 奥斯塔里昂大帝
'ba'ba 爸爸
'ba'la'na 巴拉那
'ba'la'sen 巴拉森
'bai'gu'hu'wei 白骨护卫
'bai'hu 白虎
'bai'niu 白牛
'bai'xi'da'wang 百戏大王
'bai'yin'zhi'feng 白银之锋
'ban'ben'geng'xin 版本更新
'ban'jia 板甲
'ban'ren'ma'lie'shou 半人马猎手
'ban'ren'ma'qiu'zhang 半人马酋长
'ban'ren'ma'zhan'xing'zhe 半人马战行者
'ban'ren'ma'zhen'ying 半人马阵营
'ban'ren'ma'zheng'fu'zhe 半人马征服者
'ban'ren'meng'ma 半人猛犸
'ban'ren'xi'niu 半人犀牛
'ban'ta 板他
'bang'bang'wo 帮帮我
'bang'ji'da'di 棒击大地
'bang'mang'zan'ting 帮忙暂停
'bang'wo'guan'ping 帮我灌瓶
'bao'fa 爆发
'bao'li'chu'ji 爆栗出击
'bao'lie'zhi'zhao 暴烈之爪
'bao'lu'liao'fa 暴露疗法
'bao'mian 宝冕
'bao'nu 暴怒
'bao'pi'chang'gou 剥皮长钩
'bao'po'qi'fei 爆破起飞
'bao'shi 暴食
'bao'shi'qi'shi'de'zhan'kui 暴世骑士的战盔
'bao'tou 爆头
'bao'wu 宝物
'bei'ci 背刺
'bei'dong'ji'neng 被动技能
'bei'en'huo'le 贝恩霍勒
'bei'shang'chang'hao 悲伤长号
'ben'liu'ying'di 奔流营地
'ben'ming'yi'ji 本命一击
'ben'qian 本钱
'ben'teng 奔腾
'ben'xi'chong'zhuang 奔袭冲撞
'ben'zhuo'yu'wang 笨拙渔网
'beng'lie'jin'gu 崩裂禁锢
'bi'cui'si 碧翠丝
'bi'jia 臂甲
'bi'li'shi'zhen 比例失真
'bi'long 碧龙
'bi'ti'huo'jian 鼻涕火箭
'bi'zhang 臂章
'bian'che 便车
'bian'dan 变蛋
'bian'fu'qi'shi 蝙蝠骑士
'bian'lu'shang'dian 边路商店
'bian'ti'da'ji 变体打击
'bian'ti'gong'ji 变体攻击
'bian'ti'jing'ling 变体精灵
'bian'xing 变形
'bian'xing'shu 变形术
'bian'zhi 编织
'bian'zhi'zhe 编织者
'biao'ji 标记
'biao'qiang 标枪
'bie'dang'gou 别挡钩
'bie'ren'bu'yong'zhi'dao 别人不用知道
'bing'chuan 冰川
'bing'chuan'hu'ti 冰川护体
'bing'feng'jin'zhi 冰封禁制
'bing'feng'lu'jing 冰封路径
'bing'feng'mo'yin 冰封魔印
'bing'hun 冰魂
'bing'huo'jiao'jia 冰火交加
'bing'huo'zha'dan 冰火炸弹
'bing'jia 冰甲
'bing'jian 冰箭
'bing'jing'bao'hong 冰晶爆轰
'bing'jing'ke'long 冰晶克隆
'bing'lie 并列
'bing'long 冰龙
'bing'nv 冰女
'bing'qiang 冰墙
'bing'ren 兵刃
'bing'shuang'tu'xi 冰霜吐息
'bing'shuang'xin'xing 冰霜新星
'bing'shuang'xuan'wo 冰霜漩涡
'bing'shuang'zhi'fu 冰霜之缚
'bing'shuang'zhi'zhu 冰霜之珠
'bing'yan 冰眼
'bo'lang'xing'tai 波浪形态
'bo'luan'fan'zheng 拨乱反正
'bo'zang 薄葬
'bu'bing 补兵
'bu'dong'ru'she 不动如蛇
'bu'ji'jia'qiao 不羁甲壳
'bu'jie'kuang're 不洁狂热
'bu'ke'qin'fan 不可侵犯
'bu'ke'yu'yue 不可逾越
'bu'ke'zhi'lun 不可知论
'bu'kuai'le'de'yu'yue 不快乐的愉悦
'bu'lan'de'wa'deng 布兰德瓦登
'bu'lao 捕捞
'bu'liang'ying'xiang 不良影响
'bu'qu'zhi'yan 不屈之眼
'bu'wen'ding'dian'liu 不稳定电流
'bu'wen'ding'hua'he'wu 不稳定化合物
'bu'xiang'miao'mi 不详喵咪
'bu'xiu'shi'wang 不朽尸王
'bu'xiu'shi'wang'de'tou'kui 不朽尸王的头盔
