'ai'de'hu'huan 爱的呼唤
'ai'ni 爱你
'ai'ru'yi 爱如意
'ai'xian'zai'de'wo 爱现在的我
'bei'jing'bei'jing 北京北京
'bei'pan 背叛
'bie'mian'qiang 别勉强
'bu'cun'zai'de'cun'zai 不存在的存在
'cao'cao 曹操
'cha'bu'duo'de'gu'niang 差不多的姑娘
'chao'neng'li 超能力
'chuan'yue'huo'xian 穿越火线
'chun'tian'li 春天里
'cun'zai 存在
'cuo'guo'bu'cuo 错过不错
'dan'xing'de'gui'dao 单行的轨道
'dao'ma'dan 刀马旦
'dao'shu 倒数
'deng'yi'ge'ta 等一个他
'die'lian'hua 蝶恋花
'du'ping'guo 毒苹果
'duo'mei'li 多美丽
'duo'yuan'dou'yao'zai'yi'qi 多远都要在一起
'gei'ni'de'ge 给你的歌
'gu'du 孤独
'gu'xiang'de'yun 故乡的云
'guang'nian'zhi'wai 光年之外
'hao'xiang'hao'xiang'ni 好想好想你
'hen'jiu'yi'hou 很久以后
'hong'qiang'wei'bai'mei'gui 红蔷薇白玫瑰
'hou'hui'wu'qi 后会无期
'hui'lang 灰狼
'hui'yi'de'sha'lou 回忆的沙漏
'ji'mo'xing'qiu'de'mei'gui 寂寞星球的玫瑰
'ju'hao 句号
'lai'zi'tian'tang'de'mo'gui 来自天堂的魔鬼
'ling'yi'ge'tong'hua 另一个童话
'long'juan'feng 龙卷风
'man'bu'ren'sheng'lu 漫步人生路
'mang'dian 盲点
'mo'tian'dong'wu'yuan 摩天动物园
'na'yi'ye 那一夜
'ni'ba'wo'guan'zui 你把我灌醉
'ni'bu'shi'zhen'zheng'de'kuai'le 你不是真正的快乐
'ou'er 偶尔
'pan'deng 攀登
'pao'mo 泡沫
'peng'you 朋友
'piao'xiang'bei'fang 飘向北方
'ping'fan'tian'shi 平凡天使
'ping'xing'shi'jie 平行世界
'qi'ji 奇迹
'qing'ren 情人
'qiu'niao 囚鸟
're'ai'jiu'yi'qi 热爱就一起
'ru'guo'mei'you'ni 如果没有你
'sheng'xia'guang'nian 盛夏光年
'shi'fou 是否
'shi'lian'wu'zui 失恋无罪
'shou'xin'de'qiang'wei 手心的蔷薇
'shui'gong'zhu 睡公主
'shui'huang'hou 睡皇后
'shun'jian 瞬间
'si'le'dou'yao'ai 死了都要爱
'tan'te 忐忑
'tao'hua'nuo 桃花诺
'ting'hai 听海
'tou'ming 透明
'tu'ran'zhi'jian 突然之间
'tui'bian 蜕变
'wan'guo'jue'xing 万国觉醒
'wo'bu'dong'ai 我不懂爱
'wo'de'mi'mi 我的秘密
'wo'men'de'ai 我们的爱
'wo'shuo'le'suan 我说了算
'wo'yao'wo'men'zai'yi'qi 我要我们在一起
'xi'huan'ni 喜欢你
'xia'yi'miao 下一秒
'xiang'jiang'ni'zhi 想讲你知
'xiao'kan'feng'yun 笑看风云
'xie'bu'wan'de'wen'rou 写不完的温柔
'xin'de'xin'tiao 新的心跳
'xin'zhi'yan 心之焰
'xu'shi 叙世
'ya'li'ya'di'zhi'ge 亚里亚蒂之歌
'yan'shi'li'de'hua 岩石里的花
'ye'kong'zhong'zui'liang'de'xing 夜空中最亮的星
'yi'dong'de'xin 驿动的心
'yi'lu'ni'feng 一路逆风
'yi'ran'shui'gong'zhu 依然睡公主
'ying'huo 萤火
'you'duo'shao'ai'ke'yi'chong'lai 有多少爱可以重来
'you'xin'ren 有心人
'yu'die 雨蝶
'yu'shi 于是
'yuan'liang'wo'bu'dong'ai 原谅我不懂爱
'zai'jian 再见
'zhen'de'ying'xiong 真的英雄
'zhi'zuo'ren 制作人
