'a'ka'di'si'shang'ye'zhong'xin 阿卡迪斯商业中心
'a'la'mo'hai 阿拉莫海
'ai'wan 埃万
'ao'bei 奥北
'ban'ni 班尼
'bang'bu'xu'ka 邦布须卡
'bao'biao'shi'wu'suo 保镖事务所
'bao'jun 暴君
'bao'zha'ju 爆炸狙
'bao'zha'zi'dan 爆炸子弹
'bo'ge'dan'wei'ji 波格丹危机
'chi'yan 炽焰
'chi'yao'chi'jia 吃药吃甲
'chuan'suo'zhe 穿梭者
'da'guan'cong 大灌丛
'da'ju 打狙
'dan'ren'gong'kai 单人公开
'dan'ren'zhan'ju 单人战局
'dao'fei 倒飞
'de'fan 德凡
'de'luo'suo 德罗索
'di'di'zai'ju 弟弟载具
'di'ke'sen 迪克森
'du'chang'qiang'jie 赌场抢劫
'dui'ju 对狙
'duo'dao'dan 躲导弹
'e'tu 恶徒
'fei'fan'feng'qing 非凡风情
'fei'si'te 菲斯特
'fu'chou'zhe 复仇者
'gan'rao'bo 干扰箔
'gang'kou'qu 港口区
'ge'duo'shan 戈多山
'gong'rong'bao'xian 共荣保险
'gu'luo'di 古罗帝
'hao'mai'wu'shan 好麦坞山
'hei'se'sheng'mu 黑色圣母
'hua'yuan'yin'hang'ta 花园银行塔
'hua'yuan'yin'hang'xi'bu 花园银行西部
'huan'zhan'ju 换战局
'huo'li'man'zai 火力满载
'ji'dong'zuo'zhan'zhong'xin 机动作战中心
'ji'gong 技工
'ji'pao 机炮
'jia'li'lue'tian'wen'tai 伽利略天文台
'jian'mie'zhe 歼灭者
'jian'zhui'mei'ying 尖锥魅影
'jin'fa'lao'da 金发老大
'jiu'tou'she 九头蛇
'ju'xiang 巨象
'jue'zhi 绝致
'jun'tuan'guang'chang 军团广场
'ka'ni'si 卡尼斯
'ke'li'fu'te 克利福特
'kong'ba 恐霸
'lai'si'te 莱斯特
'lan'ai'shui'ku 兰艾水库
'lang'bang'yin'hang 郎邦银行
'le'suo 乐梭
'lian'ju 连狙
'lie'sha'zhe 猎杀者
'lie'sha'zhuan'yuan 猎杀专员
'lun'yi'wan'jia 轮椅玩家
'luo'sheng'dou'guo'ji'ji'chang 洛圣都国际机场
'ma'ke'tu 马克兔
'mai'ken'qi'ji'chang 麦肯奇机场
'miao'zi'sha 秒自杀
'mo'luo'tuo'ke 莫洛托克
'mo'ri'hao'jie 末日豪劫
'mo'ri'jiang'zhi 末日将至
'mo'tuo'bang 摩托帮
'nin'ge'mu'tou 您个木头
'niu'sha'gao'tong 牛鲨睾酮
'pei'jia'xi 佩嘉西
'pei'li'ke'dao 佩里科岛
'pei'li'tuo'wan 佩立托湾
'pei'luo'hai'tan 佩罗海滩
'qi'li'ye'de'shan 奇力耶德山
'qie'er'nuo'bo'ge 切尔诺伯格
'quan'fu'yin'hang 全福银行
'que'ying 雀鹰
're'gan'ju 热感狙
're'gan'tian'sha 热感天煞
're'gan'tou'kui 热感头盔
're'you'dan 热诱弹
'sai'nuo'la'da'sha'mo 赛诺拉大沙漠
'sang'ku'duo'bao'lei 桑库多堡垒
'sang'ku'duo'ji'di 桑库多基地
'sang'ku'duo'ji'ku 桑库多机库
'sang'tuo'lao 桑托劳
'sha'tan'hai'an 沙滩海岸
'she'shou'bu'qiang 射手步枪
'sheng'qiang'si'ji'shan'mai 圣强斯基山脉
'shou'lun'mu'zi 首轮募资
'shu'ju'xie'lou 数据泄露
'si'zhuo'bei'li 斯卓贝利
'suo'luo'meng 索洛蒙
'ta'ta'wei'ang'shan 塔塔维昂山
'tai'ping'yang'biao'zhun'yin'hang'chai'shi 太平洋标准银行差事
'tai'ping'yang'qiao'bi 太平洋峭壁
'tai'tan'hao 泰坦号
'tian'sha 天煞
'tiao'san 跳伞
'tiao'tai'mo'bao 跳台魔宝
'tu'ji'bu'dui 突击部队
'tu'ji'xian'dan'qiang 突击霰弹枪
'tu'la 图拉
'tu'la'er'duo 图拉尔多
'tu'xi'ren'dao'yan'jiu'shi'yan'shi 突袭人道研究实验室
'wei'chong 微冲
'wei'si'pu'qi'hai'tan 威斯普奇海滩
'wo'la'tuo 沃拉托
'wu'qi'dian 武器店
'wu'zhi'dao 无制导
'xiao'niao 小鸟
'xiao'xing 消星
'xie'mian'mo'bao 斜面魔宝
'xin'hao'dan 信号弹
'yan'chi'qiang 延迟枪
'yao'qing'zhan'ju 邀请战局
'ye'man'ren 野蛮人
'ye'ren 野人
'ying'pang'ti 英庞提
'you'ting'bao'wei'zhan 游艇保卫战
'yuan'bao'shan 圆堡山
'yuan'zi'neng'qiang 原子能枪
'zhi'dao'dao'dan 制导导弹
'zhi'dao'huo'jian'tong 制导火箭筒
'zhong'ju 重狙
'zhong'xing'zuo'lun 重型左轮
