'an'bu 暗部
'ao'tu'du 凹凸度
'bai'dong 摆动
'bang'zhu 帮助
'bao'guang 曝光
'bao'guang'guo'du 曝光过度
'bao'liu'tou'ming'qu'yu 保留透明区域
'bei'jing'nei'rong 背景内容
'bei'jing'se'bi'li 背景色比例
'bei'sai'er'qu'xian 贝赛尔曲线
'bi'chu'de'qiang'du 笔触的强度
'bi'hen'chang'du 笔痕长度
'bi'hen'chi'cun 笔痕尺寸
'bi'hen'xi'jie 笔痕细节
'bi'hen'ya'li 笔痕压力
'bi'hua 壁画
'bi'hua'qing'xie 笔画倾斜
'bian'jiao 变焦
'bian'jie'kuan'du 边界宽度
'bian'jie'xi'jie 边界细节
'bian'qian'zhi 便签纸
'bian'tiao'zhi 便条纸
'bian'yuan'jian'hua 边缘简化
'bian'yuan'jing'du 边缘精度
'biao'mian'mo'hu 表面模糊
'biao'zhun'ping'mu'mo'shi 标准屏幕模式
'bo'li 玻璃
'bo'wen'xiao'guo 波纹效果
'bu'tou'ming'du 不透明度
'cai'qie'gong'ju 裁切工具
'cai'se'qian'bi 彩色铅笔
'cai'se'wang'luo 彩色网络
'cai'zhi'ao'tu 材质凹凸
'cai'zhi'suo'fang 材质缩放
'can'shu 参数
'cao'gao 草稿
'ce'liang'ji'lu 测量记录
'cha'jian 插件
'cha'zhao'bian'yuan 查找边缘
'cha'zhi 差值
'chan'rao'xing'shi 缠绕形式
'chan'sheng'bo'wen'de'shu'liang 产生波纹的数量
'chang'kuan'bi 长宽比
'cheng'jiao'de'xian'tiao 成角的线条
'chong'fu'bian'jie'xiang'su 重复边界像素
'chong'ji'bo 冲击波
'chong'she'kuai'chi'cun'tian'chong'tu'xiang 重设块尺寸填充图像
'chou'chu 抽出
'chuang'kou 窗口
'cun'chu'yu'she 存储预设
'dai'you'gong'ju'lan'de'quan'ping'mo'shi 带有工具栏的全屏模式
'dan'diao'se 单调色
'dao'hang'qi 导航器
'deng'gao'xian 等高线
'di'bu 底部
'di'se 底色
'dian'zhuang'hua 点状化
'dou'dong'he 抖动盒
'du'liang'gong'ju 度量工具
'duan'luo 段落
'dui'bi'du 对比度
'duo'se'diao'fen'fa 多色调分法
'duo'tong'dao 多通道
'e'wai'nei'rong 额外内容
'fa'guang'chi'cun 发光尺寸
'fa'guang'liang'du 发光亮度
'fan'bu 帆布
'fan'wei 范围
'fan'zhuan 反转
'fan'zhuan'fu'chong 反转负冲
'fang'bo 方波
'fang'da'gong'ju 放大工具
'fang'xing'xiang'su 方形像素
'fen'bi 粉笔
'fen'ceng'yun'cai 分层云彩
'fen'xi 分析
'fu'diao'xiao'guo 浮雕效果
'fu'zhi 负值
'gan'bi 干笔
'gao'fan'cha 高反差
'gao'fan'cha'bao'liu 高反差保留
'gao'guang'qu'yu 高光区域
'gao'si'mo'hu 高斯模糊
'gao'si'shi'fen'bu 高斯式分布
'gong'ju'lan'mo'shi 工具栏模式
'guan'bi'bing'bao'cun 关闭并保存
'guang'hua 光滑
'guang'hua'du 光滑度
'guang'liang'du 光亮度
'guang'xian'fang'xiang 光线方向
'guang'yuan'fang'xiang 光源方向
'gui'lie'hen 龟裂痕
'hai'mian 海绵
'he'bing'kao'bei 合并拷贝
'hei'bai'ping'heng 黑白平衡
'hei'bai'yin'ying'xiao'guo 黑白阴影效果
'hei'du 黑度
'hei'er'cu'cao 黑而粗糙
'hua'bi'chi'cun 画笔尺寸
'hua'bi'lei'xing 画笔类型
'hua'bi'miao'bian 画笔描边
'hua'bi'xi'jie 画笔细节
'hua'dao 画刀
'hua'gan 滑杆
'huan'rao'zai'zhou'wei 环绕在周围
'hui'bi'tu 绘笔图
'hui'chen'yu'hua'hen 灰尘与划痕
'hui'tu'gang'bi 绘图钢笔
'hun'he 混合
'ji'di'tu'xian 基底凸线
'ji'lu'ce'liang 记录测量
'ji'shu 级数
'ji'shu'sao'miao 奇数扫描
'ji'suan'gong'ju 计算工具
'ji'ya 挤压
'ji'zuo'biao 极坐标
'jia'qiang'mo'hu 加强模糊
'jian'bian'gong'ju 渐变工具
'jian'shao'za'se 减少杂色
'jian'yin 渐隐
'jiao'ben 脚本
'jiao'pian'ke'li 胶片颗粒
'jie'suo 解锁
'jin'yi'bu'mo'hu 进一步模糊
'jing'ge'hua 晶格化
'jing'que 精确
'jing'que'du 精确度
'jing'tou'mo'hu 镜头模糊
'jing'xiang'mo'hu 径向模糊
'ju'chi'bo 锯齿波
'ju'xing'bo'lang 矩形波浪
'ju'xing'xuan'kuang'gong'ju 矩形选框工具
'jue'dui'lu'jing 绝对路径
'jun'lie'kong'xi 龟裂空隙
'ke'li 颗粒
'ke'li'du 颗粒度
'kong'zhi'bo'xing 控制波形
'kuai'su'meng'ban 快速蒙版
'kuai'zhuang 块状
'kuan'er'mo'hu 宽而模糊
'kuan'er'rui'hua 宽而锐化
'kuo'da'xuan'qu 扩大选区
'kuo'da'xuan'qu 扩大选取
'kuo'san'xiao'guo 扩散效果
'la'bi 蜡笔
'la'bi'lv'jing 蜡笔滤镜
'li'shi'ji'lu 历史记录
'li'shi'zhuang'tai 历史状态
'lian'yi 涟漪
'liang'du 亮度
'liang'er'cu'cao 亮而粗糙
'lu'jing 路径
'lv'jing'cao'zuo 滤镜操作
'lv'jing'ku 滤镜库
'ma'bu 麻布
'ma'sai'ke'pin'tie 马赛克拼贴
'mao'dian 锚点
'meng'ban 蒙版
'mi'du 密度
'mo'hu'xiao'guo 模糊效果
'mo'ren'da'xiao 默认大小
'ni'hong'deng 霓虹灯
'ni'shi'zhen 逆时针
'ni'shi'zhen'xuan'zhuan 逆时针旋转
'ou'shu'sao'miao 偶数扫描
'pai'ka 派卡
'pei'zhi'wen'jian 配置文件
'pen'jian 喷溅
'peng'zhang 膨胀
'pin'tu 拼图
'ping'heng'zhe'fang'xiang 平衡着方向
'ping'hua'cheng'du 平滑程度
'qi'ta'lei'xing 其它类型
'qi'ta'tong'dao 其它通道
'qian'bi'kuan'du 铅笔宽度
'qian'jing'se'bi'li 前景色比例
'qiang'du 强度
'qiang'hua'bian'yuan 强化边缘
'qiu'hua'mo'shi'xuan'xiang 球化模式选项
'qiu'xing 球形
'qu'yang'da'xiao 取样大小
'qu'yang'dian 取样点
'qu'yang'qi 取样器
'quan'bu'guan'bi 全部关闭
'quan'ping'mo'shi 全屏模式
'ran'se'bo'li 染色玻璃
'ren'yi'jiao'du 任意角度
'rou'he'du 柔和度
'rui'du 锐度
'san'jiao'xing'bo'lang 三角形波浪
'se'ban 色板
'se'cai'fan'wei 色彩范围
'se'diao'fen'li 色调分离
'se'diao'jun'hua 色调均化
'se'xiang 色相
'sha'shi 沙石
'shang'bu 上部
'shang'ci'lv'jing'cao'zuo 上次滤镜操作
'she'zhi 设置
'shi'gao'xiao'guo 石膏效果
'shi'liang'meng'ban 矢量蒙版
'shi'se'hun'he 实色混合
'shou'hui 手绘
'shu'ju'zu 数据组
'shu'zhi 竖直
'shu'zhi'pen'she 竖直喷射
'shui'bo 水波
'shui'cai 水彩
'shui'mo'hua'feng'ge 水墨画风格
'shui'ping 水平
'shui'ping'pen'she 水平喷射
'shun'shi'zhen 顺时针
'shun'shi'zhen'xuan'zhuan 顺时针旋转
'su'liao'bao'guo 塑料包裹
'su'liao'bao'zhuang 塑料包装
'suo'ding'tu'ceng 锁定图层
'suo'fang'gong'ju 缩放工具
