'a'er'ji'li'ya 阿尔及利亚
'a'gen'ting 阿根廷
'a'la'de'zhi'hua 阿拉德之花
'ai'cao 艾草
'ai'fei'er'tie'ta 埃菲尔铁塔
'ai'ji'shi'shen'ren'mian'xiang 埃及狮身人面像
'ai'lan 爱兰
'ai'li'si'zhi'wen 爱丽丝之吻
'ai'qian'niu 矮牵牛
'ai'xin'fu'hao 爱心符号
'ai'xin'guo 爱心果
'ai'xin'tang'guo'shu 爱心糖果树
'ai'xue'lun 矮雪轮
'ai'zhi'xin 爱之心
'an'shu 桉树
'ao'da'li'ya 澳大利亚
'ao'man'biao'qing 傲慢表情
'ao'yun'yue'zhi'shu 奥运悦之树
'ao'zhou'fei'ya'lan 澳洲飞鸭兰
'ao'zhou'qing'ping'guo 澳洲青苹果
'ba'bao'jing'tian 八宝景天
'ba'jiao 芭蕉
'ba'wang'hua 霸王花
'ba'wang'xiao'zi 霸王小子
'ba'xi 巴西
'ba'xian'hua 八仙花
'bai'bian'dou 白扁豆
'bai'che'zhou'cao 白车轴草
'bai'ding'xiang 白丁香
'bai'feng'tian'xiang 白凤天香
'bai'he'yu 白鹤芋
'bai'hu'ji'xing 白虎吉星
'bai'hua'dan 百花丹
'bai'hua'ling'xian 白花灵仙
'bai'hui'han'ying 百卉含英
'bai'ji 白芨
'bai'ji'li 白蒺藜
'bai'jin'ying 白金樱
'bai'lan'gua 白兰瓜
'bai'li'xiang 百里香
'bai'lian 白蔹
'bai'luo'bo 白萝卜
'bai'mai'gen 百脉根
'bai'mao'ling 白毛陵
'bai'mu'gua 白木瓜
'bai'ri'cao 百日草
'bai'wei'ke'le'shu 百味可乐树
'bai'xian'pi 白鲜皮
'bai'xiang'guo 百香果
'bai'xue'ji 白雪姬
'bai'yang'zuo'zuo'wu 白羊座作物
'bai'ye'qiang'wei 百叶蔷薇
'bai'yu'ni 白玉霓
'bai'yu'tu 白玉兔
'bai'yuan'cao 白圆草
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'hua 白紫花
'bai'zi'lian 百子莲
'ban'bian'lian 半边莲
'ban'rui'tang 瓣蕊唐
'bao'hua'yu'lan 宝华玉兰
'bao'lian'deng 宝莲灯
'bao'lian'hua 宝莲花
'bao'pi'hua 豹皮花
'bao'shi'hu'po'hua 宝石琥珀花
'bao'si'lan 宝丝兰
'bao'wen'zhu'yu 豹纹竹芋
'bao'yu'gu 鲍鱼菇
'bao'zhu'ka 爆竹卡
'bao'zhu'shu 爆竹树
'bei'ji'rong'ai'yi'rong'rong 北极绒爱意绒绒
'bei'jing'tian'tan 北京天坛
'bei'ke 贝壳
'bei'ke'cao 贝壳草
'bei'ou'hai'dao 北欧海盗
'bei'shang'xiao'yu 悲伤小雨
'bei'yue'jin'xing 北岳金杏
'bi'li'shi 比利时
'bi'qiao'jiang 闭鞘姜
'bi'teng'bing'guo 碧藤饼果
'bi'yu'teng 碧玉藤
'bi'zhuang'sheng'dan'shu 碧装圣诞树
'bi'zui'biao'qing 闭嘴表情
'bian'bian'li'wu 便便礼物
'bian'pao'cao 鞭炮草
'bian'pao'teng 鞭炮藤
'bian'ye'mu 变叶木
'bin'fen'bo'ban'tang 缤纷波板糖
'bin'fen'cai'qiu'hua 缤纷彩球花
'bin'fen'li'hua'guo 缤纷礼花果
'bin'zi'cao 滨紫草
'bing'di'guo 并蒂果
'bing'gun'ru'xue 冰棍如雪
'bing'ji'lin'yue'bing'tan 冰激淋月饼坛
'bing'jing'sheng'dan'shu 冰晶圣诞树
'bing'lan'die'ying 冰蓝蝶影
'bing'ling'hua 冰凌花
'bing'ling'qi'te'dan 冰凌期特丹
'bing'ling'shu 冰灵树
'bing'qi'lin'sheng'yan 冰淇淋盛宴
'bing'qi'lin'yu'jin'xiang 冰淇淋郁金香
'bing'shan'mei 冰山莓
'bing'shuang'zhi'xing 冰爽之星
'bo'cai 菠菜
'bo'er'duo'mi'qing 波尔多迷情
'bo'he 薄荷
'bo'hei 波黑
'bo'la'tu'si'lian 柏拉图思恋
'bo'luo 菠萝
'bo'luo'hua 菠萝花
'bo'luo'mi 菠萝蜜
'bo'si'po'po'na 波斯婆婆纳
'bo'ye'cao 波叶草
'bu'chong'cao 捕虫草
'bu'lang'xie'li'zao 布朗歇狸藻
'bu'luo'ji'feng'li 布罗基凤梨
'bu'luo'qiu'zhang'guo 部落酋长果
'bu'ou'mi'lu'sheng'dan'hua 布偶麋鹿圣诞花
'bu'ren'teng 捕人藤
'bu'ruo'di 卜若地
'bu'ying'cao 捕蝇草
'cai'deng'guo 彩灯果
'cai'deng'sheng'dan'hua 彩灯圣诞花
'cai'deng'shu 彩灯树
'cai'fu'tong'zhao'cai'shu 财付通招财树
'cai'hong'guo 彩虹果
'cai'hong'jiao 彩红蕉
'cai'hong'mei'gui 彩虹玫瑰
'cai'se'qian'bi 彩色铅笔
'cai'zuan'guo 彩钻果
'cang'bao'chun 藏报春
'cang'bo'luo'hua 藏波罗花
'cao'guo 草果
'cao'mei 草莓
'cao'wu 草乌
'chang'chun'hua 长春花
'chang'chun'zhu'dong 长春逐冬
'chang'e'ben'yue 嫦娥奔月
'chang'pu 菖蒲
'chang'qing'shu 常青树
'chang'shou'hua 长寿花
'chang'xia'shi'zhu 常夏石竹
'chao'tian'guan 朝天罐
'che'shen'zhi'lian 车神之恋
'cheng'hu'lu 橙葫芦
'cheng'huang'yu'feng'hua 橙黄玉凤花
'cheng'mo'li 橙茉莉
'cheng'se'bing'ling'hua 橙色冰凌花
'cheng'se'tian'yuan'shu 橙色天缘树
'cheng'se'zhu'ding'hong 橙色朱顶红
'cheng'yi'jun'tuan 橙衣军团
'cheng'zi 橙子
'chi'hua'mao'gen 赤花毛茛
'chi'xia'sheng'dan'shu 赤霞圣诞树
'chi'xia'yun'tui 赤霞云腿
'chong'da'le'dou 宠大乐豆
'chong'meng'guo 宠萌果
'chu'han'yun'long'guo 楚汉云龙果
'chu'nv'zuo'zuo'wu 处女座作物
'chu'shi'ma 厨师马
'chuan'xin'lian 穿心莲
'chuan'xin'teng 穿心藤
'chui'hua'lan 垂花兰
'chui'si'hai'tang 垂丝海棠
'chui'zhi'ying'hua 垂枝樱花
'chun'jie'ka 春节卡
'ci'gu'ye 慈姑叶
'ci'jiao'gua 刺角瓜
'ci'mei'gui 瓷玫瑰
'ci'wu'jia 刺五加
'ci'xiong'ying'xiong'jian 雌雄英雄剑
'ci'ya'bai'cai 呲牙白菜
'ci'ya'nan'gua 呲牙南瓜
'ci'ya'xiao'xiao'biao'qing 呲牙笑笑表情
'cong'lan 葱兰
'cong'sheng'fu'lu'kao 丛生福禄考
'cui'can'jin'lan'hua'huan 璀璨金兰花环
'cui'lu'li'hua 翠芦莉花
'cui'wei 翠薇
'da'bai'cai 大白菜
'da'cong 大葱
'da'da'guang'gun'jie 大大光棍节
'da'di'chi'bang 大地翅膀
'da'hua'di'bao'lan 大花地宝兰
'da'hua'shen'xian'fa'cai'shu 大话神仙发财树
'da'hua'zuo'jiang'cao 大花酢浆草
'da'huo'cao 大火草
'da'jing'shi'se 大惊失色
'da'li'shen'bei 大力神杯
'da'ming'long'wen'hua 大明龙纹花
'da'shan'ying 大山樱
'da'suan 大蒜
