'cai'yun'heng'tong 财运亨通
'chuan'shuo'zhong'de'qi'dian 传说中的七店
'dian'qi 电器
'dian'zi 电子
'fan'te'xi'da'mai'chang 范特西大卖场
'fu'zhuang 服装
'hao'jue'chao'ji'shang'sha 豪爵超级商厦
'hao'yun'zong'he'shang'dian 好运综合商店
'huo'jia 货架
'jia'gong'chang 加工厂
'li'huo'yuan 理货员
'meng'huan'gou'wu'tian'tang 梦幻购物天堂
'mo'deng'jing'pin'shang'cheng 摩登精品商城
'ri'yong 日用
'shang'hui 商会
'she'chi 奢侈
'shen'mi'jiang'quan 神秘奖券
'sheng'huo'wu'yu'chao'shi 生活物语超市
'shou'yin'yuan 收银员
'shu'cai 蔬菜
'shui'guo 水果
'shui'guo'mei'bian'li'dian 水果妹便利店
'te'shu'gu'ke 特殊顾客
'ti'yu 体育
'yin'liao 饮料
'ying'xiong'fen'si'tuan 英雄粉丝团
'zhao'hui 召回
