'a'kai'xiu'li'zhuang'bei 阿凯修理装备
'a'li'ke'si 阿力克斯
'a'pu'sa'la'si 阿普萨拉斯
'a'shi'ma 阿诗马
'a'xi'ma 阿西玛
'ai'er'mei'si 艾尔美斯
'ao'gu'shi'yang 奥古式样
'ba'ku'lian'zhuang'dian'ci'pao'zhuang 巴库联装电磁炮装
'bai'se'ji'di 白色基地
'bai'shi 百式
'bao'feng'gan'da 暴风敢达
'bao'feng'zhi'quan 暴风之拳
'bao'fu'da'bao'fu 包袱打包袱
'bao'fu'da'jian'dao 包袱打剪刀
'bao'fu'da'quan'tou 包袱打拳头
'bao'fu'ji 包袱机
'bao'lei'lian 爆雷链
'bao'shi 豹式
'bao'shi'fei'dan 豹式飞弹
'bao'shi'zhuang'bei 豹式装备
'bi'ge'zha'mu 比格扎姆
'bi'ke'zha'mu 毕克扎姆
'bi'sha'ji'fa'dong 必杀技发动
'bi'sha'ji'jue'xing 必杀技觉醒
'bu'da'bu 布打布
'bu'da'jian'dao 布打剪刀
'bu'da'quan'tou 布打拳头
'bu'ji 布机
'cang'lan'ming'yun'hao'ji 苍蓝命运号机
'cang'lan'su'ming'hao'ji 苍蓝宿命号机
'chang'cheng'bu'qiang 长程步枪
'chang'cheng'guang'shu'bu'qiang 长程光束步枪
'chang'cheng'guang'su'bu'qiang 长程光速步枪
'chang'ren 长刃
'chang'she'cheng'ju'ji'bu'qiang 长射程狙击步枪
'chao'gao'mai'chong'pao 超高脉冲炮
'chao'ji'gan'da 超级敢达
'chao'ji'huo'jian'pao 超级火箭炮
'chao'ji'huo'jian'pao'xian'dan 超级火箭炮霰弹
'chao'ji'liu'xing'chui 超级流星锤
'chao'ji'liu'xing'chui'zhuang'bei 超级流星锤装备
'chao'ji'mo'shi 超级模式
'cheng'bao'shao'ta'wen'zhang 城堡哨塔纹章
'chi'se'hui'xing 赤色彗星
'chong'zhuang'gan'da 重装敢达
'chu'ji'fu'wu'qi 初级服务器
'chu'li'zeng'qiang'xing'ji'mu 出力增强型吉姆
'chu'shi'xin'shou 出世新手
'cuo'zhe'wen'zhang 挫折纹章
'da'hou'bei 打后背
'da'jia'shen 打假身
'da'mo 大魔
'da'mo're'dai'xing 大魔热带型
'da'xing'guang'shu'bu'qiang 大型光束步枪
'da'xing'guang'shu'ji'qiang 大型光束机枪
'da'xing'huo'jian'pao 大型火箭炮
'da'xing'huo'jian'pao'zhuang'bei 大型火箭炮装备
'da'xing'mi'jia'li'zi'pao 大型米加粒子炮
'da'zha'mu 大扎姆
'dai'ya'si 戴亚斯
'di'ba'qu'da'men 第八区大门
'di'chu'li 低出力
'di'hou'zuo'jia'nong'pao 低后坐加农炮
