'bo'nong 啵哝
'bo'shi 博士
'can'bao 灿宝
'che'li 澈哩
'ci'diao 次钓
'ci'dui 次队
'ci'hua 次花
'ci'hun 次混
'ci'jing 次镜
'ci'mang 次忙
'ci'mei 次美
'ci'mei 次魅
'ci'mian 次面
'ci'shi'huan 次十环
'ci'wu 次舞
'ci'zhi 次制
'cui'han'lv 崔瀚率
'cui'han'lv 崔韩率
'cui'sheng'che 崔胜澈
'da'du 哒嘟
'dao'jian 道兼
'dao'jian'mi 道兼米
'fu'dai'zi 福袋子
'fu'sheng'kuan 夫胜宽
'ha'ni 哈尼
'ha'ni'hei 哈尼嘿
'hong'zhi'xiu 洪知秀
'hu'lang'hei 虎浪嘿
'ji'zhou'dao'xiao'ju'zi 济州岛小橘子
'jin'min'kui 金珉奎
'jing'han'ni 净汉尼
'jun'ni 俊尼
'ke'la 克拉
'ku'ku 酷酷
'lao'tie 老铁
'li'can 李灿
'li'shuo'min 李硕珉
'li'suo'ming 李索命
'li'zhi'xun 李知勋
'li'zhi'xun 荔枝勋
'men'jun'fei 门俊飞
'min'bu'le 珉不乐
'min'kui 珉奎
'ming'hao 明浩
'quan'hu'xi 权呼吸
'quan'shou'zhang 权首长
'quan'shun'rong 权顺荣
'quan'yuan'you 全圆佑
'rong'rong 茸茸
'sa'lang'hei'nu'bi 撒浪嘿努比
'sheng'kuan 胜宽
'shui'ta'guo'wang 水獭国王
'shuo'mi 硕米
'si'si 丝丝
'tian'tian 甜甜
'wen'jun'hui 文俊辉
'wo'nu 窝努
'wu'ji 呜叽
'wu'wa'hei 呜哇嘿
'xiao'ba 小八
'xiao'bo 小啵
'xiao'kui 小葵
'xiu'xiu 咻咻
'xu'ming'hao 徐明浩
'yin'jing'han 尹净汉
'yin'yue'zhi'shen 音乐之神
'yin'zhan'shen 尹战神
'yuan'you 圆佑
'yuan'yuan 圆圆
'zhan'zheng'fan'zi 战争贩子
'zuan'shi'jian'jian 钻石尖尖
