'an'hei'chang'ji 暗黑长戟
'an'ying'mu'jian 暗影木剑
'an'ying'yan'dao 暗影焰刀
'ba'jin'ci'mao 钯金刺矛
'ba'jin'jian 钯金剑
'bei'ji 北极
'bian'tai'dao 变态刀
'biao'chi 标尺
'bing'xue'hui'xuan'biao 冰雪回旋镖
'bing'xue'lian'dao 冰雪镰刀
'bing'xue'ren 冰雪刃
'bing'xue'you'you'qiu 冰雪悠悠球
'bo'jin'duan'jian 铂金短剑
'bo'yong'zhi'ren 波涌之刃
'cai'hong'miao'zhi'ren 彩虹喵之刃
'cao'jian 草剑
'chang'mao 长矛
'chi'yan'ju'jian 炽焰巨剑
'chou'hu'zhao 臭虎爪
'cun'zheng'da'dao 村正大刀
'dai'ma'qiu 代码球
'de'pao'qiu 的抛球
'di'yu'lao'yin 地狱烙印
'duan'gang'jian 断钢剑
'duan'wan'dao 短弯刀
'dui'da'qiu 对打球
'fei'dao 飞刀
'fei'long 飞龙
'feng'kuang'fei'fu 疯狂飞斧
'fu'cha 腐叉
'fu'hua'zhe'zhi'ji 腐化者之戟
'fu'mo'hui'xuan'biao 附魔回旋镖
'fu'mo'jian 附魔剑
'gu'jian 钴剑
'gu'jian 骨剑
'gu'ti'dao 钴剃刀
'guang'hui'fei'pan 光辉飞盘
'guang'shu'jian 光束剑
'hao'sheng'qiu 好胜球
'he'gu'jian 颌骨剑
'hei'yao'shi'jian'yu 黑曜石剑鱼
'hong'mu'jian 红木剑
'hua'guan 花冠
'hui'mie'ren 毁灭刃
'hui'xuan'biao 回旋镖
'ji'ke'qiu 吉克球
'jian'bian'qiu 渐变球
'jian'yu 剑鱼
'jiang'shi'bi 僵尸臂
'jin'duan'jian 金短剑
'jin'kuo'jian 金阔剑
'jing'guang'ren 晶光刃
'jing'ji'xuan'ren 荆棘旋刃
'jing'jin'guan'dao 精金关刀
'jing'jin'jian 精金剑
'jing'zhi'shou'zhang 精致手杖
'ke'la'ken'qiu 克拉肯球
'ke'shui'zhang'yu 瞌睡章鱼
'ke'su'lu'zhi'yan 克苏鲁之眼
'kong'bu'guan'dao 恐怖关刀
'kuang'xing'zhi'nu 狂星之怒
'kun'nan'mo'shi 困难模式
'kun'nan'mo'shi'zhi'qian 困难模式之前
'lan'yue 蓝月
'li'ren'shou'tao 利刃手套
'lian'dao 链刀
'lian'jia 连枷
'lian'qiu 链球
'lie'yan'hui'xuan'biao 烈焰回旋镖
'lie'ying'ren 猎鹰刃
'mi'yin'chang'ji 秘银长戟
'mi'yin'jian 秘银剑
'mo'gu'chang'mao 蘑菇长矛
'mo'guang'jian 魔光剑
'mu'jian 木剑
'mu'you'you'qiu 木悠悠球
'mu'zhi'hui'xuan'biao 木质回旋镖
'nv'wu'shen'you'you'qiu 女武神悠悠球
'pai'pai'shou 拍拍手
'pen'liu'qiu 喷流球
'po'xiao'zhi'guang 破晓之光
'qian'duan'jian 铅短剑
'qian'kuan'jian 铅宽剑
'qing'ling'qie 蜻蛉切
'ri'yao'pen'fa'jian 日曜喷发剑
'san'cha'ji 三叉戟
'shan'tong'chang'ji 山铜长戟
'shan'tong'jian 山铜剑
'she'feng'jian 舌锋剑
'sheng'dan'shu'jian 圣诞树剑
'sheng'qi'shi'chui 圣骑士锤
'shi'ju'ren'zhi'quan 石巨人之拳
'shi'shang'jian'dao 时尚剪刀
'shuang'yin'jian 霜印剑
'shui'guo'dan'gao'xuan'ren 水果蛋糕旋刃
'si'shen'lian'dao 死神镰刀
'tai'ji'lian'jia 太极连枷
'tai'jin'jian 钛金剑
'tai'jin'san'cha'ji 钛金三叉戟
'tai'la'ren 泰拉刃
'tai'la'you'you'qiu 泰拉悠悠球
'tang'bang'jian 糖棒剑
