'a'shi 阿屎
'ao'di'ke'guang'zi'qiang 奥堤克光子枪
'ao'mao 艹猫
'ban'yun'zhe 搬运者
'bing'di 冰帝
'cuan'sheng 蹿升
'da'ke'la 达克拉
'die'jia 蝶甲
'die'mei 蝶妹
'du'ma 毒妈
'fen'lie'dan'tou 分裂弹头
'fen'lie'tang'shi 分裂膛室
'fu'ma 福马
'fu'shi'tou'she 腐蚀投射
'ga'li 咖喱
'gang'tie'chong'neng 钢铁充能
'hou'niu 吼牛
'jia'su'wa 加速娃
'jing'dian'neng'liang'yin'dao'qiang 静电能量引导枪
'ju'shou 巨兽
'jun'heng'dian 均衡点
'ka'ma'wan'jia'qiang 咖玛腕甲枪
'ke'te'la'ke'si 科特拉克斯
'kuang'qiang 矿枪
'le'ke'ta 勒克塔
'li'ming'bo 李明博
'long'men 龙门
'luo'ding'guai'ren 螺钉拐刃
'luo'ji 洛基
'mang'nu 盲怒
'meng'hu 猛虎
'neng'liang'hong'xi 能量虹吸
'nv'han'zi 女汉子
'ou'te'lu'si 欧特鲁斯
'pa'li'si 帕里斯
'pao'zao 泡澡
'po'jian 破剑
'sai'de'na 塞德娜
'shi'ti'tuo 史提托
'shi'zu 氏族
'shu'yi 枢议
'si'ling 死灵
'su'pu'la 苏普拉
'tan'zhi'shun'ji 弹指瞬技
'wu'ming'zhi'cai 无明制裁
'xi'shen'xing 阋神星
'xiao'hei 小黑
'xuan'ren'fei'dao 旋刃飞刀
'ya'po'dian 压迫点
'ye'bao 业报
'yi'rong 异融
'yong'qi'hai'ke 勇气海克
'zhan'zheng'zhi'jian 战争之剑
'zheng'fu 征服
'zhong'li'qi'dian'ni'cheng'qiang 重力奇点拟成枪
