'a'ka'teng 阿卡腾
'a'ke'li'de 阿克里德
'a'li'wu'shuang'qiang 阿利乌双枪
'a'suo'dai 阿索代
'a'ta'ke'si 阿塔克斯
'a'te'la'ke'si 阿特拉克斯
'a'ti'ka 阿提卡
'ai'ke'sa'de'zhi'jia 艾克萨德支架
'an'bai'le'si 安柏勒斯
'an'ge'si'zhuang 安格斯壮
'an'hei'bi'shou 暗黑匕首
'an'hei'chang'jian 暗黑长剑
'an'hei'fen'he'jian 暗黑分合剑
'an'pei'ke'si 安培克斯
'an'sha'zhe 暗杀者
'ao'bi'ke'si 奥比克斯
'ao'bu'shan'gu'sheng'cun'zu'he'bao 奥布山谷生存组合包
'ao'di'ke'guang'zi'qiang 奥堤克光子枪
'ao'nu'li'ke'si 奥努里克斯
'ba'shi'mu 巴什穆
'ba'tuo'teng 巴托腾
'ba'zi'huo'qiang 巴兹火枪
'ban'ren'ma 半人马
'bao'la 宝拉
'bao'si'gan'ran'qiang 孢丝感染枪
'bao'zhang'le'ke'ta 保障勒克塔
'bao'zhang'pan'ta 保障潘塔
'bao'zhang'xi'si'te'shuang'qiang 保障锡斯特双枪
'bei'hai'ju'yao 北海巨妖
'bei'tong'zhi'ren 悲痛之刃
'bing'bian 病变
'bing'nang'fei'ren 病囊飞刃
'bing'song 冰凇
'bo'si'dun 伯斯顿
'bo'zhi'wu'zhang 玻之武杖
'bu'la'ke 布拉克
'bu'lai'dun 布莱顿
'bu'li'si'ti'ka 布里斯提卡
'cang'qiong'bi'shou 苍穹匕首
'cang'qiong'shuang'jian 苍穹双剑
'cang'qiong'si'shen 苍穹死神
'cang'qiong'zhi'jian 苍穹之剑
'cao'yuan'lie'shou 草原猎手
'chao'yin'bo'chong'ji'qiang 超音波冲击枪
'cheng'jie'zhe 惩戒者
'chi'du'bei'hai'ju'yao 赤毒北海巨妖
'chi'du'bu'la'ke 赤毒布拉克
'chi'du'bu'la'ma 赤毒布拉玛
'chi'du'ci'lu 赤毒雌鹿
'chi'du'ge'la'te'le 赤毒葛拉特勒
'chi'du'hai'ke 赤毒海克
'chi'du'ka'la'ke 赤毒卡拉克
'chi'du'kou'en're'neng'qiang 赤毒寇恩热能枪
'chi'du'kua'ta'ke 赤毒夸塔克
'chi'du'long'qi'bing 赤毒龙骑兵
'chi'du'nu'kou'wei'bo'qiang 赤毒努寇微波枪
'chi'du'nu'lei 赤毒怒雷
'chi'du'sha'huang 赤毒沙皇
'chi'du'shi'ren'nv'mo 赤毒食人女魔
'chi'du'shuang'zi'shi'du'ba 赤毒双子史度巴
'chi'du'xi'er'de 赤毒希尔德
'chi'du'xie'yan 赤毒邪眼
'chi'du'yu'yan'zhe 赤毒预言者
'chi'du'zheng'fu'liu'pao 赤毒征服榴炮
'chi'feng 赤风
'chi'yan'liu'xing 赤炎流星
'chi'yang'you'yue 赤阳幽月
'chuang'shang 创伤
'ci'lu 雌鹿
'ci'xi'xi'nuo'si 刺吸西诺斯
'cui'mo'zhe 啐沫者
'cui'que 翠雀
'da'ao'shi'ren'wai'guan 大奥侍刃外观
'da'jiu'he'gong 大久和弓
'da'ke'la 达克拉
'da'ke'la'shuang'jian 达克拉双剑
'dao're'ju'jiao'qiang 导热聚焦枪
'dao'zei'shuang'qiang 盗贼双枪
'de'la 德拉
'de'la'po'huai'zhe 德拉破坏者
'de'ta'te 德塔特
'de'te'ang 德特昂
'di'si'ke'zhi'jia 迪斯克支架
'dian'bi'guai'jie 电匕怪杰
'dian'chong'ci'yu'cha 电冲刺鱼叉
'dian'huan'bu'qiang 电幻步枪
'dian'liu'ci'suo 电流刺索
'dian'neng'zhan'ju 电能斩锯
'dian'zhen'bo'yu'cha 电震波鱼叉
'ding'hai'shen'zhen 定海神针
'du'ci 毒刺
'du'nang'gu'jian 毒囊骨茧
'du'nang'shuang'qiang 毒囊双枪
'du'ya 毒芽
'duan'bing'zhan'lian 短柄战镰
'duo'hun'si'shen 夺魂死神
'duo'ke'la'mu 多克拉姆
'duo'lian'chuan'jia'qiang 多连穿甲枪
'e'lang'zhan'chui 恶狼战锤
'e'long 恶龙
'e'nong'shuang'fu 恶脓双斧
'e'shen 鳄神
'fa'de'zhi'jia 法得支架
'fang'wei'jiao 方位角
'fei'de'la 菲德菈
'fei'hong'an'hei'bi'shou 绯红暗黑匕首
'fei'hong'bu'li'si'ti'ka 绯红布里斯提卡
'fei'hong'xi'nuo'si 绯红西诺斯
'fei'yang 飞扬
'fen'li 分离
'fen'lie'zhan'fu 分裂斩斧
'feng'ming 风鸣
'feng'mo 凤殁
'feng'qun'de'te'ang 蜂群德特昂
'feng'yue'shuang'fu 锋月双斧
'fu'guang'nu'pao 辐光弩炮
'fu'la'ke'si 弗拉克斯
'fu'la'ke'si'wang'hun 弗拉克斯亡魂
'fu'zhi'ji'sheng'zhe 附肢寄生者
'gan'ran'lian'jia 感染连枷
'gang'ren'bu'qiang 钢刃步枪
'ge'en'huo'qiang 葛恩火枪
'ge'la'ka'da 葛拉卡达
'ge'la'mu 格拉姆
'ge'la'te'le 葛拉特勒
'ge'lan'mu'leng'jing 格兰姆棱镜
'gou'chong 钩铳
'gu'zang 骨葬
'guang'pu'qie'ge'qi 光谱切割器
'guang'pu'qie'ge'qi'po'huai'zhe 光谱切割器破坏者
'gui'ji'zhi'ren 诡计之刃
'ha'li'ka 哈利卡
'ha'li'ka'wang'hun 哈利卡亡魂
'ha'pa'ke 哈帕克
'hai'bo'dan'jian 海波单剑
'hai'bo'si'ku'la'dui'jian 海波斯库拉对剑
'hai'di'liu'dan 骇敌榴弹
'hai'ke 海克
'hao'zhu 豪猪
'he'cheng'ran'qi'pao 合成燃气炮
'he'er'si'zhuang 赫尔斯壮
'he'li'e'guang'chui 赫利俄光锤
'he'tuo'chang'ji 鹤鸵长戟
'hei'ya 黑鸦
'heng'xuan'zhong'pao 横痃重炮
'hong'sun 红隼
'hu'dian'li'zi'qiang 弧电离子枪
'hu'dian'tan'zhi'zhe 弧电探知者
'hu'dian'zhen'zi'chui 弧电振子锤
'huan'li'zi 幻离子
'huang'jia'guai'ren 皇家拐刃
'huang'miu'shuang'qiang 荒谬双枪
'huo'gen 祸根
'ji'dong'pen'qiang 急冻喷枪
'ji'guang'bu'qiang 激光步枪
'ji'guang'dian'fa 激光点发
'ji'qiao'zhi'jian 技巧之剑
'ji'su'dian'ci'bu'qiang 极速电磁步枪
'ji'zhui'jie'bian 脊椎节鞭
'jia'long'shuang'quan 甲龙双拳
'jia'lun'ti'en 迦伦提恩
'jia'zha'le'fan'qu'dao 加扎勒反曲刀
'jian'cha'zhe'shuang'qiang 监察者双枪
'jian'fan 尖幡
'jiang'ling'zhui'lie'zhe 降灵追猎者
'jiang'nan'xing'ci 疆南星刺
'jin'gong'huo'qiang 金工火枪
'jin'gong'huo'she 金工火舌
'jin'gong'huo'shen 金工火神
'jin'li'jian 金璃剑
'jing'dian'neng'liang'dao'yin'qiang 静电能量导引枪
'jing'neng'fang'she'qi 晶能放射器
'jiu'shu'zhe 救赎者
'ju'ji'qiang 狙击枪
'ju'ji'te'ang 狙击特昂
'ju'jue'jin'bang 咀嚼金棒
'ju'lang 巨浪
'jue'li'quan'tao 角力拳套
'jue'lu 绝路
'jue'wang 绝望
'jue'xing'shuang'qiang 觉醒双枪
'jun'shan 军扇
'ka'de'si 卡德斯
'ka'la'ke 卡拉克
'ka'ma'wan'jia'qiang 咖玛腕甲枪
'ka'pa'ya'li'qiang 卡帕压力枪
'ka'ti'nu'zhi'zhao 卡提努之爪
'kai'luo'si'te 凯洛斯特
'kai'rui'si'shuang'dao 凯瑞斯双刀
'kai'xuan'jiang'jun 凯旋将军
'kai'xuan'zhi'zhao 凯旋之爪
'kan'ti'ke'leng'jing 堪提克棱镜
'ke'jia'ji 科加基
'ke'la'mo'a'leng'jing 克拉莫阿棱镜
'ke'lai'bu'li'ke'zhi'jia 克莱布里克支架
'ke'lin'si 科林斯
'ke'long'shen 客隆什
'ke'luo'nuo'si 克洛诺斯
'ke'na'ke'si 克纳克斯
'kong'ju 恐惧
'kong'ren 空刃
'kong'ren'shuang'dao 空刃双刀
'kong'shou 空手
'kou'en're'neng'qiang 寇恩热能枪
'kou'en'xian'ji'qiang 寇恩霰机枪
'ku'lu'duo 库鲁多
'ku'tong'de'te'ang 苦痛德特昂
'ku'wu 苦无
'kua'ta'ke 夸塔克
'kua'zi 夸兹
'kuang'sha 狂鲨
'kui'she 蝰蛇
'kui'shou'gu'yao 蝰首骨妖
'la'bi'wei 拉比威
'la'pu'la'ke'leng'jing 拉普拉克棱镜
'la'si'bo'en 拉斯波恩
'la'te'ang 拉特昂
'la'tuo 拉托
'lai'si'teng 莱斯腾
'lan'ka 兰卡
'lan'zuo'yu'cha 兰佐鱼叉
'lang'ya 狼牙
'le'ka'leng'jing 勒咖棱镜
'le'ke'ta 勒克塔
'lei'bao'xin'biao 雷爆信镖
'lei'ke'si 雷克斯
