'bu'er'xing 布尔型
'chang'liang 常量
'chang'zheng'xing 长整型
'fu'dian'xing 浮点型
'fu'he'cheng 复合乘
'fu'he'chu 复合除
'fu'he'huo 复合或
'fu'he'jia 复合加
'fu'he'jian 复合减
'fu'he'yu 复合与
'jing'tai'bian'liang 静态变量
'jue'dui'zhi 绝对值
'kai'fang'han'shu 开方函数
'qu'xiao'zhong'duan 取消中断
'she'zhi'zhong'duan 设置中断
'shu'zhi'xian'zhi 数值限制
'shu'zu 数组
'shuang'jing'du'fu'dian'xing 双精度浮点型
'wei'you'yi 位右移
'wei'zuo'yi 位左移
'wu'fu'hao'chang'zheng'xing 无符号长整型
'wu'fu'hao'zi'fu'xing 无符号字符型
'yi'bian'bian'liang 易变变量
'ying'she'han'shu 映射函数
'yu'xian'han'shu 余弦函数
'zheng'qie'han'shu 正切函数
'zheng'xian'han'shu 正弦函数
'zheng'xing 整型
'zhi'shu'han'shu 指数函数
'zi'fu'chuan'zi'fu'chuan'xing 字符串字符串型
'zi'fu'xing 字符型
'zi'jia 自加
'zi'jian 自减
'zi'jie'xing 字节型
'zi'xing 字型
'zui'da'zhi 最大值
'zui'xiao'zhi 最小值
