'ai'yin 爱音
'ba'chao'liu'wei 八潮瑠唯
'ba'fan'hai'ling 八幡海铃
'bai'jin'lin'zi 白金燐子
'bai'lu'qian'sheng 白鹭千圣
'bang'bang 邦邦
'bang'gao'zu 邦高祖
'bei'ze'yu'mei 北泽育美
'bing'chuan'sha'ye 冰川纱夜
'cang'tian'zhen'bai 仓田真白
'chang'qi'su'shi 长崎素世
'chun'tian'zhen'nai 纯田真奈
'cong'lai'mei'you'jue'de'kai'xin'guo 从来没有觉得开心过
'cou'you'xi'na 凑友希那
'dou'zhu'shi'chuan 都筑诗船
'er'ye'zhu'zi 二叶筑紫
'fei'niao'shan 飞鸟山
'fei'niao'shan'gong'yuan 飞鸟山公园
'feng'chuan'xiang'zi 丰川祥子
'gao'song'deng 高松灯
'guang'ding'qi'shen 广町七深
'hai'ling 海铃
'he'zou'rui'yi 和奏瑞依
'hu'shan'xiang'cheng 户山香澄
'hua'xiao'chuan 花咲川
'hua'yuan'miao 花园妙
'huang'gua'mu 黄瓜睦
'jin'jing'li'sha 今井莉莎
'jiu'gu'mi'xie'er 鸠谷米歇尔
'lai'tian'xun 濑田薰
'lan'se'zhang'yu 蓝色章鱼
'le'nai 乐奈
'li'xi 立希
'ling'gan'gu 灵感菇
'mei'zhu'lan 美竹兰
'mi'xie'er 米歇尔
'miao'meng 喵梦
'miao'meng'qin 喵梦亲
'niu'yu'li'mei 牛込里美
'ou'nie'gai 偶捏该
'qian'zao'ai'yin 千早爱音
'qing'ye'mo'ka 青叶摩卡
'ruo'mai 若麦
'ruo'ye'mu 若叶睦
'san'jiao'chu'hua 三角初华
'san'jiao'chu'yin 三角初音
'shan'chui'sha'ling 山吹沙绫
'shang'yuan'fei'ma'li 上原绯玛丽
'shi'gu'you'xiao 市谷有咲
'song'yuan'hua'yin 松原花音
'tian'tian'quan'nv'shi 甜甜圈女士
'tong'gu'tou'zi 桐谷透子
'tou'mo'ling 偷摸零
'wa'da'xi 哇达西
'wan'shan'cai 丸山彩
'xian'juan'xin 弦卷心
'yao'le'nai 要乐奈
'you'tian'si 祐天寺
'you'tian'si'ruo'mai 祐天寺若麦
'yu'qiu 羽丘
'yu'qiu'ma'mei 羽丘麻美
'yu'tian'chuan'ya'zi 宇田川亚子
'yue'zhi'sen 月之森
'zhao'ri'liu'hua 朝日六花
'zhui'ming 椎名
'zhui'ming'li'xi 椎名立希
'zuo'cang'xing'zi 佐仓杏子
'zuo'teng'yi'mu 佐藤益木
