'bian'bai'yi'wei'hei'xi 变白以为黑兮
'bo'le'ji'mei 伯乐既没
'cai'pu'wei'ji'xi 材朴委积兮
'cao'mu'mang'mang 草木莽莽
'ceng'shang'yuan'ai 曾伤爰哀
'ceng'yin'heng'bei'xi 曾唫恒悲兮
'chang'du'wei'ti 常度未替
'cheng'lian'gai'fen'xi 惩连改忿兮
'chong'hua'bu'ke'e'xi 重华不可遻兮
'da'ren'suo'sheng 大人所晟
'dao'shang'yi'wei'xia 倒上以为下
'dao'yuan'hu'xi 道远忽兮
'ding'xin'guang'zhi 定心广志
'du'wu'pi'xi 独无匹兮
'fei'jun'yi'jie'xi 非俊疑杰兮
'fei'suo'guai'ye 吠所怪也
'fen'liu'gu'xi 分流汩兮
'feng'huang'zai'nu'xi 凤皇在笯兮
'fu'qing'xiao'zhi'xi 抚情效志兮
'fu'wei'dang'ren'bi'gu'xi 夫惟党人鄙固兮
'ge'you'suo'cuo'xi 各有所错兮
'gu'cu'nan'tu 汩徂南土
'gu'gu'you'bu'bing'xi 古固有不并兮
'gu'wei'zhi'bu'ming 瞽谓之不明
'gu'yong'tai'ye 固庸态也
'hao'hao'yuan'xiang 浩浩沅湘
'huai'jin'wo'yu'xi 怀瑾握瑜兮
'huai'zhi'bao'qing 怀质抱青
'ji'wu'xiang'wu 鸡鹜翔舞
'ji'yan'cheng'xi 骥焉程兮
'jin'hou'yi'wei'feng 谨厚以为丰
'jin'lu'bei'ci'xi 进路北次兮
'jiu'zhang'huai'sha 九章怀沙
'jun'zi'suo'bi 君子所鄙
'kong'jing'you'mo 孔静幽默
'li'lou'wei'di'xi 离娄微睇兮
'li'min'er'bu'qian'xi 离闵而不迁兮
'li'min'er'chang'ju 离愍而长鞠
'luan'yue 乱曰
'meng'sou'wei'zhi'bu'zhang 蒙瞍谓之不章
'miao'er'bu'ke'mu 邈而不可慕
'min'sheng'bing'ming 民生禀命
'ming'gao'jun 明告君
'mo'zhi'yu'zhi'suo'you 莫知余之所有
'nei'hou'zhi'zheng'xi 内厚质正兮
'qi'zhi'qi'he'gu 岂知其何故
'qian'tu'wei'gai 前图未改
'qiang'bu'zhi'yu'zhi'suo'zang 羌不知余之所臧
'qiao'chui'bu'zhuo'xi 巧陲不斵兮
'qiong'bu'zhi'suo'shi 穷不知所示
'ren'chong'zai'sheng'xi 任重载盛兮
'ren'xin'bu'ke'wei'xi 人心不可谓兮
'ri'mei'mei'qi'jiang'mu 日昧昧其将暮
'shang'huai'yong'ai'xi 伤怀永哀兮
'shi'hun'zhuo'mo'wu'zhi 世溷浊莫吾知
'shi'ji'mo'wu'zhi'xi 世既莫吾知兮
'shu'cha'qi'kui'zheng 孰察其揆正
'shu'you'yu'ai'xi 舒忧娱哀兮
'shu'zhi'yu'zhi'cong'rong 孰知余之从容
'shun'xi'yao'yao 眴兮杳杳
'tang'yu'jiu'yuan'xi 汤禹久远兮
'tao'tao'meng'xia'xi 滔滔孟夏兮
'tong'rou'yu'shi'xi 同糅玉石兮
'wan'fang'yi'wei'huan'xi 刓方以为圜兮
'wen'zhi'shu'nei'xi 文质疏内兮
'wu'jiang'yi'wei'lei'xi 吾将以为类兮
'xian'zhi'er'bu'ji 陷滞而不济
'xian'zhi'yi'da'gu 限之以大故
'xiu'lu'you'bi 脩路幽蔽
'xuan'wen'chu'you'xi 玄文处幽兮
'yi'chu'ben'di'xi 易初本迪兮
'yi'gai'er'xiang'liang 一概而相量
'yi'quan'qun'fei'xi 邑犬群吠兮
'yi'xin'er'zi'qiang 抑心而自强
'yong'kai'tan'xi 永慨叹兮
'yong'tan'kui'xi 永叹喟兮
'yu'he'wei'ju'xi 余何畏惧兮
'yu'jie'yu'zhen'xi 郁结纡轸兮
'yuan'qu'er'zi'yi 冤屈而自抑
'yuan'wu'ai'xi 愿勿爱兮
'yuan'zhi'zhi'you'xiang 愿志之有像
'zhang'hua'zhi'mo'xi 章画志墨兮
'zhi'si'bu'ke'rang 知死不可让
'zhong'bu'zhi'yu'zhi'yi'cai 众不知余之异采
'zhong'ren'xi'yi'xi 重仁袭义兮
