'a'luo 阿罗
'a'luo'mai'ke'xin 阿罗麦克辛
'a'shen'li'ge'lin'ni 阿什丽格林尼
'ai'de'hua 爱德华
'ai'de'hua'ka'lun 爱德华卡伦
'ai'li'si 爱丽丝
'ai'li'si'dai 埃利斯戴
'ai'li'si'ka'lun 爱丽丝卡伦
'ai'mei'te 埃梅特
'ai'mei'te'ka'lun 埃梅特卡伦
'ai'meng 艾蒙
'ai'mi'li 艾米丽
'ai'si'mei 埃斯梅
'ai'si'mei'ka'lun 埃斯梅卡伦
'an'ji'la 安吉拉
'bao'luo 保罗
'bei'la 贝拉
'bei'la'ka'lun 贝拉卡伦
'ben'jie'ming 本杰明
'bi'de 彼得
'bi'de'fei'xin'li 比的费辛利
'bi'li 比利
'bi'li'bo'ke 比利伯克
'bi'li'bu'lai'ke 比利布莱克
'bo'bo'si'tu'er'te 波波斯图尔特
'bu'lai'si'da'la'si'huo'hua'de 布莱斯达拉斯霍华德
'bu'li 布里
'bu'li'tan'na 布里坦纳
'bu'li'tan'na'di'er'ci'duan'zan'sheng'ming 布里坦纳第二次短暂生命
'cha'fu'li'na 查弗丽娜
'cha'li 查理
'cha'li'bu'lei 查理布雷
'cha'li'si'wang 查理斯旺
'cha'si'ke'si'bin'sai 查斯科斯宾塞
'da'ke'ta'fan'ning 达科塔范宁
'da'wei'si'lei'de 大卫斯雷德
'dan'ni'er'ka'mo 丹尼尔卡莫
'de'mi'te'li 德米特里
'di'ya'ge 迪亚戈
'di'ya'jia'le 蒂亚加勒
'en'bu'li 恩布里
'fei'li'ke'si 菲利克斯
'fu'ke'si 福克斯
'fu'la'de'mi'er 弗拉德米尔
'hai'di 海蒂
'ji'er'bo'ming'han 吉尔伯明翰
'jia'si'pa 贾斯帕
'jia'si'pa'hei'er 贾斯帕黑尔
'jie'ke'xiu'si'dun 杰克休斯顿
'jie'ke'xun'la'si'bo'en 杰克逊拉斯波恩
'jie'la'de 杰拉德
'ka'ji'li 卡叽里
'ka'lai'er 卡莱尔
'ka'lai'er'ka'lun 卡莱尔卡伦
'ka'lun 卡伦
'ka'mei'lun'bu'lai'te 卡梅伦布莱特
'ka'men 卡门
'kai'bi 凯比
'kai'e'si 凯厄斯
'kai'e'si'ji'mi'ai'bei'er 凯厄斯吉米埃贝尔
'kai'nan'lu'zi 凯南鲁兹
'kai'te 凯特
'kang'nie'di'ge'zhou 康涅狄格州
'ke'li'si'di'se'la'tu'si 克里斯蒂瑟拉图斯
'ke'li'si'teng'pu'luo'te 克里斯滕普罗特
'ke'li'si'ting'si'tu'er'te 克里斯汀斯图尔特
'lai'li 赖利
'lai'li'bi'li'si 赖利比利斯
'lan'de'er 兰德尔
'lao'lun'te 劳伦特
'le'na'te 勒娜特
'lei'ni 蕾妮
'lei'ni'de'er 蕾妮德尔
'lei'ni'si'mei 蕾妮斯梅
'lei'ni'si'mei'ka'li'ka'lun 蕾妮斯梅卡里卡伦
'lei'qie'er'li'fei'fo 蕾切尔李费佛
'li'er 里尔
'li'er'ke'li'er'wo'te 里尔克里尔沃特
'li'er'mu 里尔姆
'lu'xi 露西
'luo'bo'te'pa'ding'sen 罗伯特帕丁森
'luo'sha'li 罗莎莉
'luo'sha'li'hei'er 罗莎莉黑尔
'luo'yi'si'jin 罗伊斯金
'ma'ji 玛吉
'ma'ku'si 马库斯
'ma'ku'si'ke'li'si'duo'fu'hai'da'er 马库斯克里斯多夫海达尔
'ma'li 玛丽
'mai'ke 迈克
'mai'ke'niu'dun 迈克牛顿
'mai'ke'wei'er'qi 迈克韦尔奇
'mei'li'sha'luo'sen'bo'ge 梅莉莎罗森伯格
'mu'guang'zhi'cheng 暮光之城
'mu'se 暮色
'ni'ji'rui'de 妮基瑞德
'po'xiao 破晓
'qie'er'xi 切尔西
'sai'na 塞娜
'sai'si 塞思
'sai'si'ke'li'er'wo'te 塞思克里尔沃特
'sha'wei'er'sai'miu'er 沙维尔塞缪尔
'shan'mu 山姆
'shan'mu'wu'li 山姆乌利
'shi'di'fen 史蒂芬
'si'di'fen'ni 斯蒂芬妮
'tai'le'luo'te'na 泰勒洛特纳
'tan'ni'ya 坦尼娅
'ting'sai'er'ke'rui 婷塞尔柯瑞
'wei'duo'li'ya 维多利亚
'wei'na'er 维纳尔
'wo'er'tu'li 沃尔图里
'wo'er'tu'li'jia'zu 沃尔图里家族
'wo'te'la 沃特拉
'wu'ye'yang'guang 午夜阳光
'xi'ao'bu'han 希奥布翰
'xi'xue'xin'shi'ji 吸血新世纪
'xia'luo'te 夏洛特
'xin'yue 新月
'xiu'yi'lun 休伊伦
'ya'ge'bu 雅各布
'ya'ge'bu'bu'lai'ke 雅各布布莱克
'ya'li'ke 亚力克
'ya'li'ke'si'mo'la'zi 亚历克斯莫拉兹
'yi'li'er 伊里尔
'yi'li'sha'bai'li'se 伊莉莎白里瑟
'yi'sha'bei'la 伊莎贝拉
'yue'shi 月食
'zhan'mu'si 詹姆斯
