'a'ba'du'ke 阿巴杜克
'a'er'ka'na 阿尔卡娜
'a'er'tai'lun 阿尔泰伦
'a'ge'er 阿格尔
'a'jia'lei'si 阿加雷斯
'a'ka'du'si 阿卡杜斯
'a'ka'nan 阿卡南
'a'ke'ba'de 阿克巴德
'ai'dan 艾旦
'ai'er'ku'lu'si 艾尔库鲁斯
'ai'fei'na 埃菲纳
'ai'ji'na'er 艾吉纳尔
'ai'li'sha 艾莉莎
'ai'nu 艾努
'ai'si'xi'de 艾斯希德
'ai'yin'la'he 艾因拉赫
'an'ti'nuo'fu 安缇诺夫
'an'zhao'tu'fu 暗爪屠夫
'ao'jia'ni 奥加尼
'ba'he'du'si 巴赫杜斯
'ba'ke'nuo'fu 巴克诺夫
'ba'ku'lang 巴库朗
'ba'luo'er 巴罗尔
'bao'ji'jing'tong 暴击精通
'bei'er'bei 贝尔卑
'bei'la 贝拉
'bei'li'wu'si 贝利乌斯
'bei'nu'kan 贝努坎
'bi'ge'hong 比格红
'bing'long 冰龙
'bu'la'ha 布拉哈
'bu'lai 布莱
'bu'li'ji'te 布里吉特
'cha'er'si 查尔斯
'chen'xing'yun'luo 晨星陨落
'chi'nu'qiu'zhang 赤怒酋长
'chuan'zhang 船长
'da'she 大蛇
'da'yu 大鱼
'dai'li 呆梨
'dai'li'ya 呆梨鸭
'dan'ya 丹雅
'dao'hou 刀猴
'de'lu'yi 德鲁伊
'ding'ci'zhi'zhu'wang 钉刺蜘蛛王
'ding'ge'lei 丁格雷
'dou'zheng 斗争
'dou'zheng'zhi'ta 斗争之塔
'du'zi'teng'de'da'ge 肚子疼的大哥
'e'meng'kai'tang'shou 噩梦开膛手
'en'ka'la 恩卡拉
'er'ha 二哈
'fa'zhang 法杖
'fang'ju'da'shi 防具大师
'fang'yu'zeng'qiang 防御增强
'fei'li'mei'si 费里梅斯
'fei'ou'na 菲欧纳
'feng'nv'ren 疯女人
'feng'te'lu 冯特鲁
'fu'ben 副本
'fu'lan 弗兰
'fu'zhu'wu'qi'da'shi 辅助武器大师
'gan'si'dui 敢死队
'ge'bu'lin'gong'tou 哥布林工头
