'bei'dong'ji'neng 被动技能
'ben'pao'ba'lao'shu 奔跑吧老鼠
'bian'pao 鞭炮
'bing'shui 冰水
'bing'tong 冰桶
'bu'qi 布奇
'can'ting 餐厅
'cha'zi 叉子
'chu'fang 厨房
'da'hua'ping 大花瓶
'e'mo'tai'fei 恶魔泰菲
'feng'kuang'nai'lao'sai 疯狂奶酪赛
'gao'er'fu 高尔夫
'ge'lou 阁楼
'hai'dao'jie'rui 海盗杰瑞
'huang'jin'yao'shi'sai 黄金钥匙赛
'jian'ke'jie'rui 剑客杰瑞
'jian'ke'tai'fei 剑客泰菲
'jie'rui 杰瑞
'jing'dian'mo'shi 经典模式
'jing'dian'zhi'jia 经典之家
'ke'ting 客厅
'lai'te'ning 莱特宁
'lao'shu'jia 老鼠夹
'luo'bin'han'jie'rui 罗宾汉杰瑞
'mi'te 米特
'mo'shu'shi 魔术师
'niu'zai'tang'mu 牛仔汤姆
'pei'ke'si 佩克斯
'sen'lin'mu'chang 森林牧场
'sha'tan'pai'qiu 沙滩排球
'shi'wei'tang'mu 侍卫汤姆
'tai'fei 泰菲
'tai'kong'bao'lei 太空堡垒
'tang'mu 汤姆
'te'gong'xing'dong 特工行动
'tian'shi'tai'fei 天使泰菲
'ting'yuan 庭院
'tu'ci 图茨
'tu'duo'gai'luo 图多盖洛
'tuan'ti'jing'su'sai 团体竞速赛
'tuo'pu'si 托普斯
'wo'shi 卧室
'wu'qi'ji'neng 武器技能
'xia'ri'you'lun 夏日游轮
'xiao'hua'ping 小花瓶
'xue'li 雪梨
'xue'ye'gu'bao 雪夜古堡
'yan'hua'da'zuo'zhan 烟花大作战
'you'le'chang 游乐场
'za'wu'jian 杂物间
'zha'yao 炸药
'zha'yao'tong 炸药桶
'zhu'dong'ji'neng 主动技能
