'a'ba'ka'wei 阿巴卡韦
'a'ben'da'zuo 阿苯达唑
'a'da'pa'lin 阿达帕林
'a'fa'gu'hua'chun 阿法骨化醇
'a'fa'si'ting 阿伐斯汀
'a'ju'pian 阿桔片
'a'ka'bo'tang 阿卡波糖
'a'ke'la'mei'su 阿克拉霉素
'a'lun'lin'suan'na 阿仑膦酸钠
'a'luo'luo'er 阿罗洛尔
'a'luo'xi'lin 阿洛西林
'a'mi'luo'li 阿米洛利
'a'mi'san'qin'luo'ba'xin'pian 阿米三嗪萝巴新片
'a'mi'ti'lin 阿米替林
'a'mo'luo'fen 阿莫罗芬
'a'mo'xi'lin 阿莫西林
'a'mo'xi'lin'ke'la'wei'suan'jia 阿莫西林克拉维酸钾
'a'mo'xi'lin'na'fu'lv'xi'lin 阿莫西林钠氟氯西林
'a'mo'xi'lin'shu'ba'tan'na 阿莫西林舒巴坦钠
'a'na'qu'zuo 阿那曲唑
'a'pu'lin'ding 阿普林定
'a'pu'ma'fei 阿扑吗啡
'a'pu'zuo'lun 阿普唑仑
'a'qi'mei'su 阿奇霉素
'a'qin'mi'te 阿嗪米特
'a'qu'ku'an 阿曲库铵
'a'rou'bi'xing 阿柔比星
'a'si'mi'zuo 阿司咪唑
'a'si'pi'lin 阿司匹林
'a'tang'bao'gan 阿糖胞苷
'a'ti'luo'er 阿替洛尔
'a'ti'pu'mei 阿替普酶
'a'tuo'pin 阿托品
'a'wei'suan 阿魏酸
'a'xi'luo'wei 阿昔洛韦
'a'xi'mo'si 阿昔莫司
'ai'pu'lie'te 爱普列特
'ai'si'luo'er 艾司洛尔
'ai'si'zuo'lun 艾司唑仑
'ai'suo'mei'la'zuo'mei 埃索美拉唑镁
'an'ben'die'ding 氨苯蝶啶
'an'ben'feng 氨苯砜
'an'bian'xi'lin 氨苄西林
'an'bian'xi'lin'lv'zuo'xi'lin 氨苄西林氯唑西林
'an'bian'xi'lin'na'shu'ba'tan 氨苄西林钠舒巴坦
'an'cha'jian 氨茶碱
'an'dian'tai 氨碘肽
'an'dian'tong 胺碘酮
'an'ding'san'chun 氨丁三醇
'an'ji'bi'lin 氨基比林
'an'ji'ji'suan 氨基己酸
'an'ji'pu'tao'tang 氨基葡萄糖
'an'ji'suan 氨基酸
'an'jia'ben'suan 氨甲苯酸
'an'jia'huan'suan 氨甲环酸
'an'li'nong 氨力农
'an'lu'mi'te 氨鲁米特
'an'lv'di'ping 氨氯地平
'an'qu'nan 氨曲南
'an'ta'zuo'lin 安他唑啉
'an'tai'su 氨肽素
'an'tang'mei'xin 氨糖美辛
'an'xi'xiang'ding 安息香酊
'an'xiu'suo 氨溴索
'ang'dan'si'qiong 昂丹司琼
'ao'bu'ka'yin 奥布卡因
'ao'dan'ping 奥氮平
'ao'ka'xi'ping 奥卡西平
'ao'la'xi'tan 奥拉西坦
'ao'mei'la'zuo 奥美拉唑
'ao'qu'tai 奥曲肽
'ao'sha'li'bo 奥沙利铂
'ao'sha'xi'pan 奥沙西泮
'ao'si'ta'wei 奥司他韦
'ao'ti'xiu'an 奥替溴铵
'ao'xi'bu'ning 奥昔布宁
'ao'xiao'zuo 奥硝唑
'ao'zha'ge'lei 奥扎格雷
'ba'lv'fen 巴氯芬
'ba'qu'mei 巴曲酶
'bai'xiao'an 白消安
'ban'bu'te'luo 班布特罗
'ban'mao'su 斑蝥素
'bao'lin'dan'jian 胞磷胆碱
'bao'quan'yang'dian'fen 包醛氧淀粉
'bei'mei'ge 贝美格
'bei'na'pu'li 贝那普利
'bei'nuo'zhi 贝诺酯
'bei'ta'luo'er 倍他洛尔
'bei'ta'mi'song 倍他米松
'bei'ta'si'ting 倍他司汀
'ben'ba'bi'tuo 苯巴比妥
'ben'bing'chun 苯丙醇
'ben'bing'pai'lin 苯丙哌林
'ben'bing'suan'nuo'long 苯丙酸诺龙
