'a'ben'da'zuo 阿苯达唑
'a'ben'pian 阿苯片
'a'gui'yang'xue'ke'li'ke'li'ji 阿归养血颗粒颗粒剂
'a'si'pi'lin 阿司匹林
'a'xi'luo'wei 阿昔洛韦
'ai'fu'nuan'gong'wan'mi'wan 艾附暖宫丸蜜丸
'an'rong'ye 氨溶液
'ba'zhen'wan'mi'wan 八珍丸蜜丸
'ba'zhen'yi'mu'wan'mi'wan 八珍益母丸蜜丸
'bai'he'gu'jin'wan'mi'wan 百合固金丸蜜丸
'ban'lan'gen'ke'li 板蓝根颗粒
'ben'ba'bi'tuo 苯巴比妥
'ben'bing'chun 苯丙醇
'ben'fen 苯酚
'ben'jia'suan 苯甲酸
'ben'jia'suan'fu'fang'zhi'ji 苯甲酸复方制剂
'ben'na'min 苯那敏
'ben'zha'xiu'an 苯扎溴铵
'ben'zuo'ka'yin 苯佐卡因
'bi'dou'yan'kou'fu'ye'kou'fu'ye 鼻窦炎口服液口服液
'bi'sha'ke'ding 比沙可啶
'bi'tong'ning'di'ji'he'ji 鼻通宁滴剂合剂
'bi'yan'pian'pian'ji 鼻炎片片剂
'bo'he'ding'ding'ji 薄荷锭锭剂
'bo'he'nao 薄荷脑
'bu'luo'fen 布洛芬
'bu'zhong'yi'qi'wan'shui'wan 补中益气丸水丸
'cha'ben'hai'ming 茶苯海明
'cha'ji 搽剂
'chai'hu'shu'gan'wan'mi'wan 柴胡舒肝丸蜜丸
'chang'rong'pian 肠溶片
'chong'ji 冲剂
'chuan'bei'qing'fei'tang'jiang 川贝清肺糖浆
'chuan'bei'zhi'ke'lu'tang'jiang'ji 川贝止咳露糖浆剂
'chuan'xin'lian'pian'pian'ji 穿心莲片片剂
'cong'rong'tong'bian'kou'fu'ye'kou'fu'ye 苁蓉通便口服液口服液
'cu'suan'jia'di'yun'tong 醋酸甲地孕酮
'cu'suan'qu'an'nai'de 醋酸曲安奈德
'cui'mian'yao 催眠药
'da'huang 大黄
'da'ke'luo'ning 达克罗宁
'da'shan'zha'wan'mi'wan 大山楂丸蜜丸
'dang'gui'hong'zao'ke'li'ke'li'ji 当归红枣颗粒颗粒剂
'dang'gui'ku'shen'wan'mi'wan 当归苦参丸蜜丸
'dang'gui'wan'mi'wan 当归丸蜜丸
'dao'chi'wan'mi'wan 导赤丸蜜丸
'di'er'ji 滴耳剂
'di'ji'fen 滴剂芬
'di'yan'ji 滴眼剂
'di'yu'huai'jiao'wan'mi'wan 地榆槐角丸蜜丸
'dian'qie'liu'jin'gao 颠茄流浸膏
'die'da'huo'xue'san'san'ji 跌打活血散散剂
'die'da'sun'shang'wan'mi'wan 跌打损伤丸蜜丸
'die'da'wan'mi'wan 跌打丸蜜丸
'du'mi'fen 度米芬
'dui'yi'xian'an'ji'fen 对乙酰氨基酚
'duo'pan'li'tong 多潘立酮
'e'jiao'bu'xue'gao'jian'gao'ji 阿胶补血膏煎膏剂
'er'jia'gui'you 二甲硅油
'er'liu'hua'xi 二硫化硒
'er'long'zuo'ci'wan'mi'wan 耳聋左慈丸蜜丸
'er'miao'wan'shui'wan 二妙丸水丸
'er'mu'ning'sou'wan'mi'wan 二母宁嗽丸蜜丸
'er'qiang'bing'cha'jian 二羟丙茶碱
'er'tong'ke'ye'he'ji 儿童咳液合剂
'er'tong'qing'fei'kou'fu'ye'kou'fu'ye 儿童清肺口服液口服液
'fa'mo'ti'ding 法莫替丁
'fan'suan 泛酸
'fan'suan'gai'pian'ji 泛酸钙片剂
'fang'feng'tong'sheng'wan'shui'wan 防风通圣丸水丸
'feng'han'gan'mao'chong'ji'ke'li'ji 风寒感冒冲剂颗粒剂
'feng're'gan'mao'chong'ji'ke'li'ji 风热感冒冲剂颗粒剂
'feng'shi'tong'yao'jiu'jiu'ji 风湿痛药酒酒剂
'feng'tong'ling'you'ji 风痛灵油剂
'feng'you'jing'you'ji 风油精油剂
'fu'fang'cu'suan'jia'di'yun'tong'pian'ji 复方醋酸甲地孕酮片剂
'fu'fang'qing'guo'chong'ji'ke'liao'ji 复方青果冲剂颗料剂
'fu'fang'que'nuo'tong'pian'ji 复方炔诺酮片剂
'fu'fang'zhi'ji 复方制剂
'fu'fang'zhi'ji'pian'ji 复方制剂片剂
