'a'bei'er'bian'li'ding'li 阿贝尔遍历定理
'a'bei'er'cu'de'ji'hua 阿贝尔簇的极化
'a'bei'er'fan'chou 阿贝尔范畴
'a'bei'er'han'shu'yu 阿贝尔函数域
'a'bei'er'jing'ti 阿贝尔晶体
'a'bei'er'kuo'zhang 阿贝尔扩张
'a'bei'er'qun'fan'chou 阿贝尔群范畴
'a'da'ma'ju'zhen 阿达马矩阵
'a'dai'er 阿代尔
'a'ting'ying'she 阿廷映射
'ai'da'er'shang'tong'diao 艾达尔上同调
'ai'er'mi'te'cha'zhi 埃尔米特插值
'ai'er'mi'te'er'ci'xing 埃尔米特二次型
'ai'er'mi'te'ju'zhen 埃尔米特矩阵
'ai'la'tuo'se'ni'shai'fa 埃拉托色尼筛法
'ai'li'wei'fen'fang'cheng 艾里微分方程
'ai'yin'si'tan'fang'cheng 爱因斯坦方程
'an'dian 鞍点
'an'dui'ping'heng'qu'zu'she'ji 按对平衡区组设计
'ba'na'he'dai'shu'de'biao'shi 巴拿赫代数的表示
'ban'ben'yuan'huan 半本原环
'ban'dan'cu 半单簇
'ban'dan'yuan 半单元
'ban'jing 半径
'ban'lian'xu'de 半连续的
'ban'sui'li'dai'shu 伴随李代数
'ban'sui'xian'xing'ying'she 伴随线性映射
'ban'wan'man'huan 半完满环
'ban'xian'xing'pian'wei'fen'fang'cheng 半线性偏微分方程
'ban'xian'xing'tong'gou 半线性同构
'ban'zheng'gui'suan'zi 半正规算子
'ban'zhi'ji 半直积
'bao'er'shuang'die'dai'fa 鲍尔双迭代法
'bao'ji'han'zi 保积函子
'bao'mi'ti'zhi 保密体制
'bao'qiang'kong'jian 胞腔空间
'bao'qiang'shang'tong'tiao'qun 胞腔上同调群
'bao'qiang'tong'tiao'qun 胞腔同调群
'bao'xu'ying'she 保序映射
'bei'cheng'shu 被乘数
'bei'ke'long'bian'huan 贝克隆变换
'ben'yuan 本元
'ben'yuan'mi'deng'yuan 本原幂等元
'ben'zhi'bu'zhen'dang 本质不振荡
'beng'kui'dian 崩溃点
'bi'bao'yun'suan 闭包运算
'bi'de'song'tu 彼得松图
'bi'gong'shi 闭公式
'bi'jiao'ding'li 比较定理
'bi'li'nei'xiang 比例内项
'bi'lu 闭路
'bi'xing'ji'fen'gong'shi 闭型积分公式
'bian'fen'bu'deng'shi 变分不等式
'bian'fen'fa 变分法
'bian'fu'gai 边覆盖
'bian'jie'biao'xian 边界表现
'bian'jie'dian 边界点
'bian'jie'dui'ying 边界对应
'bian'lian'tong'du 边连通度
'bian'xin'ju 边心距
'bian'xing'ma'di'e'fang'cheng 变形马蒂厄方程
'bian'xing'niu'dun'fa 变形牛顿法
'bian'yi'xi'shu 变异系数
'bian'yuan'si'ran'han'shu 边缘似然函数
'biao'hao'tu 标号图
'biao'shi'de'ji 表示的级
'biao'shi'han'zi 表示函子
'biao'zhun'fen'jie'shi 标准分解式
'biao'zhun'gao 标准高
'biao'zhun'yuan 标准元
'biao'zuo'ye'fa 表作业法
'bing 并
'bo'ge'man'du'liang 伯格曼度量
'bo'ge'man'suan'zi 伯格曼算子
