'ai'ren'kuang'mai 矮人矿脉
'ai'zhuo'wang'quan 艾卓王权
'an'bo'lei'bao 鞍博雷堡
'an'bo'lei'po'dun'shou 鞍博雷破盾手
'an'bo'lei'shen'sheng'wu'shi 鞍博雷神圣武士
'an'jin'feng 鞍烬锋
'an'ye'si'shen 暗夜死神
'ao'shu'shi'de'mao'tou'ying 奥术师的猫头鹰
'bao'huang'dong'yuan 保皇动员
'bao'shi'ju'mo'hou 暴食巨魔侯
'bian'qiang'zhen'lv'dian'zhu 边墙镇旅店主
'bian'wa'zhou 变蛙咒
'bo'li'guan 玻璃棺
'bo'xing'kai'jia 跛行铠甲
'bu'wang'qi'shi 不亡骑士
'ce'yi'tu'po 侧翼突破
'chang'lang'jian'wei 长廊监卫
'chen'yuan'xian'er 趁愿仙儿
'cheng'men'diao'qiao 城门吊桥
'cheng'zhai'qi'shi 城砦骑士
'chi'ling'yi'zhu'tuo'ban 赤岭邑主托班
'chi'mi'jian'shi 痴迷剑师
'chuang'xin'lie'yan 创新烈焰
'cui'mian'xian'zi 催眠仙子
'dai'shou'ru'niu 待售乳牛
'ding'huo'fu'li 鼎镬赋礼
'ding'huo'yong'shou 鼎镬佣兽
'dong'shuang'zhao'zhi'hui'guan 冬霜沼指挥官
'dou'jing'gao'song 豆茎高耸
'dou'jing'ju'ren 豆茎巨人
'duo'hun'qi'bing 夺魂骑兵
'e'du'gui'zu 恶毒贵族
'e'lang 恶狼
'e'xi'zhi'wang'lan'ka 恶戏之王兰卡
'fa'tiao'pu'cong 发条仆从
'fan'cui'si'bao 凡翠丝堡
'fan'cui'si'shen'sheng'wu'shi 凡翠丝神圣武士
'fan'cui'si'shi'xiang'gui 凡翠丝石像鬼
'fang'che 纺车
'fei'teng'ding'huo 沸腾鼎镬
'fen'nu'hong'mao'ke 愤怒红帽客
'feng'ding'xian'zhi 峰顶先知
'feng'shi'qiao'bi 风蚀峭壁
'fu'sheng'xian'ling 赋生仙灵
'fu'zhao'tao'qi'ling 腐沼淘气灵
'gai'lun'bi'bao 盖伦碧堡
'gai'lun'bi'diao'jiang 盖伦碧雕匠
'gai'lun'bi'hu'cong 盖伦碧扈从
'gai'lun'bi'shen'sheng'wu'shi 盖伦碧神圣武士
'gai'lun'bi'wang'yue'wo 盖伦碧王约沃
'gang'mu'shi'jiu 钢目狮鹫
'gang'zhua'chang'qiang 钢爪长枪
'gao'nian'qi'shi 高年骑士
'gong'gu'bu'gei 巩固补给
'gu'ding'zhi'zhu 菇顶蜘蛛
'gu'ji'du'jiao'shou 孤寂独角兽
'gu'ji'qi'bing 古籍奇兵
'guo'fu'xue'tu 过负学徒
'han'bing'nv'wang 寒冰女王
