'a'li 阿离
'an'yue'xi 安悦溪
'ba'huang'xiang'ge 八荒相隔
'bai'qian 白浅
'bai'xue 白雪
'bai'yi 白奕
'bai'zhen 白真
'bai'zhi 白止
'bei'hai'shui'jun 北海水君
'bi'fang 毕方
'bian'jiang 边江
'bu'cuo'guo 不错过
'bu'she'de'bu'zai'xiang'qian 不舍得不再相欠
'bu'she'de'bu'zai'yu'jian 不舍得不再遇见
'ceng'jia 曾嘉
'chang'hai'da'gong'zhu 长海大公主
'chang'hai'er'gong'zhu 长海二公主
'chang'hai'shui'jun 长海水君
'chen'hao 陈浩
'chen'hao'zhong 陈浩忠
'chen'ke'fan 陈柯帆
'chen'sai'sai 陈赛赛
'cheng'yu 成玉
'chu'jun 褚珺
'chuang'shi'shen 创世神
'ci'ju'xie'zai'ni'yan'di 词句写在你眼底
'ci'qing'ke'de 此情可得
'dai'si 代斯
'dai'yue'dong 代岳东
'de'fei 德妃
'di'jun 帝君
'di'li're'ba 迪丽热巴
'die'feng 叠风
'die'feng'fu'jun 叠风父君
'die'yong 叠雍
'dong'hai'shui'jun 东海水君
'dong'hua 东华
'dong'zhen 董贞
'du'jun'ze 杜俊泽
'du'xiu'jun 杜秀军
'fan'hua 繁花
'fan'jian 凡间
'fang'ying 房迎
'fen'fen'he'he'bu'cuo'guo 分分合合不错过
'feng'jiu 凤九
'fu'hua'feng 付华锋
'fu'zi 夫子
'gan'li'ying 甘丽影
'gao'chen 高琛
'gao'wei'guang 高伟光
'gu'ren'hai'zai'deng 故人还在等
'han'dan'yuan 菡萏院
'he'wei 贺伟
'hou'rui'xiang 侯瑞祥
'hua'kai'san'shi 花开三世
'huang'meng'ying 黄梦莹
'huang'tian'qi 黄天崎
'hui'lang'jing 灰狼精
'huo'qi'lin 火麒麟
'ji'guan'lin 季冠霖
'jia'yun 伽昀
'jiang'kai 蒋恺
'jiao'ren'zu 鲛人族
'jin'feng 金丰
'jin'ni'shou 金猊兽
'jiu'chong'tian'yu'yi 九重天御医
'jiu'chong'tian'zhi'zhu 九重天之主
'jiu'niang'cheng'le'wei'tian 酒酿成了微甜
'jiu'suan'mei'you'ru'guo 就算没有如果
'jiu'wei'bai'hu 九尾白狐
'kan'si'sheng'qi'kuo 看死生契阔
'kan'si'sheng'qi'kuo'you'chuan'shuo 看死生契阔有传说
'kong'li'yang 孔丽阳
'kun'lun'xu 昆仑虚
'kun'lun'xu'shang'shen 昆仑虚上神
'kun'lun'xue'hua'cheng'feng 昆仑雪化成风
'lai'yi 赖艺
'le'xu 乐胥
'lei'bian'qian'nian'xuan'bing 泪变千年玄冰
'leng'hai'ming 冷海铭
'li'chun 李纯
'li'dong 李栋
'li'dong'heng 李东恒
'li'en'sheng 李恩晟
'li'hua'xin'yi 李华欣怡
'li'ji'ye 李基业
'li'jing 离镜
'li'ren'hai'zai'deng 离人还在等
'li'shi'meng 李诗萌
'li'tong 李彤
'li'xin'yi 李芯逸
'li'yuan 离怨
'lian'chi 莲池
'lian'song 连宋
'lian'yi'ming 连奕名
'liang'liang 凉凉
'lin'mei'yan 林美艳
'lin'yu'fen 林玉芬
'ling'bao'tian'zun 灵宝天尊
'ling'cen 凌岑
'ling'yu 令羽
'ling'zhen'he 凌振赫
'liu'chang 刘畅
'liu'gu'hao 刘顾浩
'liu'mei'lin 刘玫麟
'liu'ning 刘宁
'liu'rui'lin 刘芮麟
'liu'wei 刘微
'liu'wei'min 刘卫民
'liu'xiao'wan 刘小婉
'liu'xiao'ye 刘晓晔
'liu'yi'fei 刘亦菲
'lu'mei'fang 陆梅芳
'lu'xu 芦旭
'lu'zhi'xing 路知行
'luan'jie 栾杰
'luo'jin 罗晋
'lv'xiu 绿袖
'ma'rui 马睿
'mao'mao'tou 毛毛头
'mei'yun 梅云
'meng'xiang'liang 孟祥亮
'mi'gu 迷谷
'mi'gu'shu'jing 迷谷树精
'ming'ge 命格
'miu'qing 缪清
'mo'yuan 墨渊
'mou'feng'bin 牟凤彬
'nai'nai 奈奈
'peng'zi'su 彭子苏
'pi'pa'jing 琵琶精
'pu'hua'tian'zun 普化天尊
'pu'shi'ren 谱世人
'pu'tao'jing 葡萄精
'qiao'shi'yu 乔诗语
'qing'cang 擎苍
'qing'qiu 青丘
'qing'qiu'di'jun 青丘帝君
'qing'qiu'nv'jun 青丘女君
'qiu'qiu 邱秋
'ren'hai'tao 任海涛
'ren'tao 任滔
'ren'zai'meng'wai'zhi'meng 人在梦外之梦
'ruo'qing'ke'de 若情可得
'sang'ji 桑籍
'shang'gu'shen'qi 上古神祇
'shang'shen 上神
'shang'xian 上仙
'shao'xin 少辛
'sheng'sheng'shi'shi 生生世世
'shi'jian'ku'duo 时间苦多
'shi'li'tao'lin 十里桃林
'shi'yue'an'xin 石悦安鑫
'shui'jing'gong 水晶宫
'shui'lian'dong 水帘洞
'si'hai'ba'huang 四海八荒
'si'hai'zai'wu'ge 四海再无歌
'si'ming 司命
'si'mu 思慕
'si'yin 司音
'song'cheng'jie'dao 宋城街道
'song'hai'xie 宋海颉
'song'shu'jing 松树精
'su'jin 素锦
'su'shang'qing 苏尚卿
'su'su 素素
'sun'jiao'long 孙蛟龙
'tan'xuan 谭旋
'tang'shui'yu 汤水雨
'tao'hua'duo'duo 桃花朵朵
'tian'gong 天宫
'tian'jun 天君
'tian'na 田娜
'tian'shu 天枢
'wan'zi'ling 万紫玲
'wang'bin 王斌
'wang'dong'hong 王冬红
'wang'qing'san'sheng 忘情三生
'wang'ruo'lin 王若麟
'wang'ting 王汀
'wang'xiu'zhu 王秀竹
'wei'chao 魏超
'wu'yu'jue 吴雨珏
'xi'hai'da'huang'zi 西海大皇子
'xi'hai'shui'jun 西海水君
'xi'hai'wang'hou 西海王后
'xian'fei 贤妃
'xiang'xiang 香香
'xiao'tou'mu 小头目
'xiao'ye'hua 小夜华
'xin'nu 辛奴
'xu'jia'qi 徐佳琦
'xu'yu'shu'nian 须臾数年
'xuan'nv 玄女
'xuan'nv'niang 玄女娘
'xuan'xiao'ming 宣晓鸣
'xue'hua'cheng'le'qing'teng 血化成了青藤
'yan'meng'meng 阎萌萌
'yan'yi'kuan 严屹宽
'yan'zhi 胭脂
'yang'an'qi 杨安琪
'yang'bing'xin 杨炳新
'yang'cuo 央错
'yang'mi 杨幂
'yang'tian'xiang 杨天翔
'yang'wei'dong 杨伟东
'yang'yang 杨洋
'yang'zong'wei 杨宗纬
'yao'guang 瑶光
'yao'guang'xian'bi'jia 瑶光仙婢甲
'yao'guang'xian'bi'yi 瑶光仙婢乙
'yao'jie 妖界
'yao'wang 药王
'yao'xiao'bao 姚小宝
'yao'yao'tao'hua'liang 夭夭桃花凉
'ye'deng'fu'yao'sheng'shang'kong 夜灯扶摇升上空
'ye'hua 夜华
'ye'hua'ce'fei 夜华侧妃
'ye'xin'yu 叶新宇
'yi'han'ye'suan'you'xing 遗憾也算有幸
'yi'jie 奕杰
'yi'jun 翼君
'yi'zu 翼族
'yin'qiang 尹强
'yin'yun'quan'ci'ke'wu'sheng 氤氲泉此刻无声
'yu'cui'hua 余翠华
'yu'meng'long 于朦胧
'yu'wen'tao 虞文涛
'yu'xian 雨仙
'yu'xuan'hong'hao 于轩鸿灏
'yu'zhi'mei 俞志梅
'yu'zi'kuan 于子宽
'yuan'wu'yin'ai'you'guo 缘无因爱有果
'yuan'zhen 元贞
'zhang'ai 张艾
'zhang'bi'chen 张碧晨
'zhang'bin'bin 张彬彬
'zhang'chao 张超
'zhang'fan 张帆
'zhang'gong 张弓
'zhang'he 张赫
'zhang'jie 张杰
'zhang'ran'yi 张冉怡
'zhang'wen'jun 张文俊
'zhang'xin'rong 张辛荣
'zhang'yao'han 张遥函
'zhang'yi'han 张艺瀚
'zhang'you'hao 张宥浩
'zhang'zhe 张喆
'zhang'zhi'yao 张智尧
'zhao'ge 照歌
'zhao'xin'huan 赵新环
'zhao'yan'song 赵岩松
'zhao'yi 赵毅
'zhao'yi'fang 赵依芳
'zhao'you'ting 赵又廷
'zhao'zhao'mu'mu 朝朝暮暮
'zhe'yan 折颜
'zhi'dai'yi'yu'dao'po 只待一语道破
'zhi'hen'shun'jian'hua'luo 只恨瞬间花落
'zhi'yue 织越
'zhu'xu'dan 祝绪丹
'zi'lan 子阑
