'a'er'ge'ni'ya 阿尔戈尼亚
'a'ka 阿卡
'a'ka'tuo'shen 阿卡托什
'a'kai 阿凯
'a'lai'xi'ya'nu'li'qi'yi 阿莱西亚奴隶起义
'a'nu 阿努
'a'te'mo'la 阿特莫拉
'a'zu'la 阿祖拉
'ai'er'nuo'fei 艾尔诺菲
'ai'si'wei'er 艾斯维尔
'ai'te'mo'la 艾特莫拉
'ao'ma'ren 奥玛人
'ao'rui'er 奥瑞尔
'ba'ba'si 巴巴斯
'bai'man'cheng 白漫城
'bi'luo 匕落
'bi'shou'yu 匕首雨
'bian'jing'ling 变精灵
'bo'ye'xi'ya 勃耶西亚
'bu'lai'dun'ren 布莱顿人
'chen'feng 晨风
'chen'xing'cheng 晨星城
'cui'ni'ma'ke 崔尼玛克
'da'gun 大衮
'di'bei'la 迪贝拉
'di'er'ji'yuan 第二纪元
'di'guo'ren 帝国人
'di'san'ji'yuan 第三纪元
'di'si'ji'yuan 第四纪元
'di'yi'ji'yuan 第一纪元
'dou'wa 都瓦
'du'gu'cheng 独孤城
'duan'mo 锻莫
'duo'wa 多瓦
'fa'shi'gong'hui 法师公会
'gao'jing'ling 高精灵
'gao'yan 高岩
'gu'jing'ling 古精灵
'hai'er'xin 海尔辛
'hai'jing'ling 海精灵
'he'mai'you'si 赫麦尤斯
'he'mai'you'si'mo'la 赫麦尤斯莫拉
'hei'an'jing'ling 黑暗精灵
'hei'an'xiong'di'hui 黑暗兄弟会
'hei'zhao'ze 黑沼泽
'hong'shan'zhi'zhan 红山之战
'hong'wei'ren 红卫人
'hu'ren 虎人
'hu'ren'shang'dui 虎人商队
'huang'jin'sheng'tu 黄金圣徒
'ji'na'lai'si 吉娜莱丝
'jian'gong 监工
'jie'ge'la'ge 杰格拉格
'jing'ji'chang 竞技场
'jing'ling 精灵
'jing'ling'ji'yuan 精灵纪元
'jiu'qi'shi 九骑士
'ju'mo 巨魔
'ka'bo'dun 卡波顿
'ka'ma'er 卡玛尔
'ka'yi'te 卡伊特
'ke'la'wei'ku'si 克拉维库斯
'ke'la'wei'sa'si'wei'li 克拉维萨斯维里
'ke'luo'wei'ya'ren 科洛维亚人
'ke'pu'tu 柯普图
'lei'man'di'guo 雷曼帝国
'leng'gang 冷港
'li'ming 黎明
'li'ming'ji'yuan 黎明纪元
'li'mo'xi'te 狸貘锡特
'lie'gu'cheng 裂谷城
'long'po 龙破
'long'yi 龙裔
'long'zu 龙族
'lu'huo 炉火
'luo'chui 落锤
'luo'ke'han 洛可汗
'ma'ding'sai'pu'ting 马丁赛普汀
'ma'la 玛拉
'ma'la'ka'si 玛拉卡斯
'mao'ren 猫人
'mei'fa'la 梅法拉
'mei'lu'nie'si'da'gun 梅鲁涅斯大衮
'mei'rui'di'ya 美瑞蒂亚
'meng'yu'yan 梦与魇
'mo'la'ge'ba'er 莫拉格巴尔
'mo'ren 魔人
'mu'jing'ling 木精灵
'na'mi'la 娜米拉
'nei'di'gao'jing'ling 内地高精灵
'ni'ben'ren 尼本人
'ni'de 尼德
'nuo'de'ren 诺德人
'nuo'ke'tu'na'er 诺克图娜尔
'pa'duo'mei 帕多梅
'po'yi'te 魄伊特
'qi'jing'ling 弃精灵
'qian'nian'long'po 千年龙破
'rui'chi'ling 瑞驰领
'rui'chi'ren 瑞驰人
'sa'zi'li'er 萨兹利尔
'sai'er'xi 赛尔锡
'sai'luo'di'er 赛洛迪尔
'sai'pu'ting'di'guo 塞普汀帝国
'sang'ji'en 桑吉恩
'shang'gu'juan'zhou 上古卷轴
'she'ren 蛇人
'shen'jing'ling 深精灵
'shen'pan 审判
'shou'lie'chang 狩猎场
'shou'ren 兽人
'si'dan'da'er 斯丹达尔
'si'luo'de 斯洛得
'ta'luo'si 塔洛斯
'tai'bo'sai'pu'ting 泰伯赛普汀
'tai'mu'rui'er 泰姆瑞尔
'tang'mo 堂默
'tian'ji 天际
'wa'er'mi'na 瓦尔迷娜
'wa'lun'wu'de 瓦伦伍德
'wang'zhe'zhi'di 亡者之地
'wei'er 威尔
'wei'er 维尔
'wen'yi 瘟疫
'xia'mu'dao 夏暮岛
'xie'er'ge'la 谢尔格拉
'xue'jing'ling 雪精灵
'xue'man'cheng 雪漫城
'xue'xing 血腥
'xue'yue 血月
'ya'long'ren 亚龙人
'yan'mie 湮灭
'yan'mie'wei'ji 湮灭危机
'yan'mo 湮没
'ye'jing'ling 野精灵
'yi'de'la 伊德拉
'yi'dian 异典
'yi'si'ge'la'mo 伊斯格拉默
'yi'si'mi'er 伊斯米尔
'yin'jia 因伽
'yong'heng'huang'hun 永恒黄昏
'you'li'an'nuo'si 尤里安诺斯
'you'ling'zhi'hai 幽灵之海
'yuan'ling 原灵
'yue'ying 月影
'ze'ni'sa'er 泽尼萨尔
'zhan'li'gu'dao 战栗孤岛
'zhan'shi'gong'hui 战士公会
'zhi'xu'mo'shen 秩序魔神
'zhi'xu'qi'shi 秩序骑士
