'a'mu'da'er'ding'lv 阿姆达尔定律
'a'mu'si'te'lang'gong'li 阿姆斯特朗公理
'an'nei'rong'cun'qu'cun'chu'qi 按内容存取存储器
'an'quan'cao'zuo'xi'tong 安全操作系统
'an'quan'ce'lue 安全策略
'an'quan'lei 安全类
'an'quan'shi'bie 安全识别
'an'quan'wang'guan 安全网关
'an'zhuang 安装
'an'zhuang'chu'li'kong'zhi 安装处理控制
'ba'jin'zhi 八进制
'bai'ti 白体
'ban'gong'liu'cheng 办公流程
'ban'nei'shi'zhong'fen'pei 板内时钟分配
'ban'se'diao'tu'xiang 半色调图像
'ban'shang'dian'yuan'fen'pei 板上电源分配
'bao'chou'fen'xi 报酬分析
'bao'liu'ye'xuan'xiang 保留页选项
'bao'shi'zhong'duan 包式终端
'bao'wen'jiao'huan 报文交换
'bei'ye'si'fen'lei'qi 贝叶斯分类器
'bei'yong 备用
'ben'di'jia'dian 本地加电
'ben'yuan'yan'yi 本原演绎
'bi'cuo 避错
'bi'he'shi 闭合式
'bi'huan'dian'bo'tan'ce'qi 闭环电波探测器
'bi'jiao'yu'yan'xue 比较语言学
'bi'shun 笔顺
'bian'geng'zhuan'chu 变更转储
'bian'hua'jian'ce 变化检测
'bian'huan'fen'xi 变换分析
'bian'huan'yu'yi 变换语义
'bian'jie'jian'ce 边界检测
'bian'jie'tiao'jian 边界条件
'bian'ma'biao'shi 编码表示
'bian'ma'fang'fa 编码方法
'bian'yuan'chu'fa'shi'zhong 边缘触发时钟
'bian'yuan'lian'jie 边缘连接
'bian'zhi 变址
'biao'hao'biao'zhi'wang 标号标识网
'biao'hao'hua'an'quan 标号化安全
'biao'ji'bian'liang 标记变量
'biao'jue'qi 表决器
'biao'liang 标量
'biao'liang'liu'shui'xian 标量流水线
'biao'liang'shu'ju'liu'fen'xi 标量数据流分析
'biao'mian'an'zhuang'ji'shu 表面安装技术
'biao'qian'ji 标签集
'biao'zhi'fu 标识符
'biao'zhun'fu'du'dai 标准幅度带
'biao'zhun'wen'jian 标准文件
'bing'fa'gong'li 并发公理
'bing'fa'mo'ni 并发模拟
'bing'xing'chuan'shu 并行传输
'bing'xing'gan'ran 并行感染
'bing'xing'ji'suan 并行计算
'bing'xing'suan'fa 并行算法
'bing'xing'tu'lun'suan'fa 并行图论算法
'bing'xing'xu'ni'ji 并行虚拟机
'bing'xing'xuan'ze'suan'fa 并行选择算法
'bo'feng'han 波峰焊
'bo'nu'li'pan 伯努利盘
'bo'yi'shu'sou'suo 博弈树搜索
'bu'er'yun'suan 布尔运算
'bu'fen'jia'dian 部分加电
'bu'gui'ling'zhi 不归零制
'bu'he'luo'ji 不合逻辑
'bu'jian'bian'ma 部件编码
'bu'jian'duan'dian'yuan 不间断电源
'bu'ke'chong'fu'du 不可重复读
'bu'ke'ni'jia'mi 不可逆加密
'bu'wan'quan'xin'xi 不完全信息
'bu'xian'cheng'xu 布线程序
'bu'zhong'xing 不重性
'cai'se'da'yin'ji 彩色打印机
'cai'se'xian'shi'qi 彩色显示器
'cai'yang'xi'tong 采样系统
'can'kao 参考
'can'shu'gu'ji 参数估计
'cao'zuo'guo'cheng 操作过程
'cao'zuo'ma 操作码
'cao'zuo'xi'tong'chu'li'qi 操作系统处理器
'ce'lue'guan'li'ji'gou 策略管理机构
'ce'shi'gui'yue 测试规约
'ce'shi'ke'chong'fu'xing 测试可重复性
'ce'shi'ma'sheng'cheng'cheng'xu 测试码生成程序
'ce'shi'qu'dong'qi 测试驱动器
'ce'shi'ri'zhi 测试日志
'ce'shi'shu'ju 测试数据
'ce'shi'yi 测试仪
'ce'shi'yu'yan 测试语言
'ce'shi'yun'xing 测试运行
'ce'shi'zong'he 测试综合
'ceng'ci'xu'lie'jian'ma 层次序列键码
'ceng'xi'cheng'xiang 层析成像
'ceng'ya'ban 层压板
'cha'cuo'qian'fu'qi 差错潜伏期
'cha'fen'shuang'jiao'xian 差分双绞线
'cha'jian'bian'yuan'lian'jie'qi 插件边缘连接器
'cha'kong 插孔
'cha'ru'pai'xu 插入排序
'cha'zuo 插座
'chan'pin'ren'zheng 产品认证
'chan'sheng'shi'yu'yan'zhi'shi 产生式语言知识
'chang'di'zi'zhi 场地自治
'chang'gui'mi'ma'ti'zhi 常规密码体制
'chang'ju'li'yi'cun'guan'xi 长距离依存关系
'chang'shi'tui'li 常识推理
'chao'biao'liang'jie'gou 超标量结构
'chao'di'wei'su'lv'bian'ma 超低位速率编码
'chao'liu'shui'xian 超流水线
'chao'qian'bu'chang 超前补偿
'che'chu 撤除
'che'xiao 撤消
'che'xiao'yuan'yu 撤消原语
'chen'di 衬底
'cheng'fen'yu'yi'xue 成分语义学
'cheng'shang'ji'cun'qi 乘商寄存器
'cheng'shu'du 成熟度
'cheng'xu'luo'ji'dan'yuan 程序逻辑单元
'cheng'xu'she'ji'luo'ji 程序设计逻辑
'cheng'xu'xiu'gai 程序修改
'cheng'xu'yan'zheng 程序验证
'cheng'xu'you'xian'ji 程序优先级
'cheng'xu'zheng'que'xing 程序正确性
'cheng'xu'zong'he 程序综合
'cheng'zu'chuan'song 成组传送
'chi'du'kong'jian 尺度空间
'chong'chuan 重传
'chong'die'ji'cun'qi'chuang'kou 重叠寄存器窗口
'chong'fu'biao'zhi 重复标识
'chong'fu'xuan'ze'pai'xu 重复选择排序
'chong'tu'xiao'jie 冲突消解
'chong'xin'an'zhuang 重新安装
'chong'xin'qi'dong 重新启动
'chong'yun'xing'dian 重运行点
'chou'e'bao'wen 丑恶报文
'chou'xiang 抽象
'chou'xiang'shu'ju'lei'xing 抽象数据类型
'chu'cuo'zhong'duan 出错中断
'chu'dian 触点
'chu'fa'hui'lu 除法回路
'chu'ji'shu'chu 初级输出
'chu'li'dan'yuan'cun'chu'qi 处理单元存储器
'chu'li'ji'dui 处理机对
'chu'qi'cheng'xu 初启程序
'chu'shi'cheng'xu'zhuang'ru 初始程序装入
'chu'shi'mo'xing 初始模型
'chu'shi'zhuang'ru 初始装入
'chuan'bing'zhuan'huan'qi 串并转换器
'chuan'dao'leng'que 传导冷却
'chuan'di'han'shu'yi'lai 传递函数依赖
'chuan'lian'duan'jie 串联端接
'chuan'lian'zu'ni 串联阻尼
'chuan'shu'mei'ti 传输媒体
'chuan'shu'tong'lu'yan'chi 传输通路延迟
'ci'biao'mian'ji'lu 磁表面记录
'ci'dai'kong'zhi'qi 磁带控制器
'ci'dai'ku 磁带库
'ci'dai'tou'biao 磁带头标
'ci'dao'ge'shi 磁道格式
'ci'dao'kuan'du 磁道宽度
'ci'fa 词法
'ci'pan'gao'su'huan'cun 磁盘高速缓存
'ci'pan'ji'lu'kuai 磁盘记录块
'ci'pan'jing'xiang 磁盘镜像
'ci'pan'qu'dong'qi 磁盘驱动器
'ci'pan'shi'pei'qi 磁盘适配器
'ci'shi'yong'pin'du 词使用频度
'ci'tou'qi'luo'qu 磁头起落区
'ci'xin 磁心
'ci'yu'qie'fen 词语切分
'cu'cao'ji 粗糙集
'cu'ding'wei 粗定位
'cun'chu'bao'hu 存储保护
'cun'chu'dan'yuan 存储单元
'cun'chu'mo'kuai 存储模块
'cun'chu'qi'ceng'ci 存储器层次
'cun'chu'qi'cun'qu'mo'shi 存储器存取模式
'cun'chu'qi'ting'dun 存储器停顿
'cun'chu'ti'chong'tu 存储体冲突
'cun'chu'xi'tong 存储系统
'cun'chu'xin'pian 存储芯片
'cun'chu'zhan 存储栈
'cun'chu'zhou'qi 存储周期
'cun'qu'fang'fa 存取方法
'cun'qu'tou'ming'xing 存取透明性
'cuo'wu'dai'ma 错误代码
'cuo'wu'hui'fu'guo'cheng 错误恢复过程
'cuo'wu'jian'yan'ma 错误检验码
'cuo'wu'kuo'san 错误扩散
'cuo'wu'lei'bie 错误类别
'cuo'wu'mo'shi 错误模式
'cuo'wu'zhen'duan 错误诊断
'da'xing'ji'suan'ji 大型计算机
'da'yin'ji'tuo'jia 打印机托架
'da'yin'zhi'liang 打印质量
'dai'fu'hao 带符号
'dai'ma'kuo'chong 代码扩充
'dai'ma'yi'dong 代码移动
'dai'ma'zhuan'huan'qi 代码转换器
'dai'tou 带头
'dan'ban'ji'suan'ji 单板计算机
'dan'bo 单播
'dan'bu'fa 单步法
'dan'chun'xing 单纯形
'dan'dian'gu'zhang 单点故障
'dan'diao'qu'lv'luo'xian 单调曲率螺线
'dan'diao'tui'li 单调推理
'dan'ge'di'zhi 单个地址
'dan'ji 单击
'dan'lie'zhi'cha'feng'zhuang 单列直插封装
'dan'lie'zhi'cha'shi'nei'cun'zu'jian 单列直插式内存组件
'dan'pian'xi'tong 单片系统
'dan'se'xian'shi'shi'pei'qi 单色显示适配器
'dan'shi'jian'suo'ding 单事件锁定
'dan'wei 单位
'dan'xiang'zhan'zi'dong'ji 单向栈自动机
'dan'yi'bian'zhi'kong'jian 单一编址空间
'dan'yuan'ce'shi 单元测试
'dan'zhi'ling'liu'duo'shu'ju'liu 单指令流多数据流
'dan'zong'xian 单总线
'dang'an'wen'jian 档案文件
'dang'qian'you'xian'ji 当前优先级
'dao'chu'gui'ze 导出规则
'dao'han 倒焊
'dao'ru'gui'yue 导入规约
'deng'jia'guan'xi 等价关系
'deng'shi'luo'ji 等式逻辑
'deng'zhi'xian'tu 等值线图
'di'dian'ya'zheng'dian'yuan'she'ji'ou'he'luo'ji 低电压正电源射极耦合逻辑
'di'gui'ji'suan 递归计算
'di'gui'yu'yan 递归语言
'di'ji'ge'shi'hua 低级格式化
'di'ji'yu'yan 低级语言
'di'jie'kong'zhi 递阶控制
'di'san'dai'yu'yan 第三代语言
'di'wu'dai'ji'suan'ji 第五代计算机
'di'yi'dai'ji'suan'ji 第一代计算机
'di'zhi'zong'xian 地址总线
'dian'dui'dian'lian'jie 点对点连接
'dian'he'ou'he'cun'chu'qi 电荷耦合存储器
'dian'ji'she'bei 点击设备
'dian'lu'jiao'huan'shu'ju'wang 电路交换数据网
'dian'ping'min'gan'sao'miao'she'ji 电平敏感扫描设计
'dian'rong'shi'chu'mo'ping 电容式触摸屏
'dian'ya'jie'yue 电压阶跃
'dian'yuan'kong'zhi'wei'ma 电源控制微码
'dian'zhen'da'yin'ji 点阵打印机
'dian'zhuo'shi'yin'shua'ji 电灼式印刷机
'dian'zi'biao'ge 电子表格
'dian'zi'mei'ti 电子媒体
'dian'zi'shi'chang 电子市场
'dian'zi'wen'ben 电子文本
'dian'zu'sun'hao 电阻损耗
'diao'du'biao 调度表
'diao'yong'zhe 调用者
'die'pian'shi'ci'tou 叠片式磁头
'ding'dian'shu 定点数
'ding'shi'zha'dan 定时炸弹
'ding'xing'miao'shu 定性描述
'ding'yi'yu 定义域
'dong'jie'biao'ji 冻结标记
'dong'tai'chong'ding'wei 动态重定位
'dong'tai'cuo'wu 动态错误
'dong'tai'di'zhi'zhuan'huan 动态地址转换
'dong'tai'fen'pei 动态分配
'dong'tai'gui'hua'fa 动态规划法
'dong'tai'kong'zhi 动态控制
'dong'tai'niu'xie 动态扭斜
'du'li'cheng'xu 独立程序
'du'liang 度量
'du'xie'ci'tou 读写磁头
'du'xie'kong 读写孔
'du'xie'zhou'qi 读写周期
'du'xin'hao 读信号
'duan'jie'dian'zu'qi 端接电阻器
'duan'xian 短线
'duan'yan 断言
'dui'bi'du'kuo'zhan 对比度扩展
'dui'bi'ling'min'du 对比灵敏度
'dui'chen'shi'duo'chu'li'ji 对称式多处理机
'dui'hua'kong'zhi'kuai 对话控制块
'dui'jiao'xian'ce'shi 对角线测试
'dui'liu 对流
'dui'pai'xu 堆排序
'dui'xiang'jian'mo'ji'shu 对象建模技术
'dui'xiang'lian'jie 对象连接
'duo'ceng'mo'shi 多层模式
'duo'chu'li'qi 多处理器
'duo'di'zhi'ji'suan'ji 多地址计算机
'duo'dian'kong'zhi'qi 多点控制器
'duo'dian'tong'xin 多点通信
'duo'duan'kou'cun'chu'qi 多端口存储器
'duo'fen'bian'lv'fen'xi 多分辨率分析
'duo'gong'xu'shi'ti'zao'xing 多工序实体造型
'duo'gu'zhang 多故障
'duo'hui'lu'kong'zhi 多回路控制
'duo'ji'gao'su'huan'cun 多级高速缓存
'duo'ji'wang'luo 多级网络
'duo'lu'zhuan'huan'tong'dao 多路转换通道
'duo'mei'ti'ji'suan'ji 多媒体计算机
'duo'mei'ti'shu'ju'mo'xing 多媒体数据模型
'duo'mi'nuo'xiao'ying 多米诺效应
'duo'mian'ti'cai'jian 多面体裁剪
'duo'mian'ti'mo'xing 多面体模型
'duo'ren'wu'guan'li 多任务管理
'duo'shu'xing'jue'ce'xi'tong 多属性决策系统
'duo'tou'tu'ling'ji 多头图灵机
'duo'xiang'shi'dui'shu'shi'jian 多项式对数时间
'duo'xiang'shi'ke'gui'yue'de 多项式可归约的
'duo'yong'hu 多用户
'duo'yong'hu'xi'tong 多用户系统
'duo'zhi'luo'ji 多值逻辑
'duo'zhong'ji 多重集
'duo'zhou'qi'shi'xian 多周期实现
'e'ding'fu'zai 额定负载
'er'cha'pai'xu'shu 二叉排序树
'er'cha'pan'ding'tu 二叉判定图
'er'ci'xing'xing'neng'zhi'biao 二次型性能指标
'er'dian'tou'shi 二点透视
'er'ji'gao'su'huan'cun 二级高速缓存
