'ai'gong'wen'zheng 哀公问政
'ai'qi'suo'qin 爱其所亲
'an'ran'er'ri'zhang 闇然而日章
'bai'pi'qi'xing'zhi 百辟其刑之
'bai'ren'ke'dao'ye 白刃可蹈也
'bai'shi'yi'si'sheng'ren'er'bu'huo 百世以俟圣人而不惑
'ban'tu'er'fei 半涂而废
'bao'you'ming'zhi 保佑命之
'bao'zang'xing'yan 宝藏兴焉
'bei'fang'zhi'qiang'ye 北方之强也
'bei'fang'zhi'qiang'yu 北方之强与
'ben'zhu'shen 本诸身
'bi'de'qi'lu 必得其禄
'bi'de'qi'ming 必得其名
'bi'de'qi'shou 必得其寿
'bi'yin'qi'cai'er'du'yan 必因其材而笃焉
'bi'you'yao'nie 必有妖孽
'bi'you'zhen'xiang 必有祯祥
'bian'ze'hua 变则化
'bian'zhi'fu'ming 辨之弗明
'bo'hou'pei'di 博厚配地
'bo'hou'suo'yi'zai'wu'ye 博厚所以载物也
'bo'hou'ze'gao'ming 博厚则高明
'bo'xue'zhi 博学之
'bo'ye 博也
'bu'bao'wu'dao 不报无道
'bu'bian'sai'yan 不变塞焉
'bu'cheng'hu'shen'yi 不诚乎身矣
'bu'cheng'wu'wu 不诚无物
'bu'da'sheng'yi'se 不大声以色
'bu'dong'er'bian 不动而变
'bu'gan'bu'mian 不敢不勉
'bu'gan'jin 不敢尽
'bu'gan'zuo'li'yue'yan 不敢作礼乐焉
'bu'huo'hu'shang'yi 不获乎上矣
'bu'kao'wen 不考文
'bu'ke'du'si 不可度思
'bu'ke'xu'yu'li'ye 不可须臾离也
'bu'ke'yi'bu'shi'qin 不可以不事亲
'bu'ke'yi'bu'zhi'ren 不可以不知人
'bu'ke'yi'bu'zhi'tian 不可以不知天
'bu'ke'yi'wei'dao 不可以为道
'bu'ming'hu'shan 不明乎善
'bu'nu'er'min'wei'yu'fu'yue 不怒而民威于鈇钺
'bu'shan'bi'xian'zhi'zhi 不善必先知之
'bu'shun'hu'qin 不顺乎亲
'bu'shun'hu'qin'yi 不顺乎亲矣
'bu'si'er'de 不思而得
'bu'xi'ze'jiu 不息则久
'bu'xian'wei'de 不显惟德
'bu'xiao'zhe'bu'ji'ye 不肖者不及也
'bu'xin'hu'peng'you 不信乎朋友
'bu'xin'hu'peng'you'yi 不信乎朋友矣
'bu'xin'min'fu'cong 不信民弗从
'bu'yan'er'xin 不言而信
'bu'yi'li 不议礼
'bu'yu'ze'fei 不豫则废
'bu'yuan'hu'qi'wai 不愿乎其外
'bu'zai'fang'ce 布在方策
'bu'zhi'du 不制度
'bu'zun'bu'xin 不尊不信
'cao'mu'sheng'zhi 草木生之
'cha'hu'tian'di 察乎天地
'chao'pin'yi'shi 朝聘以时
'chen'qi'zong'qi 陈其宗器
'cheng'ji'ren'ye 成己仁也
'cheng'shen'you'dao 诚身有道
'cheng'wu'zhi'ye 成物知也
'cheng'ze'ming'yi 诚则明矣
'cheng'ze'xing 诚则形
'cheng'zhe 诚者
'cheng'zhe'bu'mian'er'zhong 诚者不勉而中
'cheng'zhe'fei'zi'cheng'ji'er'yi'ye 诚者非自成己而已也
'cheng'zhe'wu'zhi'zhong'shi 诚者物之终始
'cheng'zhe'zi'cheng'ye 诚者自成也
'cheng'zhi'bu'ke'yan'ru'ci'fu 诚之不可掩如此夫
'cheng'zhi'zhe 诚之者
'chun'qiu'xiu'qi'zu'miao 春秋修其祖庙
'chun'yi'bu'yi 纯亦不已
'ci'tian'di'zhi'zhe'suo'yi'wei'da'ye 此天地之这所以为大也
'cong'rong'zhong'dao 从容中道
'da'de'dun'hua 大德敦化
'da'hu'dai'fu 达乎大夫
'da'hu'tian'zi 达乎天子
'da'hu'zhu'hou'dai'fu 达乎诸侯大夫
'da'zai 大哉
