'bai'te'kuai'ke 百特快客
'bao'wei'ke 保卫科
'bin'he'da'dao 滨河大道
'bo'lin'yuan 柏林园
'cai'liao'ke'xue'yu'gong'cheng 材料科学与工程
'chou'xue'lou 酬学楼
'de'huai'lou 德怀楼
'er'dao'men 二道门
'er'long'shan 二龙山
'feng'wei'can'ting 风味餐厅
'gong'zhu'lou 公主楼
'gong'zi'lou 工字楼
'guang'dian'lou 光电楼
'guo'fang'sheng'gong'yu 国防生公寓
'guo'ji'jiao'yu 国际教育
'han'quan 寒泉
'he'li'wu 合利屋
'hong'xue'lou 鸿学楼
'hou'bei'jun'guan'jiao'yu 后备军官教育
'hou'qin'can'yin'fu'wu'zhong'xin 后勤餐饮服务中心
'hua'gong'she'qu 华工社区
'hua'gong'yu'huan'jing 化工与环境
'hua'xue'lou 化学楼
'hui'zi'lou 回字楼
'ji'dian'gong'cheng 机电工程
'ji'suan'ji'yu'kong'zhi'gong'cheng 计算机与控制工程
'ji'xie'yu'dong'li 机械与动力
'ji'xu'jiao'yu 继续教育
'jin'gong'shi'xi 金工实习
'jing'ji'yu'guan'li 经济与管理
'jiu'lan'qiu'chang 旧篮球场
'ke'ji'yuan 科技园
'ke'xie 科协
'ke'yi'yuan 科艺苑
'lan'cun 兰村
'li'xue 理学
'liu'dao'men 六道门
'long'quan 龙泉
'mai'gang 麦港
'min'xue'lou 敏学楼
'ming'xue'lou 明学楼
'qi'dao'men 七道门
'qin'xue'lou 勤学楼
'qing'zhen'shi'tang 清真食堂
'ren'min'bing'gong'di'yi'xiao 人民兵工第一校
'ren'wen'she'hui'ke'xue 人文社会科学
'ruan'jian 软件
'rui'xue'lou 瑞学楼
'san'dao'men 三道门
'shang'lan'cun 上兰村
'she'lian 社联
'she'tuan'lian'he'hui 社团联合会
'shi'wei'fang 食味坊
'shi'yan'da'lou 实验大楼
'shuo'zhou'xiao'qu 朔州校区
'si'dao'men 四道门
'si'shi'tang 四食堂
'si'xue'lou 思学楼
'ti'yu 体育
'tian'yuan'can'ting 田园餐厅
'wen'lan 文澜
'wen'tao 文韬
'wen'ying 文瀛
'wen'ying'can'ting 文瀛餐厅
'wu'dao'men 五道门
'xiao'bai'lou 小白楼
'xiao'hong'lou 小红楼
'xiao'ke'xie 校科协
'xin'xi'shang'wu 信息商务
'xin'xi'yu'tong'xin'gong'cheng 信息与通信工程
'xing'zhi'guang'chang 行知广场
'xing'zhi'lou 行知楼
'ya'xian'ge 雅贤阁
'yan'jiu'sheng 研究生
'yan'jiu'sheng'gong'yu 研究生公寓
'yi'dao'men 一道门
'yi'fu'lou 逸夫楼
'yi'qi'yu'dian'zi 仪器与电子
'yi'shi'tang 一食堂
'yi'shu 艺术
'yi'tiao'jie 一条街
'yuan'ke'xie 院科协
'yuan'xue'sheng'hui 院学生会
'zhi'xue'guang'chang 致学广场
'zhong'bei'jiu'dian 中北酒店
'zhong'bei'yin'shua'chang 中北印刷厂
'zhong'yang'da'dao 中央大道
'zi'dong'wu'qi'chen'lie'shi 自动武器陈列室
