'bai'bing 白病
'bai'bo'feng'bing 白驳风病
'bai'jing'qing'lan'bing 白睛青蓝病
'bai'jing'yi'xue'bing 白睛溢血病
'bai'mo'qin'jing'bing 白膜侵睛病
'bai'se'bing 白涩病
'bai'tu'chuang'bing 白秃疮病
'bai'xue'chong'xin'zheng 败血冲心证
'bai'xue'ru'bao'zheng 败血入胞证
'bao'chuan'bing 暴喘病
'bao'feng'ke're'bing 暴风客热病
'bao'jian'wai'fan'bing 胞睑外翻病
'bao'jue'bing 薄厥病
'bao'kuai'xing 包块型
'bao'long'bing 暴聋病
'bao'lun'zhen'tiao'bing 胞轮振跳病
'bao'mang'bing 暴盲病
'bao'rou'zhan'lun'bing 胞肉粘轮病
'bao'sheng'tan'he'bing 胞生痰核病
'bao'shou'jing'kong'zheng 暴受惊恐证
'bao'tu'bing 暴吐病
'bao'xie'bing 暴泻病
'bao'xu'ru'qiu'bing 胞虚如球病
'bao'yi'bu'xia'bing 胞衣不下病
'bao'zhong'ru'tao'bing 胞肿如桃病
'beng'lou'bing 崩漏病
'bi'bing 闭病
'bi'bing 痹病
'bi'ding'bing 鼻疔病
'bi'gan'bing 鼻疳病
'bi'gao'bing 鼻槁病
'bi'jing'bing 闭经病
'bi'liang'nei'xian'xue'mai'sun'shang'zheng 鼻梁内陷血脉损伤证
'bi'nv'bing 鼻衄病
'bi'qi'yu'jie'zheng 痹气郁结证
'bi'qiu'bing 鼻鼽病
'bi'sai'bing 鼻塞病
'bi'shang'nv'xue'zheng 鼻伤衄血证
'bi'sun'shang'bing 鼻损伤病
'bi'xi'rou'bing 鼻息肉病
'bi'yuan'bing 鼻渊病
'bi'zhi'bing 鼻窒病
'bi'zhui'xing 鼻赘型
'bian'hou'bing 扁瘊病
'bian'xie'bing 便血病
'biao'han'li're'zheng 表寒里热证
'biao'han'li'yin'zheng 表寒里饮证
'bing'fu'bu'zu'zheng 禀赋不足证
'bu'mei'bing 不寐病
'bu'yun'bing 不孕病
'cao'za'bing 嘈杂病
'chan'bing 颤病
'chan'hou'da'bian'nan'bing 产后大便难病
'chan'hou'e'lu'bu'jue'bing 产后恶露不绝病
'chan'hou'e'lu'bu'xia'bing 产后恶露不下病
'chan'hou'fa're'bing 产后发热病
'chan'hou'fu'tong'bing 产后腹痛病
'chan'hou'gan'ran'fa're'bing 产后感染发热病
'chan'hou'han'bing 产后汗病
'chan'hou'jing'bing 产后痉病
'chan'hou'niao'xie'bing 产后尿血病
'chan'hou'que'ru'bing 产后缺乳病
'chan'hou'ru'zhi'zi'chu'bing 产后乳汁自出病
'chan'hou'shen'tong'bing 产后身痛病
'chan'hou'xiao'bian'bu'tong'bing 产后小便不通病
'chan'hou'xiao'bian'lin'li'bing 产后小便淋沥病
'chan'hou'xiao'bian'pin'shuo'bing 产后小便频数病
'chan'hou'xie'yun'bing 产后血晕病
'chan'hou'xue'beng'bing 产后血崩病
'chan'hou'yi'fen'bing 产后遗粪病
'chan'hou'yi'niao'bing 产后遗尿病
'chan'hou'zi'han'dao'han'bing 产后自汗盗汗病
'chang'dao'qi'zhi'zheng 肠道气滞证
'chang'dao'shi're'zheng 肠道实热证
'chang'dao'shi're'zheng 肠道湿热证
'chang'feng'shang'luo'zheng 肠风伤络证
'chang'wei'shi're'zheng 肠胃实热证
'chang'wei'shi're'zheng 肠胃湿热证
'chang'yong'bing 肠痈病
'chang'zao'jin'shang'zheng 肠燥津伤证
'cheng'nong'qi 成脓期
'cheng'shu'qi 成熟期
'cheng'yong'qi 成痈期
'chi'dai'bing 痴呆病
'chi'mai'chuan'jing'bing 赤脉传睛病
'chi'mo'xia'chui'bing 赤膜下垂病
'chi'nv'bing 齿衄病
'chi'you'dan'bing 赤游丹病
'chong'bing'gou'chong'bing 虫病钩虫病
'chong'bing'hui'chong'bing 虫病蛔虫病
'chong'bing'jiang'pian'chong'bing 虫病姜片虫病
'chong'bing'nang'chong'bing 虫病囊虫病
'chong'bing'nao'chong'bing 虫病蛲虫病
'chong'bing'si'chong'bing 虫病丝虫病
'chong'bing'tao'chong'bing 虫病绦虫病
'chong'bing'xue'xi'chong'bing 虫病血吸虫病
'chong'du'jie'fu'zheng 虫毒结肤证
'chong'du'jie'ju'zheng 虫毒结聚证
'chong'gu'bing 虫臌病
'chong'ji'chang'dao'zheng 虫积肠道证
'chong'ji'hua'gan'zheng 虫积化疳证
'chong'ji'pi'xia'zheng 虫寄皮下证
'chong'ji'shang'pi'zheng 虫积伤脾证
'chong'ji'zheng 虫积证
'chong'jie'zheng 虫结证
'chong'qin'yu'nao'zheng 虫侵于脑证
'chong'rao'po'men'zheng 虫扰魄门证
'chong'rao'yu'chang'zheng 虫扰于肠证
'chong'ren'shi'tiao'zheng 冲任失调证
'chong'shi'yong'luo'zheng 虫湿壅络证
'chong'tan'hu'jie'zheng 虫痰互结证
'chong'xie'fan'fei'zheng 虫邪犯肺证
'chou'chu'bing 抽搐病
'chu'fa'qi 初发期
'chu'ke'qi 初咳期
'chu'qi 初期
'chu'zhen'qi 出疹期
'chuan'bing 喘病
'chuang'shang'bing 创伤病
'chun'feng'bing 唇风病
'chun'wen'bing 春温病
'da'chang'shi're'zheng 大肠湿热证
'da'han'fan'fei'zheng 大寒犯肺证
'da'han'fei're'zheng 大寒肺热证
'da'tou'wen'bing 大头瘟病
'dai'xia'bing 带下病
'dan'du'bing 丹毒病
'dan'fu'yu're'zheng 胆腑郁热证
'dan'huo'shang'ni'zheng 胆火上逆证
'dan'jing'yu're'zheng 胆经郁热证
'dan're'zheng 胆热证
'dan'sha'bing 丹痧病
'dan'zhang'bing 胆胀病
'dao'han'bing 盗汗病
'dao'jie'juan'mao'bing 倒睫卷毛病
'deng'dou'chuang'bing 登豆疮病
