'a'ba'shi'fan'xue'yuan 阿坝师范学院
'a'ba'zhi'ye'xue'yuan 阿坝职业学院
'a'ke'su'zhi'ye'ji'shu'xue'yuan 阿克苏职业技术学院
'a'la'shan'zhi'ye'ji'shu'xue'yuan 阿拉善职业技术学院
'a'le'tai'zhi'ye'ji'shu'xue'yuan 阿勒泰职业技术学院
'an'hui'cai'jing'da'xue 安徽财经大学
'an'hui'cai'mao'zhi'ye'xue'yuan 安徽财贸职业学院
'an'hui'cheng'shi'guan'li'zhi'ye'xue'yuan 安徽城市管理职业学院
'an'hui'da'xue 安徽大学
'an'hui'da'xue'jiang'huai'xue'yuan 安徽大学江淮学院
'an'hui'dian'qi'gong'cheng'zhi'ye'ji'shu'xue'yuan 安徽电气工程职业技术学院
'an'hui'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan 安徽电子信息职业技术学院
'an'hui'gong'an'zhi'ye'xue'yuan 安徽公安职业学院
'an'hui'gong'cheng'da'xue 安徽工程大学
'an'hui'gong'mao'zhi'ye'ji'shu'xue'yuan 安徽工贸职业技术学院
'an'hui'gong'shang'zhi'ye'xue'yuan 安徽工商职业学院
'an'hui'gong'ye'da'xue 安徽工业大学
'an'hui'gong'ye'jing'ji'zhi'ye'ji'shu'xue'yuan 安徽工业经济职业技术学院
'an'hui'gong'ye'zhi'ye'ji'shu'xue'yuan 安徽工业职业技术学院
'an'hui'guang'bo'ying'shi'zhi'ye'ji'shu'xue'yuan 安徽广播影视职业技术学院
'an'hui'guo'fang'ke'ji'zhi'ye'xue'yuan 安徽国防科技职业学院
'an'hui'guo'ji'shang'wu'zhi'ye'xue'yuan 安徽国际商务职业学院
'an'hui'huang'mei'xi'yi'shu'zhi'ye'xue'yuan 安徽黄梅戏艺术职业学院
'an'hui'ji'dian'zhi'ye'ji'shu'xue'yuan 安徽机电职业技术学院
'an'hui'jian'zhu'da'xue 安徽建筑大学
'an'hui'jiao'tong'zhi'ye'ji'shu'xue'yuan 安徽交通职业技术学院
'an'hui'jing'guan'zhi'ye'xue'yuan 安徽警官职业学院
'an'hui'ke'ji'xue'yuan 安徽科技学院
'an'hui'kuang'ye'zhi'ye'ji'shu'xue'yuan 安徽矿业职业技术学院
'an'hui'li'gong'da'xue 安徽理工大学
'an'hui'liang'shi'gong'cheng'zhi'ye'xue'yuan 安徽粮食工程职业学院
'an'hui'lin'ye'zhi'ye'ji'shu'xue'yuan 安徽林业职业技术学院
'an'hui'lv'hai'shang'wu'zhi'ye'xue'yuan 安徽绿海商务职业学院
'an'hui'nong'ye'da'xue 安徽农业大学
