'a'er'tai'chai'hu 阿尔泰柴胡
'a'la'shan'yang 阿拉善杨
'a'mi'qin 阿米芹
'ai'da'ye'zao 矮大叶藻
'ai'hei'san'leng 矮黑三棱
'ai'hu'wei'zao 矮狐尾藻
'ai'jian'ban'qin 矮尖瓣芹
'ai'ma'huang 矮麻黄
'ai'sheng'liu'ye'cai 矮生柳叶菜
'ai'song 矮松
'ai'xiao'chai'hu 矮小柴胡
'ai'yan'zi'cai 矮眼子菜
'an'hui'cong'mu 安徽葱木
'an'hui'jin'su'lan 安徽金粟兰
'ao'gu'ci'zao 澳古茨藻
'ao'mai'e'zhang'chai 凹脉鹅掌柴
'ao'mai'tao'ye'shan'hu 凹脉桃叶珊瑚
'ba'dong'yang'jiao'qin 巴东羊角芹
'ba'liu'ling 八瘤菱
'ba'shan'fei'shu 巴山榧树
'ba'shan'leng'shan 巴山冷杉
'ba'shan'song 巴山松
'bai'bao'luo'shuo 白苞裸蒴
'bai'bao'qin 白苞芹
'bai'bei'e'zhang'chai 白背鹅掌柴
'bai'bei'ye'cong'mu 白背叶葱木
'bai'dou'shan 白豆杉
'bai'fen'qing'jia'ye 白粉青荚叶
'bai'hua'bao'lie'qin 白花苞裂芹
'bai'jin 白筋
'bai'jing'yan'zi'cai 白茎眼子菜
'bai'mao'si'zhao'hua 白毛四照花
'bai'mu 柏木
'bai'pi'song 白皮松
'bai'pi'yun'shan 白皮云杉
'bai'qian 白扦
'bai'ri'qing 百日青
'bai'shan'zu'leng'shan 百山祖冷杉
'bai'ye'gao'ben 白叶藁本
'bai'zhi 白芷
'ban'mo'qin 斑膜芹
'ban'ye'shan'hu 斑叶珊瑚
'ban'zi'ma'huang 斑子麻黄
'bao'pian'bian'dou'cai 薄片变豆菜
'bao'ting'shu'can 保亭树参
'bao'xing'lai'mu 宝兴梾木
'bei'chai'hu 北柴胡
'bei'fei'xue'song 北非雪松
'bei'jing'chai'hu 北京柴胡
'bei'jing'qian'hu 北京前胡
'bei'ke'shan 贝壳衫
'bei'mei'duan'ye'song 北美短叶松
'bei'mei'hong'shan 北美红杉
'bei'mei'qiao'bai 北美乔柏
'bei'mei'qiao'song 北美乔松
'bei'mei'xiang'bai 北美香柏
'bei'mei'yuan'bai 北美圆柏
'bi'ba 荜拔
'bi'chi'su'tie 篦齿苏铁
'bi'chi'yan'zi'cai 篦齿眼子菜
'bi'jiang'xiao'qin 碧江小芹
'bi'zi'san'jian'shan 篦子三尖杉
'bian'jiao'ge'ling 扁角格菱
'bian'jing'yan'zi'cai 扁茎眼子菜
'bian'pan'e'zhang'chai 扁盘鹅掌柴
'bian'ye'ci'qin 扁叶刺芹
'bian'ye'hu'jiao 变叶胡椒
'bian'ye'hua'nan'wu'zhen'song 变叶华南五针松
'bian'ye'shu'can 变叶树参
'bin'dang'gui 滨当归
'bin'hai'qian'hu 滨海前胡
'bin'she'chuang 滨蛇床
'bing'guo'hu'jiao 柄果胡椒
'bing'hua'tian'hu'sui 柄花天胡荽
'bo'leng'dian'xiong 波棱滇芎
'bo'xi'dang 波喜荡
'bo'ye'juan'mao'lai'mu 薄叶卷毛梾木
'bo'ye'nang'ban'qin 薄叶囊瓣芹
'bo'yuan'cong'mu 波缘葱木
'bo'yuan'da'can 波缘大参
'bu'dan'song 不丹松
'cang'chuan'yang 藏川杨
'cang'hong'shan 藏红杉
'cang'hui'qin 藏茴芹
'cang'leng'shan 藏冷杉
'cang'ma'huang 藏麻黄
'cang'shan'leng'shan 苍山冷杉
'cao'ci'zao 草茨藻
'cao'di'liang'ye'qin 草地亮叶芹
'cao'du'huo 糙独活
'cao'guo'qin 糙果芹
'cao'hu'jiao 草胡椒
'cao'long 草龙
'cao'ma'huang 草麻黄
'cao'mao'wu'jia 糙毛五加
'cao'shan'hu 草珊瑚
'cao'ye'cong'mu 糙叶葱木
'cao'ye'teng'wu'jia 糙叶藤五加
'cao'ye'wu'jia 糙叶五加
'cao'yuan'qian'hu 草原前胡
'cao'zhu'yu 草茱萸
'ce'bai 侧柏
'cha'bao'su'tie 叉孢苏铁
'cha'ye'su'tie 叉叶苏铁
'cha'yu'leng'shan 察隅冷杉
'cha'zi'yuan'bai 叉子圆柏
'chai'hu'zhuang'ban'mo'qin 柴胡状斑膜芹
'chang'bai'gao'shan'qin 长白高山芹
'chang'bai'song 长白松
'chang'bai'yu'lin'yun'shan 长白鱼鳞云杉
