'a'bo'luo 阿波罗
'a'er'shan 阿尔山
'a'fan'ti 阿凡提
'a'shi'ma 阿诗玛
'ai'e 爱鹅
'ai'guo 爱国
'ai'li'chun 爱丽春
'ai'luo 爱罗
'ai'min 爱民
'ai'qing 爱卿
'ai'si'ge 爱思哥
'ai'te 爱特
'an'le 安乐
'an'shan 鞍山
'an'yuan 安源
'ao'lin 奥林
'ao'shi'pai 奥士派
'ao'tou'ji 熬头矶
'ao'yun 奥芸
'ba'bai'zhuang'shi 八百壮士
'ba'da'guan 八大关
'ba'da'ling 八达岭
'ba'da'shan'ren 八大山人
'ba'gua 八卦
'ba'jing'tai 八境台
'ba'lan 芭兰
'ba'lei 芭蕾
'ba'ling 霸陵
'ba'pai 霸牌
'ba'qi 八旗
'ba'san 八三
'ba'shan'xue'jia 巴山雪茄
'ba'shu 巴蜀
'ba'wang 霸王
'ba'xi 八喜
'ba'xian 八仙
'ba'yi 八一
'bai'bao 百宝
'bai'cao 百草
'bai'du'juan 白杜鹃
'bai'e 白鹅
'bai'fa 百发
'bai'feng 白凤
'bai'fu'rong 白芙蓉
'bai'ge 白鸽
'bai'ge 百鸽
'bai'he 白鹤
'bai'he 百合
'bai'he'hua 百合花
'bai'he'liang 白鹤梁
'bai'he'qiao 白河桥
'bai'he'quan 白鹤泉
'bai'hua 百花
'bai'hua'xiang 百花香
'bai'hua'zhou 百花洲
'bai'ji 百吉
'bai'jin'long 白金龙
'bai'jin'lu 白金鹿
'bai'ju 白菊
'bai'kou'le 百口乐
'bai'lan 白兰
'bai'lan'di 白兰地
'bai'le 百乐
'bai'li 白丽
'bai'li 百利
'bai'lian 白莲
'bai'ling 百灵
'bai'lu 白鹭
'bai'lu 白鹿
'bai'lu 百禄
'bai'lu'zhou 白鹭洲
'bai'mao 白猫
'bai'mao'nv 白毛女
'bai'mei'gui 白玫瑰
'bai'mian 白棉
'bai'mu'dan 白牡丹
'bai'ou 白欧
'bai'qiang 百强
'bai'quan 百泉
'bai'que 百雀
'bai'sha 白沙
'bai'sha'yan 白沙烟
'bai'shao 白芍
'bai'sheng 百胜
'bai'shi'da 百事达
'bai'shi'le 百事乐
'bai'shou 百寿
'bai'shun 百顺
'bai'tian'e 白天鹅
'bai'tu 白兔
'bai'wan 佰万
'bai'wan'jin 百万金
'bai'wu'lun 白五轮
'bai'wu'shu 白五输
'bai'xi'bao 白锡包
'bai'xiang 白象
'bai'xiong 白熊
'bai'xue 白雪
'bai'yang 白羊
'bai'yang'dian 白洋淀
'bai'ying'wu 白鹦鹉
'bai'yu'lan 白玉兰
'bai'yu'mao 白羽毛
'bai'yun 白云
'ban'ma 斑马
'ban'na'qing 版纳情
'ban'po 半坡
'ban'qiao 板桥
'ban'ru'yun 半入云
'bang'chui'dao 棒棰岛
'bang'chui'dao 棒槌岛
'bao'cheng 宝城
'bao'cheng 宝成
'bao'dao 宝刀
'bao'dao 宝岛
'bao'di 宝地
'bao'ding 宝鼎
'bao'gong 包公
'bao'guang 宝光
'bao'hong 宝虹
'bao'hua 宝花
'bao'lian'deng 宝莲灯
'bao'ma 宝马
'bao'pen 宝盆
'bao'shan 宝扇
'bao'shi 宝狮
'bao'shi 宝石
'bao'shu'ta 保淑塔
'bao'ta 宝塔
'bao'ta'shan 宝塔山
'bao'wei 保卫
'bao'xi 报喜
'bao'ye 宝叶
'bao'ying 宝鹰
'bao'zang 宝藏
'bao'zi 宝字
'bei'bu'wan 北部湾
'bei'da'huang 北大荒
'bei'dai'he 北戴河
'bei'fang 北方
'bei'fang'ming'zhu 北方明珠
'bei'feng 北风
'bei'guo 北国
'bei'hai 北海
'bei'hu 北湖
'bei'ji 北极
'bei'jing 北京
'bei'li 倍利
'bei'ling 北陵
'bei'lun 北仑
'bei'ping 北平
'bei'yue 北岳
'ben'chi 奔驰
'ben'ma 奔马
'ben'yue 奔月
'beng'bu 蚌埠
'bi'bo 碧波
'bi'gan 比干
'bi'huang 碧煌
'bi'ji 碧鸡
'bi'long 壁龙
'bi'lv 碧绿
'bi'tao 碧桃
'bian'cheng 边城
'bian'fu 蝙蝠
'bian'jing 汴京
'bian'que 扁鹊
'bian'zhong 编钟
'bie'shu 别墅
'bin'zhou 宾州
'bing'cheng 冰城
'bing'di'lian 并蒂莲
'bing'dou 冰都
'bing'hua 冰花
'bing'ma'yong 兵马俑
'bing'shan 冰山
'bo'ai 博爱
'bo'ge'da 博格达
'bo'he 薄荷
'bo'le 伯乐
'bo'shao 亳芍
'bo'shi 博士
'bo'zhou 亳州
'bo'zhou 播州
'bu'dao'weng 不倒翁
'bu'er'men 不二门
'bu'gu 布谷
'bu'tou 埠头
'cai'bao 采宝
'cai'bo 彩波
'cai'cha'deng 采茶灯
'cai'die 彩蝶
'cai'feng 彩凤
'cai'hong 彩虹
'cai'lian 彩莲
'cai'long 彩龙
'cai'shen 财神
'cai'yun'gui 彩云归
'can'nv 参女
'can'qi 参杞
'can'tong 参童
'can'yan 参烟
'cang'lang'ting 沧浪亭
'cang'qiong 苍穹
'cao'hai 草海
'cao'yuan 草原
'cao'zhou 曹州
'ceng'ceng'gao 层层高
'cha'ha'er 察哈尔
'cha'hua 茶花
'cha'ya'shan 嵖岈山
'chai'tou'feng 钗头凤
'chai'weng'nv 柴翁女
'chang'an 长安
'chang'bai'can 长白参
'chang'bai'hu 长白虎
'chang'bai'shan 长白山
'chang'ban'po 长阪坡
'chang'cheng 长城
'chang'cheng'xue'jia 长城雪茄
'chang'chun 长春
'chang'dao 长刀
'chang'de 常德
'chang'e 嫦娥
'chang'feng 长风
'chang'gang 长冈
'chang'gang 长岗
'chang'gu 长鼓
'chang'jiang 长江
'chang'jiang'da'qiao 长江大桥
'chang'jing'lu 长颈鹿
'chang'kong 长空
'chang'lang 长廊
'chang'le 长乐
'chang'qing 长青
'chang'sha 长沙
'chang'sheng 长胜
'chang'shou 长寿
'chang'shou'hua 长寿花
'chang'xiang'si 长相思
'chang'ying 长缨
'chang'zheng 长征
'chao'hu 巢湖
'chao'hua 朝花
'chao'ji'huan'da 超极桓大
'chao'piao 钞票
'chao'zhu 朝珠
'chen'he 晨鹤
'chen'pai 晨牌
'chen'xi 晨曦
'chen'xiang 沉香
'chen'zhou 郴州
'cheng'bao 城堡
'cheng'du 成都
'cheng'feng 乘风
'cheng'gong 成功
'cheng'men 城门
'cheng'ren 称人
'cheng'xiang 城乡
'cheng'xiang'hua 丞相花
'chi'bi 赤壁
'chi'lu 驰鹿
'chi'shui'he 赤水河
'chong'cao 虫草
'chong'jiu 重九
'chong'qing 重庆
'chu'bei 楚北
'chu'chu'hong 处处红
'chu'le 楚乐
'chu'tian'you 楚天游
'chu'wang 楚王
'chu'xiang 楚相
'chu'yuan 楚源
'chuan'bao 川宝
'chuan'bei 川贝
'chuan'jiang 川江
'chuan'pai 船牌
'chuan'ye 川叶
'chun'cheng 春城
'chun'feng 春风
'chun'geng 春耕
'chun'guang 春光
'chun'guang'mei 春光美
'chun'gui 春归
'chun'jiang 春江
'chun'lai'dao 春来到
'chun'lai'xiang 春来香
'chun'lan 春兰
'chun'le 春乐
'chun'lei 春雷
'chun'ling 春陵
'chun'ling'jiang 春陵江
'chun'liu 春柳
'chun'man'yuan 春满园
'chun'mei 春梅
'chun'mei'xiang 春美香
'chun'niu 春牛
'chun'qiu 春秋
'chun'tian 春天
'chun'xi 春禧
'chun'xiao 春晓
'chun'yan 春燕
'chun'yi 春谊
'chun'zhong'liang 纯重量
'ci'du 瓷都
'ci'tong 刺桐
'cui'niao 翠鸟
'cui'ping'shan 翠屏山
'cui'ye 翠叶
'cui'zhu 翠竹
'cun'jin'qiao 寸金桥
'da'an 大安
'da'bai'wan'jin 大百万金
'da'bo'jue 大伯爵
'da'chong'jiu 大重九
'da'de'li 大得利
'da'di 大地
'da'di'gong'cheng'kai'fa'you'xian'gong'si 大地工程开发有限公司
'da'di'wen 大地文
'da'du'he 大渡河
'da'fan'dian 大饭店
'da'fei'xiong 大飞熊
'da'fu'zi 大福字
'da'gang 大港
'da'gong'ji 大公鸡
'da'gong'yan 大公烟
'da'guang 大光
'da'guang'ming 大光明
'da'guo 大国
'da'he 大河
'da'heng 大亨
'da'hong'hua 大红花
'da'hong'pao 大红袍
'da'hong'ye 大红叶
'da'hong'ying 大红鹰
'da'hong'yun 大鸿运
'da'huai'shu 大槐树
'da'ji 大鸡
'da'ji 大吉
'da'ji'li 大吉利
'da'ji'xiang 大吉祥
'da'ji'yang 大吉羊
'da'jian'she 大建设
'da'jiang 大江
'da'jiang'jun 大将军
'da'jin'long 大金龙
'da'jin'shi 大金狮
'da'jin'xing 大金星
'da'jing'men 大境门
'da'lei 大耒
'da'li 达利
'da'li 大力
'da'li'hua 大丽花
'da'li'shen 大力神
'da'lian'he 大联合
'da'lian'huan 大联欢
'da'lian'zhu 大联珠
'da'ling 大翎
'da'lou'shan 大娄山
'da'lv'shu 大绿树
'da'mao 大猫
'da'ming'hu 大明湖
'da'ni 达妮
'da'qian'kun 大乾坤
'da'qian'men 大前门
'da'qiao 大桥
'da'qing 大庆
'da'qing'shan 大青山
'da'qiu 大秋
'da'sheng 大圣
'da'sheng'chan 大生产
'da'shi'jie 大世界
'da'shou 大手
'da'tian'jin 大天津
'da'tie'qiao 大铁桥
'da'tuan'yuan 大团圆
'da'wei'du'fu 大卫杜夫
'da'wen'dang 大稳当
'da'wu'tai 大舞台
'da'xi 达西
