'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'a'bu'bing'xiu'jun 阿部柄锈菌
'a'di'jiao'nang'fu'ge'jun 阿地胶囊伏革菌
'a'di'pan'jun 阿地盘菌
'a'er'shan'tiao'hei'fen'jun 阿尔山条黑粉菌
'a'er'tai'bei'san 阿尔台杯伞
'a'er'tai'jiao'bei'er 阿尔泰胶杯耳
'a'er'tai'shi'er 阿尔泰石耳
'a'er'tai'si'chi'jun 阿尔泰丝齿菌
'a'gen'ting'mo'gu 阿根廷蘑菇
'a'la'ba'ma'lin'san 阿拉巴马鳞伞
'a'la'di'mu'ceng'kong'jun 阿拉第木层孔菌
'a'la'gen'na'xiao'cui'bing'gu 阿拉根那小脆柄菇
'a'la'hua'la'wo'kong'jun 阿拉华蜡卧孔菌
'a'li'ma'xiao'pi'san 阿里马小皮伞
'a'li'pi'pan'jun 阿里皮盘菌
'a'li'shan'duo'bao'xiu'jun 阿里山多胞锈菌
'a'li'shan'fei'bing'xiu'jun 阿里山肥柄锈菌
'a'li'shan'la'chang'yi 阿里山腊肠衣
'a'li'shan'mai'er'xiu'jun 阿里山迈尔锈菌
'a'li'shan'mao'er'yi 阿里山猫耳衣
'a'li'shan'shan'hu'zhi 阿里山珊瑚枝
'a'li'suo'wa'bing'xiu'jun 阿丽索娃柄锈菌
'a'li'ya'ling'bao 阿里哑铃孢
'a'man'yuan'pei'yi 阿曼原胚衣
'a'mei'ni'ya'si'mo'jun 阿美尼亚丝膜菌
'a'mu'bo'shi'kong'jun 阿穆泊氏孔菌
'a'qie'er'dan'bao'xiu'jun 阿切尔单胞锈菌
'a'qie'er'long'tou'jun 阿切尔笼头菌
'a'rui'ni'zhui'gai'san 阿瑞尼锥盖伞
'a'sa'kuai'jun 阿萨块菌
'a'sa'mu'duo'bao'xiu'jun 阿萨姆多胞锈菌
'a'sa'xi'mao'bao'zi'jun 阿萨希毛孢子菌
'a'shi'chang'sheng'pan'jun 阿氏长生盘菌
'a'shi'dun'pan'jun 阿氏盾盘菌
'a'shi'fen'pan'jun 阿氏粪盘菌
'a'shi'ji'pi'yi 阿氏鸡皮衣
'a'shi'zong'lin'yi 阿氏棕鳞衣
'ai'bing'gan'yi 矮饼干衣
'ai'bing'xiu'jun 矮柄锈菌
'ai'di'hei'fen'jun 埃地黑粉菌
'ai'di'li'luo'hei'fen'jun 埃地利罗黑粉菌
'ai'di'she'jun 矮地舌菌
'ai'fen'pan'jun 矮粪盘菌
'ai'gu'shu 矮菇属
'ai'guang'bing'gu 矮光柄菇
'ai'hong'gu 矮红菇
'ai'hua'xing'hei'sui'bing 矮化腥黑穗病
'ai'ji'hei'dan'chao'jun 埃及黑蛋巢菌
'ai'ju'bing'xiu'jun 艾菊柄锈菌
'ai'kui'bao'jun 矮盔孢菌
'ai'la'mo 矮蜡蘑
'ai'lao'de'shi'bing'hui'bao 爱劳德氏柄灰包
'ai'li'xun'wen'ge'jun 爱立逊纹革菌
'ai'li'zhuan'ge'bao'shu 埃里砖格抱属
'ai'lun'tuan'hei'fen'jun 埃伦团黑粉菌
'ai'mo'shi'li'qing'yi 埃默氏沥青衣
'ai'mo'shi'lin'ye'yi 埃默氏鳞叶衣
'ai'na'xiang'xiu'bao'xiu'jun 艾纳香锈孢锈菌
'ai'sheng'fen'zhe'jun 矮生粉褶菌
'ai'shi'bao'dui'hei'fen'jun 埃氏孢堆黑粉菌
'ai'shi'ci'nang'ge'jun 艾氏刺囊革菌
'ai'shi'hong'gu 矮狮红菇
'ai'shi'jun'kong 艾氏菌孔
'ai'shi'kong'jun'shu 艾氏孔菌属
'ai'shi'rui 矮石蕊
'ai'shi'shen'dao'yi 艾氏肾岛衣
'ai'shi'xiao'pi'san'jian'dan'bian'xing 爱氏小皮伞简单变型
'ai'shu'hua 矮树花
'ai'si'mo'jun 矮丝膜菌
'ai'tan'chun'bing'xiu'jun 矮探春柄锈菌
'ai'xiao'bao'jiao'gu 矮小包脚菇
'ai'xiao'bei'bao'mei 矮小被孢霉
'ai'xiao'de'xing 矮小地星
'ai'xiao'hong'gu 矮小红菇
'ai'xiao'mi'le'shi'jun 矮小米勒氏菌
'ai'xiao'ru'gu 矮小乳菇
'ai'xiao'shi'rui 矮小石蕊
'ai'xiao'wen'zi'yi 矮小文字衣
'ai'you'yi 矮疣衣
'ai'you'yi'shu 矮疣衣属
'an'bang'shu'bao'shu 暗棒束孢属
'an'bao'er'mei 暗孢耳霉
'an'bao'pan'jun 暗孢盘菌
'an'bao'tai'shu 暗孢炱属
'an'bao'yi'shu 暗孢衣属
'an'bei'pan'jun'shu 暗被盘菌属
'an'bing'huan'bing'gu 暗柄环柄菇
'an'cheng'yi 暗橙衣
'an'chun'jiao'di'pan'jun 暗唇焦地盘菌
'an'dan'se'mai'zhe'jun 暗淡色脉褶菌
'an'dan'shi'qiu'hei'fen'jun 暗淡实球黑粉菌
'an'di'juan'mei 安地卷霉
'an'dian'yi 暗点衣
'an'dun'yi 暗盾衣
'an'fen'dai'yi 暗粉袋衣
'an'fu'huang'mei 暗腹黄梅
'an'fu'mei'yi 暗腹梅衣
'an'gai'dan'lin'e'gao 暗盖淡鳞鹅膏
'an'he'du'e'gao'jun 暗褐毒鹅膏菌
'an'he'gai'jin'qian'jun 暗褐盖金钱菌
'an'he'hong'gu 暗褐红菇
'an'he'jin'qian'jun 暗褐金钱菌
'an'he'mai'bing'niu'gan'jun 暗褐脉柄牛肝菌
'an'he'pan'jun 暗褐盘菌
'an'he'ru'gu 暗褐乳菇
'an'he'si'mo'jun 暗褐丝膜菌
'an'he'yi 暗褐衣
'an'hei'wei'bao'yi 暗黑微孢衣
'an'hong'fen'zhe'xun 暗红粉褶蕈
'an'hong'pan'jun 暗红盘菌
'an'hong'tiao'bao'niu'gan'jun 暗红条孢牛肝菌
'an'hou'mao'si'mo'jun 暗厚毛丝膜菌
'an'huang'cha'zi 暗黄茶渍
