'a'er'tai'xue'ji 阿尔泰雪鸡
'ai'ji'ye'ying 埃及夜鹰
'an'bei'yu'yan 暗背雨燕
'an'chun 鹌鹑
'an'fu'xue'ji 暗腹雪鸡
'an'hui'juan'ju 暗灰鹃鵙
'an'lv'liu'ying 暗绿柳莺
'an'lv'xiu'yan'niao 暗绿绣眼鸟
'an'mian'shan'jiao'ying 暗冕山鹪莺
'an'se'ya'que 暗色鸦雀
'an'xiong'zhu'que 暗胸朱雀
'ao'zhou'hong'zui'ou 澳洲红嘴鸥
'ba'ge 八哥
'ba'sheng'du'juan 八声杜鹃
'bai'ban'chi'ni'la'zui'que 白斑翅拟蜡嘴雀
'bai'ban'chi'xue'que 白斑翅雪雀
'bai'ban'hei'shi 白斑黑石
'bai'ban'jun'jian'niao 白斑军舰鸟
'bai'ban'wei'liu'ying 白斑尾柳莺
'bai'bei'ji'dong 白背矶鸫
'bai'bei'wu'jiu 白背兀鹫
'bai'bei'zhuo'mu'niao 白背啄木鸟
'bai'chi'fu'ou 白翅浮鸥
'bai'chi'jiao'zui'que 白翅交嘴雀
'bai'chi'lan'que 白翅蓝鹊
'bai'chi'qi'ya 白翅栖鸭
'bai'chi'yun'que 白翅云雀
'bai'chi'zhuo'mu'niao 白翅啄木鸟
'bai'dian'chi'ni'la'zui'que 白点翅拟蜡嘴雀
'bai'dian'zao'mei 白点噪鹛
'bai'ding 白顶
'bai'ding'wu 白顶鹀
'bai'ding'xi'qu 白顶溪鸲
'bai'ding'xuan'yan'ou 白顶玄燕鸥
'bai'e'hu 白额鹱
'bai'e'yan 白额雁
'bai'e'yan'ou 白额燕鸥
'bai'e'yan'wei 白额燕尾
'bai'e'yuan'wei'hu 白额圆尾鹱
'bai'er'qi'mei 白耳奇鹛
'bai'fu'an'lan'weng 白腹暗蓝鹟
'bai'fu'dong 白腹鸫
'bai'fu'duan'chi'qu 白腹短翅鸲
'bai'fu'feng'mei 白腹凤鹛
'bai'fu'hai'diao 白腹海雕
'bai'fu'hei'zhuo'mu'niao 白腹黑啄木鸟
'bai'fu'jin'ji 白腹锦鸡
'bai'fu'jun'jian'niao 白腹军舰鸟
'bai'fu'lan'weng 白腹蓝鹟
'bai'fu'lu 白腹鹭
'bai'fu'sun'diao 白腹隼雕
'bai'fu'yao 白腹鹞
'bai'fu'you'mei 白腹幽鹛
'bai'fu'zhen'wei'lv'jiu 白腹针尾绿鸠
'bai'gu'ding 白骨顶
'bai'guan 白鹳
'bai'guan'chang'wei'zhi 白冠长尾雉
'bai'guan'dai'wu 白冠带鹀
'bai'guan'pan'que 白冠攀雀
'bai'guan'zao'mei 白冠噪鹛
'bai'he 白鹤
'bai'hou'ban'yang'ji 白喉斑秧鸡
'bai'hou'duan'chi'dong 白喉短翅鸫
'bai'hou'guan'bei 白喉冠鹎
'bai'hou'hong'tun'bei 白喉红臀鹎
'bai'hou'hong'wei'qu 白喉红尾鸲
'bai'hou'ji'dong 白喉矶鸫
'bai'hou'ji'weng 白喉姬鹟
'bai'hou'lin'ge 白喉林鸽
'bai'hou'lin'weng 白喉林鹟
'bai'hou'lin'ying 白喉林莺
'bai'hou'shan'jiao'ying 白喉山鹪莺
'bai'hou'shan'wei'weng 白喉扇尾鹟
'bai'hou'shi 白喉石
'bai'hou'wen'niao 白喉文鸟
'bai'hou'xi'niao 白喉犀鸟
'bai'hou'zao'mei 白喉噪鹛
'bai'hou'zhen'wei'yu'yan 白喉针尾雨燕
'bai'ji'ling 白鹡鸰
'bai'jia'bei 白颊鹎
'bai'jia'hei'yan 白颊黑雁
'bai'jia'shan'zhe'gu 白颊山鹧鸪
'bai'jia'zao'mei 白颊噪鹛
'bai'jian'diao 白肩雕
'bai'jian'hei'huan 白肩黑鹮
'bai'jing'chang'wei'zhi 白颈长尾雉
'bai'jing'dong 白颈鸫
'bai'jing'feng'mei 白颈凤鹛
'bai'jing'guan 白颈鹳
'bai'jing'ya 白颈鸦
'bai'jing'zao'mei 白颈噪鹛
'bai'kuang'ban'chi'mei 白眶斑翅鹛
'bai'kuang'que'mei 白眶雀鹛
'bai'kuang'weng'ying 白眶鹟莺
'bai'kuang'ya'que 白眶鸦雀
'bai'lian'heng 白脸鸻
'bai'lian'lu 白脸鹭
'bai'ling'ba'ge 白领八哥
'bai'ling'fei'cui 白领翡翠
'bai'ling'feng'mei 白领凤鹛
'bai'lu 白鹭
'bai'ma'ji 白马鸡
'bai'mei'di'dong 白眉地鸫
'bai'mei'dong 白眉鸫
'bai'mei'ge'dong 白眉歌鸫
'bai'mei'huang'tun'bei 白眉黄臀鹎
'bai'mei'ji'weng 白眉姬鹟
'bai'mei'ku'e'niao 白眉苦恶鸟
'bai'mei'lan'ji'weng 白眉蓝姬鹟
'bai'mei'lin'qu 白眉林鸲
'bai'mei'que'mei 白眉雀鹛
'bai'mei'shan'que 白眉山雀
'bai'mei'shan'wei'weng 白眉扇尾鹟
'bai'mei'shan'zhe'gu 白眉山鹧鸪
'bai'mei'wu 白眉鹀
'bai'mei'ya 白眉鸭
'bai'mei'zhu'que 白眉朱雀
'bai'mei'zong'zhuo'mu'niao 白眉棕啄木鸟
'bai'pi'lu 白琵鹭
'bai'qiao'zui'ou 白鞘嘴鸥
'bai'ti'hu 白鹈鹕
'bai'tou'bei 白头鹎
'bai'tou'dong 白头鸫
'bai'tou'he 白头鹤
'bai'tou'ju'mei 白头鵙鹛
'bai'tou'wu 白头鹀
'bai'tou'yao 白头鹞
'bai'tou'ying'wei'ya 白头硬尾鸭
'bai'tui'xiao'sun 白腿小隼
'bai'wei'di'ya 白尾地鸦
'bai'wei'hai'diao 白尾海雕
'bai'wei'lan'di'qu 白尾蓝地鸲
'bai'wei'lan'xian'weng 白尾蓝仙鹟
'bai'wei'mai'ji 白尾麦鸡
'bai'wei'meng 白尾鹲
'bai'wei'shao'hong'zhi 白尾梢虹雉
'bai'wei'yao 白尾鹞
'bai'wu'jiu 白兀鹫
'bai'xian 白鹇
'bai'xiong'fei'cui 白胸翡翠
'bai'xiong'ku'e'niao 白胸苦恶鸟
'bai'xiong'ya'que 白胸鸦雀
'bai'xu'hei'xiong'ge'qu 白须黑胸歌鸲
'bai'yan'kuang'ying 白眼鵟鹰
'bai'yan'ou 白燕鸥
'bai'yan'qian'ya 白眼潜鸭
'bai'yao'biao'yu 白腰杓鹬
'bai'yao'bin'yu 白腰滨鹬
