'ai'gang'jing'ye 爱岗敬业
'an'li'ping'xi 案例评析
'an'quan'jiao'yu 安全教育
'an'quan'yu'fa'zhi'ke 安全与法制课
'ban'ji'cai'wu 班级财物
'ban'ji'gong'zuo 班级工作
'ban'zhu'ren'hui 班主任会
'bei'ke'zu'zhang 备课组长
'bi'ye'ban 毕业班
'bi'ye'kao'shi 毕业考试
'can'ting'gong'zuo 餐厅工作
'chang'gui'jiao'xue'jian'cha 常规教学检查
'cheng'xin'jiao'yu 诚信教育
'chuan'tong'wen'hua 传统文化
'chun'ji'yun'dong'hui 春季运动会
'chun'xue'duan 春学段
'da'biao 达标
'da'jian'cha 大检查
'dao'xue'an 导学案
'de'yu'gong'zuo 德育工作
'di'zi'gui 弟子规
'du'shu'bi'ji 读书笔记
'du'shu'huo'dong 读书活动
'er'mo 二摸
'fa'zhi'jiao'yu 法制教育
'fu'xi'yan'tao'hui 复习研讨会
'gan'en'xiao'qin 感恩孝亲
'ge'ban'gong'shi 各办公室
'ge'ming'chuan'tong'jiao'yu 革命传统教育
'ge'ren'wei'sheng 个人卫生
'ge'ren'wei'sheng'xi'guan 个人卫生习惯
'ge'xiang'gong'zuo 各项工作
'gong'kai'ke 公开课
'gong'zuo'luo'shi 工作落实
'gou'jian 构建
'guang'bo'cao 广播操
'guang'bo'zhan 广播站
'guang'chang'wen'hua'zhou 广场文化周
'han'jia'zuo'ye 寒假作业
'hou'jin'sheng 后进生
'hou'jin'sheng'zhuan'hua 后进生转化
'huo'dong'kai'zhan 活动开展
'ji'hua'shi'shi 计划实施
'ji'sao'lie'shi'mu 祭扫烈士墓
'ji'ti'bei'ke 集体备课
'jiao'an'chou'cha 教案抽查
'jiao'xue'an'li 教学案例
'jiao'xue'ji'hua 教学计划
'jiao'yan'tian'di 教研天地
'jie'duan'xing'jian'cha 阶段性检查
'jiu'nian'ji'jiao'xue'yan'tao'hui 九年级教学研讨会
'jun'min'gong'jian'huo'dong 军民共建活动
'kai'xue'gong'zuo 开学工作
'ke'wai'huo'dong 课外活动
'lan'qiu'sai 篮球赛
'lao'dong'ji'neng 劳动技能
'li'lun'xue'xi 理论学习
'liang'cao 两操
'liang'shi'yi'qing 两史一情
'qi'mo 期末
'qi'zhong'kao'shi 期中考试
'qin'jin'zi'ran 亲近自然
'qing'nian'jiao'shi 青年教师
'san'li'jiao'yu 三理教育
'san'yue'wen'ming'li'mao'yue 三月文明礼貌月
'she'hui'shi'jian 社会实践
'shen'ru'kai'zhan 深入开展
'shi'de 师德
'shi'de'jiao'yu 师德教育
'shi'ge'lang'song'hui 诗歌朗诵会
'shi'yan'jia'shi 实验加试
'song'du 诵读
'su'guan 宿管
'su'guan'gong'zuo 宿管工作
'su'zhi'jiao'yu 素质教育
'ti'yin'mei'wei 体音美微
'ti'yu'jia'shi 体育加试
'ting'ke'ji'lu 听课记录
'tong'ke'yi'gou 同课异构
'tong'zhi'shu 通知书
'tui'men'ke 推门课
'wei'ji'jing'sai 微机竞赛
'wei'ji'ke 微机课
'wen'ming'li'yi 文明礼仪
'wen'ming'li'yi'ban'wo'xing 文明礼仪伴我行
'wu'si'jing'shen'dai'dai'chuan 五四精神代代传
'wu'yue'feng'yun 五月风韵
'xiao'fang'zhi'shi 消防知识
'xiao'fei'zhe'quan'yi 消费者权益
'xiao'feng'xiao'ji 校风校纪
'xiao'rong'xiao'mao 校容校貌
'xiao'yuan'an'quan 校园安全
'xiao'yuan'wei'sheng 校园卫生
'xiao'yuan'zhi'sheng 校园之声
'xin'ke'gai 新课改
'xin'ke'tang 新课堂
'xin'li'jian'kang'jiao'yu 心理健康教育
'xin'tuan'yuan 新团员
'xin'xue'qi 新学期
'xue'an'dao'xue 学案导学
'xue'qing'diao'yan 学情调研
'xue'sheng'de'yu 学生德育
'xue'sheng'ji'lv 学生纪律
'xue'sheng'ping'jiao 学生评教
'xue'sheng'shi'tang 学生食堂
'xue'sheng'xing'wei'gui'fan'jiao'yu 学生行为规范教育
'xue'sheng'xing'wei'gui'fan'tiao 学生行为规范条
'xue'sheng'zong'he'su'zhi'ping'ding 学生综合素质评定
'xue'sheng'zong'he'su'zhi'ping'jia 学生综合素质评价
'xue'xiao'wei'sheng 学校卫生
'yan'tao'hui 研讨会
'yang'cheng'jiao'yu 养成教育
'yi'mo 一摸
'yi'wu'lao'dong 义务劳动
'you'zhi'ke'bi'sai 优质课比赛
'yuan'li'wang'ba 远离网吧
'zhan'shi'ke 展示课
'zheng'ti'gong'zuo 整体工作
'zheng'wen'huo'dong 征文活动
'zhi'shi'jiang'zuo 知识讲座
'zhi'shi'jing'sai 知识竞赛
'zhu'ti'ban'bao'bi'sai 主题板报比赛
'zhu'ti'ban'hui 主题班会
'zhu'ti'hei'ban'bao 主题黑板报
'zhu'ti'jiao'yu 主题教育
'zhu'ti'jiao'yu'huo'dong 主题教育活动
'zhu'ti'tuan'hui 主题团会
'zhu'yao'gong'zuo 主要工作
'zong'he'su'zhi 综合素质
'zuo'tan'hui 座谈会
'zuo'ye'pi'gai 作业批改
