'ba'ji 巴戟
'ba'jiao 八角
'cang'bai 苍白
'chi'bai 赤白
'chuan'duan 川断
'da'yun 大云
'dan'cao 胆草
'dao'dou 刀豆
'di'gu 地骨
'ding'xiang 丁香
'dong'hua 冬花
'er'cha 儿茶
'er'di 二地
'er'hua 二花
'er'ya 二芽
'gan'mai'xuan'ju'tang 甘麦玄桔汤
'ge'he 葛合
'gong'ying 公英
'gu'jing 谷精
'gu'zhi 故纸
'gua'ke 瓜壳
'gua'yu 瓜玉
'hai'xiao 海蛸
'jiu'shao 酒芍
'jiu'xiang'chong 九香虫
'ju'he 桔核
'li'he 荔核
'ling'xian 灵仙
'liu'jiao'ting 六角亭
'long'mu 龙牡
'ma'lan'gen 马兰根
'ma'ren 麻仁
'man'jing 蔓荆
'nei'jin 内金
'qian'ren 前仁
'quan'gua 全瓜
'ru'mei 乳没
'san'xian 三仙
'sang'pi 桑皮
'sang'xiao 桑蛸
'sha'mu 砂木
'she'cao 蛇草
'sheng'nei'jin 生内金
'shi'jue 石决
'si'zi 丝子
'sui'bu 碎补
'tiao'can 条参
'tu'ling 土苓
'tu'si 菟丝
'wu'qing'song 吴青松
'wu'yang'ba 舞阳坝
'wu'yu 吴芋
'xiao'du'chuan 小渡船
'xuan'hu 玄胡
'zhi'cao 炙草
