'ban'tu'you'feng'gan'shen'bu'zu 斑秃油风肝肾不足
'cuo'chuang'fen'ci'shi're'yun'jie 痤疮粉刺湿热蕴结
'dai'zhuang'pao'zhen'she'chuan'chuang'gan'jing'yu're 带状疱疹蛇串疮肝经郁热
'duo'xing'hong'ban'mao'yan'chuang'shi're'yun'jie 多形红斑猫眼疮湿热蕴结
'guo'min'xing'zi'dian'zi'dian'feng're'shang'luo 过敏性紫癜紫癜风热伤络
'hong'ban'lang'chuang'hong'hu'die'chuang're'du'chi'sheng 红斑狼疮红蝴蝶疮热毒炽盛
'huang'he'ban'li'hei'ban'gan'shen'bu'zu 黄褐斑黧黑斑肝肾不足
'jie'jie'xing'hong'ban'gua'teng'chan'shi're'yu'zu 结节性红斑瓜藤缠湿热瘀阻
'mei'gui'kang'zhen'feng're'chuang'feng're'fan'biao 玫瑰糠疹风热疮风热犯表
'nong'pao'chuang'huang'shui'chuang'shu'shi're'yun 脓疱疮黄水疮暑湿热蕴
'qiu'zhen'xing'xun'ma'zhen'chong'yao'pi'yan're'du'yun'jie 丘疹性荨麻疹虫咬皮炎热毒蕴结
'shen'jing'xing'pi'yan'niu'pi'xuan'gan'jing'hua'huo 神经性皮炎牛皮癣肝经化火
'shi'zhen'shi'chuang'shi're'qin'yin 湿疹湿疮湿热侵淫
'xun'chang'you'you're'du'yun'jie 寻常疣疣热毒蕴结
'xun'ma'zhen'yin'zhen'feng're'fan'biao 荨麻疹瘾疹风热犯表
'yin'xie'bing'bai'bi'feng're'xue'zao 银屑病白疕风热血燥
'zhi'yi'xing'pi'yan'mian'you'feng'fei'wei're'sheng 脂溢性皮炎面游风肺胃热盛
'zu'xuan'xuan'shi're'xia'zhu 足癣癣湿热下注
