'a'luo'ka 阿络卡
'a'qin'mo'tu 阿钦莫图
'a'zu'ge 阿祖格
'an'lan'shan 黯岚山
'an'le 安乐
'an'ran 安然
'an'yue 暗月
'ao'jin 敖谨
'ao'ting'shen 敖庭慎
'ao'xu 敖诩
'ao'zheng 敖诤
'ba'fu'chi'mei 八服赤眉
'bai'chun'dan 白纯澹
'bai'fa'gui 白发鬼
'bai'he'lu 捭阖录
'bai'hua'tu 百花兔
'bai'ju 白驹
'bai'li'tian 百里恬
'bai'lian'yu 白怜羽
'bai'man'qing 白曼青
'bai'qing'yu 白清羽
'bai'shu'rong 白舒容
'bai'yi 白毅
'bai'yu'xing 白渝行
'bai'zheng'yu 白征羽
'bao'hun 豹魂
'bei'mang'shan 北邙山
'bei'mang'zhi'meng 北邙之盟
'bei'wo'le 孛斡勒
'bi'zhi 毕止
'bing'jia'qin'wang'zhi 兵甲勤王制
'bing'jue 冰玦
'bing'yan'di'hai 冰炎地海
'bu'shi'jian 卜筮监
'bu'zhi'dao 布知道
'cai'he'que 彩禾雀
'cha'na'gong'zi 刹那公子
'chang'men'seng 长门僧
'chang'xin 长薪
'chen'yue 辰月
'chen'zhong 陈重
'chi'lv 赤旅
'chi'xia'lin 赤霞鳞
'chu'dao'shi 楚道石
'chu'liao'hai 滁潦海
'chuang'zao'gu'juan 创造古卷
'chun'shan'jun 春山君
'cui'huang 翠璜
'cui'luo'shi 崔罗石
'da'jiao 大角
'da'li'qing 大理卿
'da'liu'ying 大柳营
'da'yin'li'jiang'jun 大胤李将军
'da'zhan'kui 大斩魁
'di'mang 地蟒
'duo'shi 多事
'fan'yu'shi 范雨时
'fang'qi'zhao 方起召
'feng'chang'qing 奉常卿
'feng'hu 风虎
'feng'lin'wan 风临晚
'feng'yan'huang'di 风炎皇帝
'feng'yan'tie'lv 风炎铁旅
'feng'ying'xiu 风盈袖
'fu'huan 夫环
'gang'shui 钢水
'ge'yin'shu 隔音术
'gen'bai 亘白
'gong'shan'xu 公山虚
'gou'yi'shan 勾弋山
'gu'er'qin 古尔沁
'gu'feng'chen 古风尘
'gu'lun'e 古伦俄
'gu'mo 古莫
'gu'wan'qi 顾宛琪
'gu'xi'yuan 顾西园
'gu'xiao'xian 顾小闲
'gu'xuan 谷玄
'gu'yue'yi 古月衣
'guan'tao'ling 馆陶令
'guang'lu'qing 光禄卿
'gui'cheng'jun 桂城君
'guo'mo'han 郭莫罕
'guo'qi'wei 郭其微
'hai'shang'mu'yun'ji 海上牧云记
'han'zhou 瀚州
'he'luo 河络
'hong'lu'qing 鸿胪卿
'hu'jing 虎鲸
'hu'zhu'fu'ren 斛珠夫人
'hua'ye 华烨
'huan'hai 涣海
'huan'hua 寰化
'huang'wu'zhi'xing 荒芜之星
'hui'ye'zhi'xue 辉烨之穴
'hui'ying 绘影
'hun'yin'shu 魂印书
'huo'chong'zi 火虫子
'huo'lei'yuan 火雷原
'ji'cheng 姬承
'ji'gong 稷宫
'ji'lie'zhi'qiang 极烈之枪
'ji'wei'cheng 姬惟诚
'ji'yang 姬扬
'ji'ye 姬野
'jiang'di 江棣
'jiang'feng 将风
'jiang'nan 江南
'jiang'yun'tian 江云天
'jiang'zuo'qing 将作卿
'jiao'ren 鲛人
'jie'ming'cheng 界明城
'jin'bei 晋北
'jin'fu'tie'ma'yin 金符铁马印
'jin'he'zai 今何在
'jin'ping 锦屏
'jin'tie'ling 禁铁令
'jin'wu'wei 金吾卫
'jin'zhu 金铢
'jing'dou 静都
'jiu'nan 九煵
'jiu'zhou 九州
'jiu'zhou'huan'xiang 九州幻想
'jiu'zhou'zhi 九州志
'ju'ye'zhi'cheng 句野之城
'ku'li'ge'da'hui 库里格大会
'kua'fu 夸父
'kua'fu'chuan'shuo 夸父传说
'kui'hua'shi'dai 葵花时代
'lan'tai'ling 兰台令
'lan'zhou 澜州
'lang'ya'qi'zong 狼牙七纵
'lei'bi'cheng 雷碧城
'lei'ku'huo 雷枯火
'lei'lie'zhi'hua 雷烈之花
'lei'qi 雷骑
'lei'yan 雷眼
'lei'yun'zheng'ke 雷云正柯
'lei'zhou 雷州
'li'jing'rong 李景荣
'li'ling'xin 李凌心
'liang'qing'hou 梁轻侯
'lie'feng 烈风
'lie'feng'shu 裂风术
'lie'yun'zhi'zhang 裂云之章
'lie'zhang 裂章
'liu'feng'jue 流风诀
'liu'huo 流火
'long'lei 龙雷
'long'lian 龙莲
'long'xiang 龙襄
'long'xue'cui 龙血翠
'long'yuan'ge 龙渊阁
'long'yuan'ge'chuan'shuo 龙渊阁传说
'lu'hang'ba 鲁夯巴
'lu'ming'ze 路鸣泽
'lu'qian'ji 路牵机
'luo'hua'bai'li 落花白鲤
'luo'hua'xi 落花溪
'lv'gui'chen 吕归尘
'lv'mei'shan 吕眉山
'lv'qing'yang 吕青阳
'lv'ren 旅人
'ma'lu'kang'zu 马鲁康祖
'ma'mu'er'du'si'ge'li'ya 麻木尔杜斯戈里亚
'ma'mu'zu'ke 麻木祖克
'man'huang 蛮蝗
'mei'gui'zhuo'yin 玫瑰濯银
'meng'hu'zhi'ya 猛虎之牙
'mi'luo 密罗
'ming'meng'hai 溟朦海
'ming'yue 明月
'mu'ru'han'jiang 穆如寒江
'mu'yun'qin 牧云勤
'mu'yun'sheng 牧云笙
'na'ge'er'hong'jia 纳戈尔轰加
'nan'huai 南淮
'nan'ku'yue'li 南枯月漓
'ni'lv 逆旅
'ning'zhou 宁州
'pa'su'er 帕苏尔
'pan'hai'tian 潘海天
'peng'lian'yun 彭连云
'peng'qian'li 彭千蠡
'pi'tian 辟天
'piao'miao'lu 缥缈录
'ping'lin'cong'rong'gui'cheng'xiong 平临从容桂城凶
'ping'lin'jun 平临君
'po'jun'zhi'jiang 破军之将
'qi'huang'yue 凄惶月
'qi'shi'zhi'jun 启示之君
'qiang'wei'gong'zhu 蔷薇公主
'qiang'wei'huang'di 蔷薇皇帝
'qie'yu'jin 切玉劲
'qing'rong'yuan 青茸原
'qing'shi 青石
'qing'shuang'ma 青霜马
'qing'yang 青阳
'qiu'hong 秋虹
'qiu'mo'li 秋陌离
'qiu'ye'cheng'po 秋叶城破
'qiu'ye'shan 秋叶山
'qiu'zi'you 邱子游
'rui'ke 瑞科
'sha'chi 沙池
'sha'gang 砂钢
'shan'hu'jin 珊瑚金
'shang'bo'liang 商博良
'shang'mu'zhou 尚慕舟
'shang'yang'guan 殇阳关
'shang'zhou 殇州
'shao'nei'qing 少内卿
'shi'bo'si 市舶司
'shi'hu 石斛
'shi'hun'zhi'long 噬魂之龙
'shi'ya 狮牙
'shi'ya'hui 狮牙会
