'ai'bie'li'ku 爱别离苦
'an'qi 暗器
'ao'xian 傲仙
'ao'xian'yue 傲仙玥
'ao'xue 傲雪
'ba'bu 八步
'ba'bu'deng'kong 八步登空
'ba'fu 霸服
'ba'gua'dao 八卦刀
'ba'huang 八荒
'ba'men 八门
'ba'mu'cheng 八目城
'ba'ti 霸体
'ba'wang 霸王
'ba'zhang 巴掌
'bai'ba'ti 白霸体
'bai'qiao'xiu'zhen'ji 百巧绣针集
'bai'shi 拜师
'bai'shou 百兽
'bai'shou'nei'gong 百兽内功
'bai'shou'ru'men 百兽入门
'bai'tan 摆摊
'bai'tuo 白驼
'bang'hui 帮会
'bang'hui'dui'jue 帮会对决
'bang'piao 绑票
'bang'tui 绑腿
'bao'du 抱犊
'bao'ji 暴击
'bao'ji'mian 暴击面
'bao'tu 宝图
'bao'wu 宝物
'bei'bao 背包
'bei'gai 北丐
'bei'hao 北豪
'bei'ye'chan'jing 贝叶禅经
'bi'bo'xin'jing 碧波心经
'bi'li 臂力
'bi'luo 碧落
'bi'shou 匕手
'bi'shou 匕首
'bi'you 碧游
'bi'you'jue 碧游诀
'biao'dao'yang'wei 镖道扬威
'biao'qian 标签
'bing'ji 冰肌
'bing'ji'yu'gu'gong 冰肌玉骨功
'bing'lu 兵录
'bing'xin 冰心
'bo'lao'fei'yan 伯劳飞燕
'bu'shi'bian'cai 不世辩才
'cai'feng 裁缝
'cai'feng'tai 裁缝台
'cai'liao 材料
'can'he'tui 参合腿
'can'juan 残卷
'can'wu'ben 参悟本
'can'yang 残阳
'can'yang'jian'fa 残阳剑法
'cang'lan 沧澜
'cang'lan'mi'pu 沧澜秘谱
'cang'long'ling 苍龙岭
'cao'yao'zhong'zhi 草药种植
'ce'ma'ben'teng 策马奔腾
'cha'qi 插旗
'chan'ding 禅定
'chang'feng 长风
'chang'feng'ling 长风令
'chang'fu 长斧
'chang'gun 长棍
'chang'qiang 长枪
'chang'xiang'zhao 常相照
'chen'yin 陈音
'cheng'du 成都
'cheng'feng'dao'hai 乘风蹈海
'cheng'guan 城管
'cheng'hao 称号
'chi'huo 赤火
'chi'jin'huo'shi'lu 炽金火石录
'chi'lun'liu'zhuan 赤轮流转
'chi'mu 赤目
'chi'ri 炽日
'chi'sha 赤煞
'chong'feng 冲锋
'chong'wu 宠物
'chong'zhi 重置
'chong'zhi'jin'zu 重置进组
'chou'hen'tian 仇恨天
'chu'shi 出师
'chu'shi 厨师
'chuan'gong'zhang'lao 传功长老
'chuan'yun 穿云
'chuang'dang'si'hai 闯荡四海
'chuang'kou 窗口
'chun'jiang'hua'yue'ye 春江花月夜
'chun'qiu'tian'yuan'jue 春秋天远诀
'chun'yang 纯阳
'ci'hang 慈航
'ci'tan 刺探
'cong'you'wo'sun'si 葱油莴笋丝
'cu'qian 粗浅
'cuo'bai 挫败
'da'bei'ban're'zhang 大悲般若掌
