'bao'guang 宝光
'bao'zhuang'yun 堡状云
'bei'mu'yun 贝母云
'bing'he 冰核
'bo'zhuang'yun 波状云
'bu'wen'ding'kong'qi 不稳定空气
'cai'hong 彩虹
'ceng'ji'yun 层积云
'ceng'yun 层云
'chao'ji'dan'ti'feng'bao 超级单体风暴
'dui'liu'ceng 对流层
'dui'liu'ceng'ding 对流层顶
'dui'liu'qi'liu 对流气流
'dui'liu'yun 对流云
'duo'dan'ti'feng'bao 多单体风暴
'fan'zhuang'yun 幡状云
'fu'cou'zhuang'yun 辐辏状云
'fu'shu'te'zheng 附属特征
'fu'shu'yun 附属云
'fu'yun 复云
'fu'zhuang'yun 幞状云
'gao'ceng'yun 高层云
'gao'ji'yun 高积云
'gao'zhuang'yun 缟状云
'guan'zhuang'yun 管状云
'gun'zhou'yun 滚轴云
'guo'leng'ye'di 过冷液滴
'hang'ji'yun 航迹云
'hong'cai'yun 虹彩云
'hu'zhuang'yun 弧状云
'huan'ri 幻日
'huan'tian'ding'hu 环天顶弧
'huo'ji'yun 火积云
'ji'yu'yun 积雨云
'ji'yun 积云
'jia'zhuang'yun 荚状云
'juan'ceng'yun 卷层云
'juan'ji'yun 卷积云
'juan'yun 卷云
'kai'er'wen'hai'mu'huo'zi'bo 开尔文亥姆霍兹波
'ma'ti'wo 马蹄涡
'mao'zhuang'yun 毛状云
'ni'wen 逆温
'ning'jie'he 凝结核
'ping'liu'ceng 平流层
'po'pian'yun 破片云
'qi'ta'yun 其他云
'qi'yun 旗云
'ri'yun 日晕
'ri'zhu 日柱
'shan'mao'yun 山帽云
'shang'hai'guan'yun'xie'hui'huang'bai'yan 上海观云协会黄柏炎
'shi'zhong'yun'shu 十种云属
'shu'mu'guang'tiao 曙暮光条
'shui'zheng'qi 水蒸气
'wang'zhuang'yun 网状云
'xiao'yun'kuai 小云块
'xuan'qiu'zhuang'yun 悬球状云
'yan'she 衍射
'ye'guang'yun 夜光云
'yu'ceng'yun 雨层云
'yu'fan'dong'yun 雨幡洞云
'yun'de'bian'zhong 云的变种
'yun'de'guang'xue'xian'xiang 云的光学现象
'yun'hong 云虹
'yun'shu 云属
'yun'xian'xiang 晕现象
'yun'zu 云族
'zhe'she 折射
'zhen'zhuang'yun 砧状云
'zhong'jian'ceng 中间层
'zhuan'you'ming'ci 专有名词
'zuan'shi'chen 钻石尘
