'a'mang 阿蟒
'ao'gu 獒骨
'ba'shan 巴山
'ba'she'tun'xiang 巴蛇吞象
'bai'feng'qi'ming 百凤齐鸣
'ban'zhu'po'po 班主婆婆
'bao'lie'jue 爆裂决
'bao'ta'guo 宝塔果
'ben'long 奔龙
'bian'ri 辩日
'bing'yu'tian'xiang 冰玉天翔
'bu'zong 步宗
'bu'zong'zong'zhu 步宗宗主
'cao'mu'jian 草木箭
'chang'le 长乐
'chang'zong 唱宗
'chang'zong'zong'zhu 唱宗宗主
'chen'mo 辰默
'chen'zu 辰族
'chou'zu 丑族
'chuan'xin'lian'hua'jian 穿心莲花箭
'da'fei 大飞
'da'wei 大魏
'da'zong 打宗
'da'zong'zong'zhu 打宗宗主
'deng'feng 登峰
'diao'zhuan'qian'kun 调转乾坤
'dong'qiang'zhen 咚锵镇
'du'zong 督宗
'du'zong'zong'zhu 督宗宗主
'dui'zi'mao 对子猫
'dun'ni'zhi'shu 遁匿之术
'e'nian'zhi'ling 恶念之灵
'fen'zong'shi'lian 分宗试炼
'feng'fu'sheng 风浮生
'feng'wu'ji 风无忌
'feng'wu'jiu'tian 凤舞九天
'feng'yue'wu'bian 风月无边
'fu'huo'xiao'tian'xin 俘获小甜心
'gan'qi'zhi'wu 干戚之舞
'gong'yang'wei 公羊未
'gou'mang 句芒
'gu'feng 孤峰
'gu'yan 孤烟
'gu'yue 孤岳
'gu'yun 孤云
'gui'chu'ta 归初塔
'hai'zu 亥族
'hei'jin'ling'pai 黑金令牌
'hou'da 侯大
'hou'er 侯二
'hu'da'lang 虎大郎
'hua'luo'yu 花落雨
'hua'shi'mao 画师猫
'huan'huan 欢欢
'huan'ye 幻夜
'hui'xing 彗星
'hun'dun'jia'suo 混沌枷锁
'huo'pan 火判
'ji'feng'ling 极峰岭
'ji'si'dao 祭祀岛
'jiao'tou 叫头
'jin'po'po 金婆婆
'jing'ji'cao 荆棘草
'jing'ju'mao 京剧猫
'jing'tang'guai 惊堂拐
'leng'xue'er'niang 冷血二娘
'li'shi'zhen 丽石镇
'ling'shuang'jian 凌霜箭
'ling'xi 灵锡
'ling'zuan 灵钻
'long'men'ke'zhan 笼门客栈
'lu'zong 录宗
'lu'zong'zong'zhu 录宗宗主
'ma'ma'yu 麻麻鱼
'mao'xian'sheng 毛先生
'mao'xing 卯星
'mao'zu 卯族
'miao'miao'ju'feng 喵喵飓风
'ming'jing'zhi'ping 明镜之屏
'ming'yue 明月
'mo'hua 魔化
'mo'lan 墨兰
'mo'ti 墨提
'mo'ting 墨听
'mo'wen 墨问
'mo'wu 魔物
'mo'ye 墨邪
'mo'zi 墨紫
'na'lan 纳兰
'na'zong 纳宗
'na'zong'zong'zhu 纳宗宗主
'ni'hong 霓虹
'nian'guang'pu'zhao 念光普照
'nian'shi'zhou 念石咒
'nian'xin'xia 念心匣
'nian'zi'zhou 念字咒
'nian'zong 念宗
'nian'zong'zong'zhu 念宗宗主
'niu'yi'tong 牛一桶
'pan'guan'ling 判官令
'pan'zhang'gui 潘掌柜
'pan'zong 判宗
'pan'zong'zong'zhu 判宗宗主
'po'sui'qian'kun 破碎乾坤
'qi'bai 七白
'qian'chui'bai'lian 千锤百炼
'qian'jin'ding 千斤鼎
'qian'kun'xiang 乾坤箱
'qian'kun'zhen'yao'ta 乾坤镇妖塔
'qian'le 千乐
'qian'xin'zhi 潜心指
'qian'xin'zhi'jue'xing 潜心指觉醒
'qing'lian'jian 青莲箭
'rong'guang 荣光
'rong'mo'mo 绒嬷嬷
'san'bai 散白
'sha'wu'hen 沙无痕
'shao'bang 哨棒
'she'hun'di 摄魂笛
'shen'xian'cao 神仙草
'shen'zong 身宗
'shen'zong'zong'zhu 身宗宗主
'shen'zu 申族
'shi'er'zong 十二宗
'shi'hu'nv 狮虎女
'shi'jing 时晶
'shi'jing'bao'zang 时晶宝藏
'shi'jing'huan 时晶环
'shi'kong'zhe'die 时空折叠
'shi'po'tian'jing 石破天惊
'shou'zong 手宗
'shou'zong'zong'zhu 手宗宗主
'shui'wu'xiang 水无相
'shui'xiu 水袖
'si'fang'cun 四方村
'si'ma'fu 司马富
'si'zu 巳族
'su'xue 宿雪
'tang'ming 唐明
'tian'long'di'fu 天笼地缚
'tian'yan'tai 天眼台
'tie'zhua'wu'neng 铁爪五能
'ting'yin'bian'wei 听音辨位
'tong'tong 瞳瞳
'tou'chong'jie 头虫节
'tu'ya 突牙
'tun'shi'tian'ping 吞噬天平
'wan'nian'ju'hui 万念俱灰
'wan'zu'qi'fa 万卒齐发
'wei'zu 未族
'wu'qing 无情
'wu'song 武崧
'wu'wu'bao'feng 呜呜暴风
'wu'xin'hu 悟心湖
'wu'xin'lian 悟心莲
'wu'xin'yi'qing 无心一清
'wu'zu 午族
'xi'men 西门
'xia'hou 夏侯
'xiao'si'niang 萧巳娘
'xing'luo'ban 星罗班
'xing'luo'tang 星罗堂
'xing'luo'yun'wang 星罗韵网
'xing'tian 刑天
'xu'wu 虚无
'xu'wu'fang'zhu 虚无放逐
'xu'zu 戌族
'xuan'kong'he 悬空核
'xue'cang'yuan 雪沧源
'xun'huai'zhen 洵怀镇
'xun'shou'bian 驯兽鞭
'yan'hu'zhong'pao 炎虎重炮
'yan'zhi'tou'shi 胭脂透视
'yan'zong 眼宗
'yan'zong'zong'zhu 眼宗宗主
'yi'mao 异猫
'yi'nian'gong 一念宫
'yi'xian'qian 一线牵
'yin'chang'er 银唱儿
'yin'mai'shan'gu 阴霾山谷
'yin'mo'luo 阴摩罗
'yin'po'po 银婆婆
'yin'zu 寅族
'you'cai'cun 油彩村
'you'li 悠狸
'you'zu 酉族
'yu'shi 雨师
'yu'yi'feng 羽翼封
'yuan'chu'luo 元初锣
'yue'tan'tai 月澹台
'yun'li 韵力
'yun'wen 韵纹
'yun'you'gu 云忧谷
'yun'you'gu'gu'zhu 云忧谷谷主
'za'xi'cun 杂戏村
'zhang'ba'she'quan 丈八蛇拳
'zheng'san'bao 郑三宝
'zheng'yi'ling 正义铃
'zhi'ling 雉翎
'zhong'wu'yan 钟无艳
'zhu'long 烛龙
'zhui'hun'lian'hua'lao 追魂莲花落
'zi'zu 子族
'zong'gong 宗宫
'zuo'zong 做宗
'zuo'zong'zong'zhu 做宗宗主
