'ban'mo'ji 半膜肌
'bei'kuo'ji 背阔肌
'bi'gu 鼻骨
'bi'ji'zhu 鼻脊柱
'bi'mu'yu'ji 比目鱼肌
'bin'gu 髌骨
'chi'gu 耻骨
'chi'gu 尺骨
'chi'gu'lian'he 耻骨联合
'da'shou'ji 大收肌
'di'gu 骶骨
'die'gu 蝶骨
'ding'gu 顶骨
'e'gu 额骨
'fang'ji 肪肌
'fei'chang'ji 腓肠肌
'fei'gu 腓骨
'fei'gu'chang'ji 腓骨长肌
'feng'jiang'ji 缝匠肌
'fu'gu 跗骨
'fu'lei 浮肋
'fu'wai'xie'ji 腹外斜肌
'fu'zhi'ji 腹直肌
'gang'xia'ji 冈下肌
'gen'gu 跟骨
'gong'er'tou'ji 肱二头肌
'gong'gu 肱骨
'gong'gu'wai'shang'ke 肱骨外上髁
'gong'gu'zhong'ke 肱骨中髁
'gong'rao'ji 肱桡肌
'gong'san'tou'ji 肱三头肌
'gu'bao'ji 股薄肌
'gu'er'tou'ji 股二头肌
'gu'gu 股骨
'gu'gu'wai'shang'ke 股骨外上髁
'gu'gu'zhong'ke 股骨中髁
'gu'nei'ji 股内肌
'gu'si'tou'ji 股四头肌
'gu'wai'ji 股外肌
'jian'guan'jie 肩关节
'jian'jia'gu 肩胛骨
'jing'gu 胫骨
'jing'gu'qian'ji 胫骨前肌
'jing'kuo'ji 颈阔肌
'jing'zhui 颈椎
'ju'gu 距骨
'ke'kong 颏空
'kuan'gu 髋骨
'kuang'shang'ji 眶上嵴
'kuang'xia'kong 眶下孔
'lei'gu 肋骨
'lei'gu 泪骨
'lei'ruan'gu 肋软骨
'li'gu 梨骨
'ling'xing'ji 菱形肌
'nei'huai 内踝
'nie'gu 颞骨
'qia'gu 髂骨
'qian'bi'qu'ji'ji'qun 前臂屈肌肌群
'qian'bi'shen'ji'ji'qun 前臂伸肌肌群
'qian'ju'ji 前锯肌
'quan'gu 颧骨
'rao'gu 桡骨
'san'jiao'ji 三角肌
'shang'he'gu 上颌骨
'shang'zhi 上肢
'shang'zhi'wai'ce 上肢外侧
'shou'ji 收肌
'suo'gu 锁骨
'tou'bei'mian 头背面
'tou'ce'mian 头侧面
'tou'zheng'mian 头正面
'tun'da'ji 臀大肌
'tun'zhong'ji 臀中肌
'wai'huai 外踝
'wei'gu 尾骨
'xi'gai'gu 膝盖骨
'xi'guan'jie 膝关节
'xia'he'gu 下颌骨
'xia'zhi 下肢
'xia'zhi'nei'ce 下肢内侧
'xia'zhi'wai'ce 下肢外侧
'xie'fang'ji 斜方肌
'xiong'da'ji 胸大肌
'xiong'fu'bu 胸腹部
'xiong'gu'bi'xin'tu 胸骨蔽心突
'xiong'gu'bing 胸骨柄
'xiong'gu'ti 胸骨体
'xiong'suo'ru'tu'ji 胸锁乳突肌
'xiong'zhui 胸椎
'yan'kuang 眼眶
'yao'bei'bu 腰背部
'yao'zhui 腰椎
'zhi'chang'shen'ji 趾长伸肌
'zhi'gu 趾骨
'zhi'gu 跖骨
'zhi'nei'ce 肢内侧
'zhou'guan'jie 肘关节
'zhou'zhuang'gu 舟状骨
'zhui'jian'pan 椎间盘
'zu'bu 足部
'zuo'gu 坐骨
