'ai'sheng'tan'qi 唉声叹气
'an'ran'dao'mao 岸然道貌
'an'ran'shen'shang 黯然神伤
'an'ran'xiao'hun 黯然销魂
'ang'shou'ting'xiong 昂首挺胸
'ao'man'wu'li 傲慢无礼
'ban'xin'ban'yi 半信半疑
'ben'tou'ben'nao 笨头笨脑
'bi'gong'bi'jing 毕恭毕敬
'bing'sheng'xi'qi 屏声息气
'bo'ran'da'nu 勃然大怒
'bu'dong'sheng'se 不动声色
'bu'gou'yan'xiao 不苟言笑
'bu'lu'sheng'se 不露声色
'bu'xie'yi'gu 不屑一顾
'bu'zhi'suo'cuo 不知所措
'chang'ran'ruo'shi 怅然若失
'chen'mo'gua'yan 沉默寡言
'chen'yin'bu'jue 沉吟不决
'cheng'huang'cheng'kong 诚惶诚恐
'cheng'mu'jie'she 瞠目结舌
'chi'yi'bu'jue 迟疑不决
'chou'mei'bu'zhan 愁眉不展
'chou'tai'bai'chu 丑态百出
'chu'chu'ke'lian 楚楚可怜
'chu'zhi'tai'ran 处之泰然
'chuang'di'hu'tian 怆地呼天
'chuang'tian'hu'di 怆天呼地
'chui'tou'sang'qi 垂头丧气
'chuo'li'feng'fa 踔厉风发
'cong'rong'bu'po 从容不迫
'cong'rong'zi'ruo 从容自若
'da'huo'bu'jie 大惑不解
'da'jing'shi'se 大惊失色
'da'jing'xiao'guai 大惊小怪
'da'yao'da'bai 大摇大摆
'da'yi'lin'ran 大义凛然
'dai'ruo'mu'ji 呆若木鸡
'dao'mao'an'ran 道貌岸然
'de'yi'wang'xing 得意忘形
'de'yi'yang'yang 得意洋洋
'di'chang'qian'zhen 低唱浅斟
'dou'sou'jing'shen 抖擞精神
'dou'zhi'ang'yang 斗志昂扬
'dun'kou'wu'yan 顿口无言
'duo'duo'bi'ren 咄咄逼人
'e'shou'cheng'qing 额手称庆
'e'wan'chang'tan 扼腕长叹
'e'wan'di'zhang 扼腕抵掌
'e'wan'xing'jie 扼腕兴嗟
'er'bu'pang'ting 耳不旁听
'fa'yang'dao'li 发扬蹈厉
'fen'mei'er'qi 奋袂而起
'feng'chen'pu'pu 风尘仆仆
'feng'du'pian'pian 丰度翩翩
'fu'zhang'da'xiao 抚掌大笑
'fu'zhi'yi'xiao 付之一笑
'gao'qing'yi'tai 高情逸态
'gui'gui'sui'sui 鬼鬼祟祟
'gui'ku'lang'hao 鬼哭狼嚎
'gui'ku'shen'hao 鬼哭神号
'han'qing'mo'mo 含情脉脉
'he'ai'ke'qin 和蔼可亲
'he'yan'yue'se 和颜悦色
'heng'mei'nu'mu 横眉怒目
'hong'tang'da'xiao 哄堂大笑
'hu'tian'qiang'di 呼天抢地
'hu'yi'bu'jue 狐疑不决
'huang'shou'huang'jiao 慌手慌脚
'hui'tou'tu'mian 灰头土面
'ji'mei'nong'yan 挤眉弄眼
'ji'yan'li'se 疾言厉色
'ji'zhi'nu'mu 戟指怒目
'jian'kou'wu'yan 缄口无言
'jiang'xin'jiang'yi 将信将疑
'jiao'rou'zao'zuo 矫揉造作
'jiao'tou'jie'er 交头接耳
'jin'gang'nu'mu 金刚怒目
'jin'jin'you'wei 津津有味
'jin'ruo'han'chan 噤若寒蝉
'jing'huang'shi'cuo 惊慌失措
'jing'kong'wan'zhuang 惊恐万状
'jing'pi'li'jie 精疲力竭
'jing'shen'dou'sou 精神抖擞
'jing'shen'huan'fa 精神焕发
'jing'shen'huang'hu 精神恍惚
'jiong'jiong'you'shen 炯炯有神
'ju'cu'bu'an 局促不安
'ju'jing'hui'shen 聚精会神
'ju'zhi'shi'cuo 举止失措
'jue'kou'bu'dao 绝口不道
'kang'kai'bei'ge 慷慨悲歌
'kang'kai'chen'ci 慷慨陈词
'ku'tian'mo'lei 哭天抹泪
'ku'xiao'bu'de 哭笑不得
'lao'qi'heng'qiu 老气横秋
'leng'yan'pang'guan 冷眼旁观
'liu'shen'wu'zhu 六神无主
'long'ma'jing'shen 龙马精神
'long'xiang'hu'bu 龙骧虎步
'long'xiang'hu'shi 龙骧虎视
'long'xing'hu'bu 龙行虎步
'luo'luo'da'fang 落落大方
'man'bu'jing'xin 漫不经心
'mao'gu'song'ran 毛骨悚然
'mei'fei'se'wu 眉飞色舞
'mei'jing'da'cai 没精打采
'mei'lai'yan'qu 眉来眼去
'men'men'bu'le 闷闷不乐
'mian'hong'er'chi 面红耳赤
'mian'mian'xiang'qu 面面相觑
'mian'shi'zhi'shi 眄视指使
'ming'si'ku'xiang 冥思苦想
'mu'deng'kou'dai 目瞪口呆
'mu'kong'yi'qie 目空一切
'mu'zhong'wu'ren 目中无人
'na'qiang'zuo'shi 拿腔做势
'na'tang'zuo'cu 拿糖作醋
'nan'nan'zi'yu 喃喃自语
'nao'xiu'cheng'nu 恼羞成怒
'ni'su'mu'diao 泥塑木雕
'niu'ni'zuo'tai 忸怩作态
'nu'bu'ke'e 怒不可遏
'nu'fa'chong'guan 怒发冲冠
'nu'huo'zhong'shao 怒火中烧
'nu'qi'chong'tian 怒气冲天
'nu'xing'yu'se 怒形于色
'pang'ruo'wu'ren 旁若无人
'pao'xiao'ru'lei 咆哮如雷
'peng'fu'da'xiao 捧腹大笑
'piao'piao'yu'xian 飘飘欲仙
'ping'xin'jing'qi 平心静气
'po'ti'wei'xiao 破涕为笑
'qi'chuan'xu'xu 气喘吁吁
'qi'xia'zhan'jin 泣下沾襟
'quan'shen'guan'zhu 全神贯注
're'lei'ying'kuang 热泪盈眶
're'qing'yang'yi 热情洋溢
'ren'jun'bu'jin 忍俊不禁
'ren'kun'ma'fa 人困马乏
'rong'guang'huan'fa 容光焕发
'ru'chi'ru'kuang 如痴如狂
'ru'chi'ru'zui 如痴如醉
'ru'zui'ru'chi 如醉如痴
'ru'zui'ru'kuang 如醉如狂
'ruo'wu'qi'shi 若无其事
'ruo'you'suo'shi 若有所失
'ruo'you'suo'si 若有所思
'sao'tou'mo'er 搔头摸耳
'sao'tou'zhua'er 搔头抓耳
'sha'ji'mo'bo 杀鸡抹脖
'shao'qi'wu'li 少气无力
'she'jiao'bu'xia 舌挢不下
'she'qiao'bu'xia 舌桥不下
'shen'cai'fei'yang 神采飞扬
'shen'cai'yi'yi 神采奕奕
'shen'qi'huo'xian 神气活现
'shen'qi'shi'zu 神气十足
'shen'qing'gu'xiu 神清骨秀
'shen'qing'qi'lang 神清气朗
'shen'qing'qi'shuang 神清气爽
'shen'se'zi'ruo 神色自若
'shen'si'huang'hu 神思恍惚
'shen'tou'suo'jing 伸头缩颈
