'an'jing 安静
'bai'yue'guang 白月光
'bao'shi 宝石
'bian'xing'ji 变形计
'bu'ren'zhi'shi 不忍直视
'bu'xiu'gang'pen 不锈钢盆
'cha'hua 茶花
'dao'mu'bi'ji 盗墓笔记
'dou'fu'kuai 豆腐块
'dou'po'cang'qiong 斗破苍穹
'er'ji 耳机
'er'shi 耳屎
'fang'pi 放屁
'fu'shi'shan 富士山
'gao'duan'da'qi'shang'dang'ci 高端大气上档次
'gu'jian'qi'tan 古剑奇谭
'guo'jing'ming 郭敬明
'hai'dan 海胆
'hei'tou'fa 黑头发
'hong'dou'yi'ren'cha 红豆薏仁茶
'ji'gong'jiao 挤公交
'ji'jing 鸡精
'jiang'jing'fang 江景房
'jin'yong 金庸
'jing'zi 镜子
'jiu'yang'shen'gong 九阳神功
'kao'ya 烤鸭
'ku'wa 裤袜
'li'lian'jie 李连杰
'li'zhi 梨汁
'liu'bo'wen 刘伯温
'lou'yi'xiao 娄艺潇
'ma'de'li'jing'ji 马德里竞技
'ma'nao 玛瑙
'ma'pi 马屁
'mao'mei'ru'hua 貌美如花
'mi'lao'shu 米老鼠
'ni'cheng 昵称
'niu'lang 牛郎
'pai'da'xing 派大星
'qian'nv'you 前女友
'qian'yu'qian'xun 千与千寻
'qing'chun 清纯
'qing'jie'gong 清洁工
'qing'ming'shang'he'tu 清明上河图
'si'hai 死海
'tai'kong'lang'ren'sha 太空狼人杀
'tan'song'yun 谭松韵
'tan'yong'lin 谭咏麟
'tan'zhang 探长
'wan'ju'zong'dong'yuan 玩具总动员
'wang'cai 旺财
'wang'zhi'he'dou'fu'ru 王致和豆腐乳
'xi'huan 喜欢
'xi'jie'jing 洗洁精
'xia'pi 虾皮
'xiang'yu 香芋
'xiao'hu'dui 小虎队
'xiao'ye'deng 小夜灯
'xiu'jiao 修脚
'ya'jin 押金
'yang'rou'huo'guo 羊肉火锅
'yi'liao'ji'xie 医疗机械
'yin'shou'zhuo 银手镯
'yong'yi 泳衣
'yun'fu 孕妇
'zhen'tao 枕套
'zhi'shi'dan'gao 芝士蛋糕
'zuan'shi'shou'shi 钻石首饰
