'ai'hu 哀乎
'an'cun'bu'ji'chi'wo'shou'bu'ji'zu 按寸不及尺握手不及足
'an'zhi'zhi'gu'zhe'shen'qi'ye 按之至骨者肾气也
'ba'shi'yi'nan 八十一难
'ben'yuan'bie'zhi 本原别之
'ben'zhi'bu'qi 本之不齐
'bi'he'rong'shi'zhi'yun'zai 彼何荣势之云哉
'bian'hua'nan'ji 变化难极
'bian'hua'wu'qiong 变化无穷
'bian'hua'xiang'cheng 变化相乘
'bian'wei'yi'wu 变为异物
'bian'wu'jing'chang 变无经常
'bing'bian'bai'duan 病变百端
'bing'ge'yi'duan 病各异端
'bing'ping'mai'bian'zheng 并平脉辨证
'bing'wu'dun'qing 病无遁情
'bing'zai'biao'ye 病在表也
'bing'zai'li'ye 病在里也
'bing'zhe'gai'yi 病辙改易
'bo'cai'zhong'fang 博采众方
'bu'de'niao 不得尿
'bu'gu'gen'ben 不固根本
'bu'ji'yi'ran 不及亦然
'bu'nian'si'qiu'jing'zhi 不念思求经旨
'bu'shi'heng'quan 不失衡铨
'bu'shi'zhu'fen 不失铢分
'bu'xi'qi'ming 不惜其命
'ceng'bu'liu'shen'yi'yao 曾不留神医药
'cha'se'guan'mai 察色观脉
'chen'bu'fen'jing 沉部分经
'chen'qian'shui'xu 沉潜水蓄
'chi'cun'cen'ci 尺寸参差
'chi'cun'ji'guan 尺寸及关
'chi'jing'fu'hua 驰竞浮华
'chi'mai'fen'jing'yi'hou'yin 尺脉分经以候阴
'chi'zhi'gui'zhi'zhong'qi 持至贵之重器
'chong'shi'qi'mo 崇饰其末
'chu'ru'sheng'jiang 出入升降
'chuan'yu'xian'ren 传于贤人
'chun'ruo'you'hun 蠢若游魂
'chun'xian'qiu'fu 春弦秋浮
'ci'shi'gan'zang'shang 此是肝脏伤
'ci'zi'jing'chang 此自经常
'cun'kou'guan'shang'chi'zhong'xi'bu'jian'mai 寸口关上尺中悉不见脉
'cun'mai'fen'jing'yi'hou'yang 寸脉分经以候阳
'da'xiao'bu'tong 大小不同
'dan'jing'zhu'rong'shi 但竞逐荣势
'dang'fu'cun'kou 当复寸口
'dang'ping'mai'bian 当凭脉变
'dao'zhi'gen'yuan 道之根源
'dong'chen'xia'hong 冬沉夏洪
'dong'fang'gan'mai 东方肝脉
'dong'shi'ji'gang 动失纪纲
'dong'shu'fa'xi'bu'man'wu'shi 动数发息不满五十
'dong'ze'wei'tong 动则为痛
'du'jian'ruo'shen 独见若神
'duan'qi'wei'zhi'jue'zhen'jiu'hou'ceng'wu'fang'fu 短期未知决诊九候曾无仿佛
'duo'jie'wu'hu 咄嗟嗚呼
'duo'wen'bo'shi'zhi'zhi'ci'ye 多闻博识知之次也
'er'fang'zhen'li 而方震栗
'er'jin'bu'neng'ai'ren'zhi'ren 而进不能爱人知人
'fei'fu'gan'xian 肺浮肝弦
'fei'zhe'jin'ye'ming'tai'yin 肺者金也名太阴
'fen'jing'yi'hou'zhong'zhou'zhi'qi 分经以候中州之气
'feng'ze'fu'xu 风则浮虚
'fu'bu'fen'jing 浮部分经
'fu'tian'bu'wu'xing'yi'yun'wan'lei 夫天布五行以运万类
'fu'yu'shi'si'bie'sheng'shi'wei'nan'yi 夫欲视死别生实为难矣
'gan'bing'zi'de'ru'ruo'zhe'yu'ye 肝病自得濡弱者愈也
'gan'wang'xi'zhi'lun'sang 感往昔之沦丧
'gan'zhe'mu'ye'ming'jue'yin 肝者木也名厥阴
'gao'qiong'gui'tian 告穷归天
'ge'cheng'jia'ji 各承家技
'gu'yue'yin'yang 故曰阴阳
'gu'zhi'si'ye 故知死也
'guai'dang'jin'ju'shi'zhi'shi 怪当今居世之士
'guan'jin'zhi'yi 观今之医
'guan'shang'yin'yang'jiao'jie 关上阴阳交界
'han'ze'lao'jian 寒则牢坚
'he'yi'zhi'zhi 何以知之
'hu'qi'qi'ben 忽弃其本
'hu'xi'chu'ru 呼吸出入
'hua'qi'wai'er'cui'qi'nei 华其外而悴其内
'huan'ji'huo'zhi 患及祸至
'huo'cun'huo'wang 或存或亡
'huo'duan'huo'chang 或短或长
'ji'bai'nian'zhi'shou'ming 賫百年之寿命
'jia'ling'de'chun'xian'mai'zhe'si 假令得纯弦脉者死
'jia'ling'mai'lai'wei'qu'da'gu'ming'fan 假令脉来微去大故名反
'jia'ling'xia'li 假令下利
'jian'an'ji'nian'yi'lai 建安纪年以来
'jiang'zhi'qu'jie 降志屈节
'jin'tui'di'ang 进退低昂
'jin'ye'liu'tong 津液流通
'jing'jiu'fang'shu 精究方术
'jing'luo'fu'yu 经络府俞
'jing'luo'fu'yu'yin'yang'hui'tong 经络府俞阴阳会通
'jing'shuo'mai'you'san'shu'liu'shu'zhong'zhe'he'wei'ye 经说脉有三菽六菽重者何谓也
