'bai'gong'li 百公里
'ban'tie 半铁
'bei'dou'ding'wei 北斗定位
'can'sai'hao 参赛号
'chao'ma 超马
'da'ka 打卡
'da'tie 大铁
'deng'shan'zhang 登山杖
'ding'xiang'sai 定向赛
'ding'xiang'yue'ye 定向越野
'gong'men 拱门
'gong'wang'ding'wei 公网定位
'hao'ma'bu 号码布
'heng'fu 横幅
'huan'tai'hu 环太湖
'ji'shi'da'ka 计时打卡
'ji'shi'she'bei 计时设备
'ji'shi'shou'huan 计时手环
'lu'pao 路跑
'ma'la'song 马拉松
'ma'zi'qi 马自骑
'men'xing'zhan'jia 门型展架
'ni'ning'pao 泥泞跑
'qi'chuang'tian'lu 骑闯天路
'qi'zhong'dian 起终点
'shan'di'ma'la'song 山地马拉松
'shan'di'zi'xing'che'sai 山地自行车赛
'shi'shen'pao 湿身跑
'su'jiang'sai 速降赛
'tie'ren'san'xiang 铁人三项
'tie'san 铁三
'tou'deng 头灯
'tu'bu'da'hui 徒步大会
'xiao'tie 小铁
'xin'pian 芯片
'ying'guang'pao 荧光跑
'yue'ye'pao 越野跑
'yue'ye'pao'xie 越野跑鞋
'zhu'hui'chang 主会场
'zi'xing'che'sai 自行车赛
