'a'lai'ye'shi 阿赖耶识
'a'xiu'luo'dao 阿修罗道
'bei'fang'lian'hua'shi'jie 北方莲花世界
'ben'xing 本性
'bo're 般若
'chan'ding 禅定
'chan'hui 忏悔
'chao'du 超度
'chu'sheng'dao 畜生道
'da'de 大德
'da'ri'ru'lai 大日如来
'da'zuo 打坐
'di'yu'dao 地狱道
'ding'li 顶礼
'dong'fang'miao'xi'shi'jie 东方妙喜世界
'e'gui'dao 饿鬼道
'e'mi'tuo'fo 阿弥陀佛
'fa'hua'jing 法华经
'fa'men 法门
'fa'shen 法身
'fa'shen'hui'ming 法身慧命
'fan'nao 烦恼
'fo'jiao 佛教
'fo'zhu 佛珠
'fu'bao 福报
'gong'de 功德
'gong'de'zhu 功德主
'hai'qing 海青
'he'shi 合十
'he'zhang'gong'jing 合掌恭敬
'hui'ming 慧命
'hui'xiang 回向
'ji'zi 偈子
'jia'chi 加持
'jia'sha 袈裟
'jie'ding'hui 戒定慧
'jie'lv 戒律
'jie'tuo 解脱
'jin'gang'jing 金刚经
'jing'jin 精进
'jing'ping 净瓶
'jing'tu'fa'men 净土法门
'jiu'mo'luo'shen 鸠摩罗什
'kai'jing'ji 开经偈
'kai'wu 开悟
'ku'ji'mie'dao 苦集灭道
'le'tuo'sheng'si 了脱生死
'li'ku'de'le 离苦得乐
'lian'you 莲友
'liu'bo'luo'mi 六波罗蜜
'mi'xin 迷信
'mi'zong 密宗
'na'mo 南无
'nan'fang'huan'xi'shi'jie 南方欢喜世界
'nei'mo 内魔
'ni'jing 逆境
'nian'jing 念经
'nie'pan 涅槃
'pi'lu'zhe'na'fo 毗卢遮那佛
'pu'ti'xin 菩提心
'pu'tuan 蒲团
'qing'jing'xin 清净心
'ren'dao 人道
'ren'ru 忍辱
'san'jing'rou 三净肉
'san'pu'ti 三菩提
'san'shi'qi'zhu'dao'pin 三十七助道品
'sha'sheng 杀生
'shan'zhi'shi 善知识
'sheng'si'shu 生死书
'shi'jia'mou'ni'fo 释迦牟尼佛
'shi'shi 施食
'si'sheng'di 四圣谛
'song'jing 诵经
'su'shi 素食
'suo'da'ji'kan'bu 索达吉堪布
'tian'dao 天道
'wai'mo 外魔
'wu'fang'fo 五方佛
'wu'fang'ru'lai 五方如来
'wu'jie'shi'shan 五戒十善
'wu'lou 无漏
'wu'ming 无明
'wu'shi'ji'yi'lai 无始及以来
'wu'shi'jie 无始劫
'wu'xin 五辛
'wu'zhi'fo 五智佛
'xi'fang'ji'le'shi'jie 西方极乐世界
'xiu'xing 修行
'ye'zhang 业障
'ye'zhang'fan'fu 业障凡夫
'you'ming'jie 幽冥界
'yu'lin'guo'shi 玉琳国师
'zhou'yu 咒语
'zhu'fa'wu'wo'zhu'xing'wu'chang 诸法无我诸行无常
'zi'xing 自性
'zui'ye 罪业
