'a'bang 阿傍
'a'xiu'luo 阿修罗
'an'du'chen'cang 暗度陈仓
'ao'guang 敖广
'ba'dao'qian'ren'zhan 拔刀千人斩
'ba'gua'men 八卦门
'ba'gua'zhang 八卦掌
'ba'li'qian'ren'zhan 拔力千人斩
'ba'long 巴龙
'bai'bu'chuan'yang 百步穿杨
'bai'cao'men 百草门
'bai'jie'xing'luo 百劫星罗
'bai'jing'jian'ke 白晶剑客
'bai'si 白丝
'bai'wu'chang 白无常
'bai'zhan'ji 白展基
'ban'ren'ban'shi 半人半尸
'bei'dao 北盗
'bi'hai'dao 碧海刀
'bi'xie'bi'yi 辟邪辟易
'bi'xie'lao'ren 辟邪老人
'bi'xie'si'shi 辟邪死士
'bing'xin'nv'xia 冰心女侠
'bing'xin'xia'nv 冰心侠女
'bo'ji'da'shi 搏击大师
'bu'dong 不动
'bu'jie'e'seng 不戒恶僧
'bu'yu'fo'tuo 不语佛陀
'bu'yu'luo'han 不语罗汉
'cao'dai 曹岱
'cao'e'hua 曹萼华
'cha'li'wang 茶里王
'chang'hong'biao'ju 长虹镖局
'chao'xian'shen'jian 朝鲜神剑
'chen'chong'ying 陈崇英
'cheng'wang 诚王
'chi'guo'tian 持国天
'chi'tuo'luo 赤陀罗
'chou'ba 仇霸
'chou'wei'xiang'tou 臭味相投
'chu'hui 楚绘
'da'dao'dui 大刀队
'da'li'shen'gai 大力神丐
'da'lun'ming'wang 大轮明王
'da'ming'guo'shi 大明国师
'da'zhu'jian'shi 大铸剑师
'dai'tou'da'ge 带头大哥
'dai'zong'ru'he 岱宗如何
'dan'qing 丹青
'dao'jian'shuang'jue 刀剑双绝
'dao'mu'yan 盗墓燕
'di'yi'qing'sheng 第一情圣
'dian'cang'dao 点苍刀
'dian'cang'pai 点苍派
'dian'san'dao'si 颠三倒四
'dian'shi'cheng'jin 点石成金
'ding'hong 丁泓
'dong'chang'bu'bai 东厂不败
'dong'du'kou 东渡口
'dong'fang'wei'ming 东方未明
'dong'fang'xi 东方曦
'dong'hai'fen'duo 东海分舵
'dong'ru'tuo'tu 动如脱兔
'dong'yin 东淫
'dong'ying'ba'zhu 东瀛霸主
'dong'zhu'xian'ji 洞烛先机
'du'kang'cun 杜康村
'du'long'jiao 毒龙教
'du'yan'tu'ying 独眼秃鹰
'duo'chou'shan'gan 多愁善感
'duo'ming'lian'huan'tui 夺命连环腿
'e'mei'pai 峨嵋派
'e'ren'gu 恶人谷
'er'cong'mu'ming 耳聪目明
'fan'wei'li 樊未离
'fang'yun'hua 方云华
'fei'tian'shen'long 飞天神龙
'feng'chui'xue 风吹雪
'feng'du 酆都
'feng'du'chang'gui 酆都伥鬼
'feng'du'gui'zhong 酆都鬼众
'feng'du'jue'gui 酆都绝鬼
'feng'du'li'gui 酆都厉鬼
'feng'du'yan'gui 酆都艳鬼
'feng'liu'biao'tou 风流镖头
'feng'liu'ti'tang 风流倜傥
'feng'qing'xiao 封青霄
'fo'mu 佛母
'fu'hu'luo'han 伏虎罗汉
'fu'jian'han 傅剑寒
'fu'rong'fang 芙蓉坊
'fu'yi'jian 傅一剑
'gai'bang 丐帮
'gan'chai'lie'huo 干柴烈火
'gao'chang 高昌
'gao'chang'mi'gong 高昌迷宫
'gao'chang'yi'ji 高昌遗迹
'ge'hong'zai'shi 葛洪再世
'gong'guang'jie 巩光杰
'gong'sun'jian 公孙坚
'gong'xi'yao 宫夕瑶
'gu'shi 古实
'gu'ye 古叶
'gu'yue'xuan 谷月轩
'gu'yun'fei 谷云飞
'guai'yi'ju 怪医居
'guai'yi'shao'nv 怪医少女
'guan'chang'hong 关长虹
'guan'wei 关伟
'gui'ying'mi'zong 鬼影迷踪
'hai'long'wang 海龙王
'hai'sha'bang 海鲨帮
'han'chi'bian'fu 寒齿蝙蝠
'hao'hu 郝虎
'he'dong'shi 河东狮
'he'luo'da'xia 河洛大侠
'he'qiu'juan 何秋娟
'he'tuo 贺陀
'he'wei'feng 何未峰
'hei'feng'shuang'sha 黑风双煞
'hei'feng'zhai 黑风寨
'hei'fu'dong 黑蝠洞
'hei'wu'chang 黑无常
'hei'zhong'luo'wang 黑冢罗王
'hong'ri'qing 洪日庆
'hong'tian'chui 轰天槌
'hu'fei 胡非
'hu'jian'shi 护剑使
'hu'sha 虎鲨
'hu'yi'dao 胡一刀
'hua'chi 花痴
'hua'jian'shi'ren 花间诗人
'hua'jiu'se 花玖瑟
'hua'shan'pai 华山派
'hua'xian 花仙
'hua'zu'bu'luo 花族部落
'huang'juan 黄娟
'huang'qin'guo'qi 皇亲国戚
'huo'yan'jin'jing 火眼金睛
'ji'min'cong'hui 机敏聪慧
'ji'wen 纪玟
'ji'wu'shuang 姬无双
'ji'yi'gao'shou 技艺高手
'jia'lou'luo 迦楼罗
'jia'yun'chang 贾云长
'jian'ren'shen'shou 见人伸手
'jian'shen'yi'xiao 剑神一笑
'jian'sheng 剑圣
'jiang'hu'bai'xiao'sheng 江湖百晓生
'jiang'hu'si'e 江湖四恶
'jiang'hu'xiao'xia'mi 江湖小虾米
'jiang'hu'you'xia 江湖游侠
'jiang'tian'xiong 江天雄
'jiang'wang 姜望
'jiang'yu 江瑜
'jiao'da 焦大
'jiao'shi'shuang'e 焦氏双恶
'jiao'xiao 焦小
'jin'chi'niao 金翅鸟
'jin'feng'biao'ju 金风镖局
'jin'gu'jian'shi 筋骨坚实
'jin'shen'luo'han 金身罗汉
'jin'xi'feng 金熙凤
'jin'zhong'zhao'tie'bu'shan 金钟罩铁布衫
'jing'ji 荆棘
'jing'yang'gang 景阳岗
'jiu'dai'zhang'lao 九袋长老
'jiu'tou'long 九头龙
'jiu'yin 九阴
'jiu'zhuan'lian'huan'dao 九转连环刀
'ju'sou 橘叟
'jue'dao'men 绝刀门
'jue'ming'du'shi 绝命毒师
'jue'ming'yi'dao 绝命一刀
'jue'qing'gu'zhu 绝情谷主
'jue'yin'miao'lv 绝音妙律
'ka'shi 喀什
'ke'ku'nai'lao 刻苦耐劳
'ke'xiang'long 柯降龙
'kuai'jie'yi'zhen'feng 快捷一阵风
'kuang'feng'kuai'jian 狂风快剑
'kui'shi 傀尸
'la'shou'du'xin 辣手毒心
'lan'ting 蓝婷
'lei'zhen'tian 雷震天
'li'cang'long 厉苍龙
'li'cang'tian 厉苍天
'li'chou'mei 李愁眉
'li'duo'ren'bo'qie 利多仁波切
'li'hao 李浩
'li'kong'fa'wang 利空法王
'li'ming'mei 黎明玫
'liao'dong'da'xia 辽东大侠
'ling'xiang'er 凌香儿
'long'jing'cun 龙井村
'long'mo 龙墨
'long'wang 龙王
'long'xiong'hu'di 龙兄虎弟
'lu'he'gun'zhen 六合棍阵
'lu'shao'lin 陆少临
'luo'sha 罗煞
'luo'sha'fen'duo 罗煞分舵
'luo'she'jun 罗蛇君
'luo'yang'wei'bing 洛阳卫兵
'lv'liu'shan'zhuang 绿柳山庄
'ma'mian 马面
'mao'zei'ke'xing 毛贼克星
'meng'po 孟婆
'mi'zong'men'tu 密宗门徒
'miao'bi'sheng'hua 妙笔生花
'miao'feng'xian 苗奉先
'ming'cha'qiu'hao 明察秋毫
'mo'hu'luo'jia 摩呼罗迦
'mu'ping 沐萍
'na'ge'sui 纳葛随
'na'lan'yan 纳兰衍
'nan'chang 南猖
'nan'shao'lin 南少林
'nie'sheng 聂胜
'niu'tou 牛头
'ou'yang'xiao 欧阳笑
'pan'guan 判官
'pao'ding'jie'niu 庖丁解牛
'pi'li'bing'xian 霹雳兵燹
'pi'li'huo 霹雳火
'pi'li'tang 霹雳堂
'po'jie'luo 婆竭罗
'qi'da'e'ren 七大恶人
'qi'hui'bai'chuan 气汇百川
'qi'jue'jian'xia 七绝剑侠
'qi'lao 齐老
'qi'li 齐丽
'qi'tian'da'sheng 齐天大圣
'qi'xing'biao'zhen 七星镖阵
'qian'da'po 乾达婆
'qian'nian'sha 千年杀
'qian'shou'ru'lai 千手如来
'qiao'jiang'nan 俏江南
'qin'hong'shang 秦红殇
'qin'si'long 秦斯龙
'qing'cheng'pai 青城派
'qing'tian'zhuo'ri 青天灼日
'qing'xia'zi 青霞子
'qing'yin'dao'ren 清音道人
'ren'hao'ran 任浩然
'ren'jian'nan 任剑南
