'bai'shou'lei'chen'zheng'zuo'shi 白首累臣正坐诗
'bie'jun'san'jian'yan'nan'fei 别君三见雁南飞
'bu'ji'wang'lun'song'wo'qing 不及汪伦送我情
'bu'jie'chen'zhong'tuo'shu'xi 不解尘中脱叔兮
'cheng'kuang'bu'neng'lei 承眶不能泪
'ding'ning'xu'ji'jiang 叮咛须记将
'gan'jun'zhen'zhong'yi 感君珍重意
'gan'zi'zhen'zhong'yi 感子珍重意
'geng'jie'lai'sheng'fu'le'yin 更结来生夫了因
'gu'ren'xi'ci'huang'he'lou 故人西辞黄鹤楼
'gu'su'tai'shang'wu'qi'shi 姑苏台上乌栖时
'guan'ju'juan'er'ping'sheng'shi 关雎卷耳平生事
'jia'jia'yue'zhong'shai 家家月中晒
'jun'yu'wu'you'ji'you'nian 君与吾游积有年
'jun'zi'ju'zhi'he'lou'you 君子居之何陋有
'lin'qi'liao'xiang'zhi 临歧聊相质
'liu'yu'yi'pian'tai 留予一片苔
'luo'yang'qin'you'ru'xiang'wen 洛阳亲友如相问
'ma'shang'xiang'feng'wu'zhi'bi 马上相逢无纸笔
'mai'jiu'wu'shan'yi'ye'shi 买酒吴山一夜诗
'meng'guo'xiang'feng'jue'you'fei 梦裹相逢觉又非
'ming'zhao'you'yi'bao'qin'lai 明朝有意抱琴来
'mo'chou'qian'lu'wu'zhi'ji 莫愁前路无知己
'mu'lan'zhi'xie'sha'tang'zhou 木兰之枻沙棠舟
'nai'weng'zhi'jie'ri'zheng'hui 乃翁只解日争晖
'ping'jun'chuan'yu'bao'ping'an 凭君传语报平安
'qing'xu'leng'dan'zui'shen'you 清虚冷澹最深幽
'shi'guan'xiu'qi'yi'cheng'kong 事关休戚已成空
'shu'zhi'zhen'yi'che'you'ming 孰知真意彻幽明
'si'jun'bu'jian'xia'yu'zhou 思君不见下渝州
'sui'feng'zhi'dao'ye'lang'xi 随风直到夜郎西
'tao'hua'tan'shui'shen'qian'chi 桃花潭水深千尺
'tian'xia'shei'ren'bu'shi'jun 天下谁人不识君
'wan'li'xiang'si'yi'ye'zhong 万里相思一夜中
'wei'ceng'tong'zui'hai'tang'qian 未曾同醉海棠前
'wei'guai'ji'shi'shao'nian'zi 未怪及时少年子
'wo'ji'chou'xin'yu'ming'yue 我寄愁心与明月
'wo'zui'yu'mian'qing'qie'qu 我醉欲眠卿且去
'wu'wang'gong'li'zui'xi'shi 吴王宫里醉西施
'xiang'feng'yi'hen'shi'nian'chi 相逢已恨十年迟
'xing'shen'ta'xiang'shi'lao'cheng 幸甚他乡识老诚
'yan'hua'san'yue'xia'yang'zhou 烟花三月下扬州
'yang'mei'jie'yi'huang'jin'tai 扬眉结义黄金台
'ye'fa'qing'xi'xiang'san'xia 夜发清溪向三峡
'yi'pian'bing'xin'zai'yu'hu 一片冰心在玉壶
'yu'jun'shi'shi'wei'xiong'di 与君世世为兄弟
'yu'xiao'jin'guan'zuo'liang'tou 玉箫金管坐两头
'zhen'chong'fu'zhen'zhong 珍重复珍重
'zhen'zhong'ji'tou'shi 珍重矶头石
'zhen'zhong'si'wang'nan 珍重丝网难
'zhi'jun'xian'gu'wu'han'shu 知君仙骨无寒暑
