'a'nu'bi'si 阿努比斯
'ai'ren 矮人
'ai'ren'mian'ju 矮人面具
'an'zhuo 安卓
'ba'ren'men 八人门
'bai'dou 白斗
'bai'jin'dou 白金斗
'bai'mian'ku 白棉裤
'bai'niao'tou 白鸟头
'ban'ai 绊爱
'ban'gong'shi 办公室
'bao'feng'la'zhu 暴风蜡烛
'bao'feng'yan 暴风眼
'bei'bei 背背
'bei'bei'shang'tian 背背上天
'bei'ke'dou 贝壳斗
'beng'di 蹦迪
'bian'da'yao'shui 变大药水
'bian'fu'dou 蝙蝠斗
'biao'yan'ji 表演季
'bo'bo'tou 波波头
'cai'hong'mo'fa 彩虹魔法
'ceng'tu 蹭图
'chen'chuan'tu 沉船图
'chen'dao 晨岛
'chen'dao'yin'cang'tu 晨岛隐藏图
'chen'xing'han 陈星汉
'chuan'qiang 穿墙
'da'bei'zhou 大悲咒
'da'la'zhu 大蜡烛
'da'san 大伞
'da'yin'yue'jia 大音乐家
'da'zuo 打坐
'dao'li 倒立
'dian'huo 点火
'dou'peng 斗篷
'du'gou 赌狗
'dun'di 遁地
'dun'xia 蹲下
'er'wei'ma 二维码
'er'zhui 耳坠
'fa'xing 发型
'fan'chang 返场
'fan'lao'huan'tong 返老还童
'fang'zhou 方舟
'fei'xing 飞行
'fei'xing'sai'dao 飞行赛道
'fen'dou 粉斗
'fen'hong'yun'hai 粉红云海
'feng'jing 风景
'feng'zhi'lv'ren 风之旅人
'fu'ke 复刻
'fu'zhuang'shang'dian 服装商店
'gan'en'ji 感恩季
'gang'qin 钢琴
'gao'qing 高清
'gao'yin'gang'qin 高音钢琴
'geng'xin 更新
'gong'ju'ren 工具人
'gong'zhuang'ku 工装裤
'gou'huo 篝火
'gou'huo'mo'fa 篝火魔法
'gu'wan 固玩
'gua'ji 挂机
'guan'bo 官博
'guang'yi 光翼
'guang'zhi'yi 光之翼
'guang'zhu 光主
'guo'fu 国服
'guo'ji'fu 国际服
'hao'you 好友
'hao'you'shu 好友树
'hei'dou 黑斗
'hei'jin'dou 黑金斗
'hei'lian 黑脸
'hei'ren'tai'guan 黑人抬棺
'hong'dou 红斗
'hong'er'ji 红耳机
'hong'hu'li 红狐狸
'hong'jin'dou 红金斗
'hong'la'zhu 红蜡烛
'hou'tai 后台
'hou'tai'da'fa 后台大法
'hu'die 蝴蝶
'hu'die'dou 蝴蝶斗
'hua'xiang 滑翔
'hua'xing'sai'dao 滑行赛道
'hua'zhi 画质
'huan'xin 换心
'hui'yi'xian'zu 回忆先祖
'hui'zhang 徽章
'hui'zhi'jia 灰指甲
'ji'guang'ji 极光季
'ji'jie 季节
'ji'jie'la'zhu 季节蜡烛
'ji'ka 季卡
'ji'ta 吉他
'ji'zhang 击掌
'jian'hu'ren 监护人
'jin'ge 禁阁
'jing'ti 警惕
'jiu'hu'che 救护车
'ka'jin'men 卡进门
'ka'ka'xi 卡卡西
'ka'lin'ba'qin 卡林巴琴
'ka'yu'jing 卡遇境
'kao'pang'xie 烤螃蟹
'ku'zi 裤子
'kuan'tui'ku 宽腿裤
'la'ba 喇叭
'la'bi'xiao'xin 蜡笔小新
'la'xiang'guan 蜡像馆
'la'zhu 蜡烛
'lan'dou 蓝斗
'lan'mian'ku 蓝棉裤
'lian'ti'yi 连体衣
'liang'zai 亮仔
'liang'zai 靓仔
'lin'dong'ji 凛冬季
'ling'dang 铃铛
'ling'jie 领结
'liu'bing 溜冰
'liu'long 溜龙
'long'gu 龙骨
'lu'tou 鹿头
'luo'xuan'sheng'tian 螺旋升天
'lv'dou 绿斗
'mei'ri'ren'wu 每日任务
'meng'xin'tou 萌新头
'mi'qi'tou 米奇头
'mian'ju 面具
'mian'ku 棉裤
'ming'long 冥龙
'ming'zhu 冥主
'mo'fa'ji 魔法季
'mo'gu'tou 蘑菇头
'mu'qin 木琴
'mu'tu 墓土
'nai'ka 奶卡
'nai'long 奶龙
'nan'gua'tou 南瓜头
'niu'tou 牛头
'pang'xie 螃蟹
'pao'tu 跑图
'pen'quan 喷泉
'pi'pi'xia 皮皮虾
'ping'gu 平菇
'ping'tai 平台
'ping'tou 平头
'pu'bu 瀑布
'qian'niao'cheng 千鸟城
'qian'shou 牵手
'qie'huan 切换
'qin'lao 琴佬
'ren'wu 任务
'ren'wu'la'zhu 任务蜡烛
'san'ta'tu 三塔图
'shan'yao'mo'fa 闪耀魔法
'shao'bei'ke 烧贝壳
'shao'hua 烧花
'shao'man'tou 烧馒头
'shao'shi'tou 烧石头
'shen'lan'dou 深蓝斗
'sheng'dao 圣岛
'sheng'dao'ji 圣岛季
'shi'zi'tou 狮子头
'shou'jin'ren 收金人
'shou'xin 收心
'shou'zhu'huo 收烛火
'shu'qin 竖琴
