'dai'zu'po'shui'jie 傣族泼水节
'dong'shan'hei'shan'yang'tang'guo 东山黑山羊汤锅
'dong'shan'ke'yi'hei'lv'you'sheng'di 东山克依黑旅游胜地
'huo'ba'jie 火把节
'ke'yi'hei'de'meng'jing 克依黑的梦境
'ke'yi'hei'shang'biao 克依黑商标
'ke'yi'hei'yun'nan'lv'you'chan'ye 克依黑云南旅游产业
'ke'yi'hei'yun'nan'te'chan'dian 克依黑云南特产店
'ke'yi'hei'yun'nan'te'chan'tao'bao'dian 克依黑云南特产淘宝店
'liu'yue'er'shi'si 六月二十四
'qi'yue'huo'ba'jie're'nao'ju'ban 七月火把节热闹举办
'qu'jing'dong'shan 曲靖东山
'shan'di'mo'tuo'che'sai'ju'ban 山地摩托车赛举办
'wang'sheng'ping 王胜平
'yun'nan'ben'di'te'se'chan'pin 云南本地特色产品
'yun'nan'ben'di'te'se'chan'ye 云南本地特色产业
