'a'er'tai'ji'chang 阿尔泰机场
'a'ke'su'ji'chang 阿克苏机场
'a'ke'su'wen'su'ji'chang 阿克苏温宿机场
'a'le'tai'ji'chang 阿勒泰机场
'an'kang'ji'chang 安康机场
'an'kang'wu'li'pu'ji'chang 安康五里铺机场
'an'qing'ji'chang 安庆机场
'an'qing'tian'zhu'shan'ji'chang 安庆天柱山机场
'an'shun'huang'guo'shu'ji'chang 安顺黄果树机场
'an'shun'ji'chang 安顺机场
'bai'lian'ji'chang 白莲机场
'bai'se'ji'chang 百色机场
'bai'ta'bu'ji'chang 白塔埠机场
'bai'ta'ji'chang 白塔机场
'bai'yun'guo'ji'ji'chang 白云国际机场
'bai'yun'ji'chang 白云机场
'bang'da'ji'chang 邦达机场
'bao'an'guo'ji'ji'chang 宝安国际机场
'bao'an'ji'chang 宝安机场
'bao'an'ying'ji'chang 保安营机场
'bao'shan'ji'chang 保山机场
'bao'shan'yun'duan'ji'chang 保山云端机场
'bao'tou'er'li'ban'ji'chang 包头二里半机场
'bao'tou'ji'chang 包头机场
'bei'hai'fu'cheng'ji'chang 北海福城机场
'bei'hai'fu'cheng'ji'chang 北海福成机场
'bei'hai'ji'chang 北海机场
'bei'jiao'ji'chang 北郊机场
'bei'jing'guo'ji'ji'chang 北京国际机场
'bei'jing'ji'chang 北京机场
'bei'jing'nan'yuan'ji'chang 北京南苑机场
'bei'jing'shou'du'guo'ji'ji'chang 北京首都国际机场
'bei'jing'shou'du'ji'chang 北京首都机场
'ben'niu'ji'chang 奔牛机场
'bin'hai'guo'ji'ji'chang 滨海国际机场
'bin'hai'ji'chang 滨海机场
'cao'jia'bao'ji'chang 曹家堡机场
'chang'bai'shan'ji'chang 长白山机场
'chang'bei'ji'chang 昌北机场
'chang'chun'da'fang'shen'ji'chang 长春大房身机场
'chang'chun'ji'chang 长春机场
'chang'chun'long'jia'guo'ji'ji'chang 长春龙嘉国际机场
'chang'chun'long'jia'ji'chang 长春龙嘉机场
'chang'de'ji'chang 常德机场
'chang'de'tao'hua'yuan'ji'chang 常德桃花源机场
'chang'du'bang'da'ji'chang 昌都邦达机场
'chang'du'ji'chang 昌都机场
'chang'hai'ji'chang 长海机场
'chang'le'guo'ji'ji'chang 长乐国际机场
'chang'le'ji'chang 长乐机场
'chang'sha'guo'ji'ji'chang 长沙国际机场
'chang'sha'huang'hua'guo'ji'ji'chang 长沙黄花国际机场
'chang'sha'huang'hua'ji'chang 长沙黄花机场
'chang'sha'ji'chang 长沙机场
'chang'zhi'ji'chang 长治机场
'chang'zhi'wang'cun'ji'chang 长治王村机场
'chang'zhou'ben'niu'ji'chang 常州奔牛机场
'chang'zhou'dao'ji'chang 长洲岛机场
'chang'zhou'ji'chang 常州机场
'cheng'du'guo'ji'ji'chang 成都国际机场
'cheng'du'ji'chang 成都机场
'cheng'du'shuang'liu'guo'ji'ji'chang 成都双流国际机场
'cheng'du'shuang'liu'ji'chang 成都双流机场
'chi'feng'ji'chang 赤峰机场
'chi'feng'tu'cheng'zi'ji'chang 赤峰土城子机场
'chi'zhou'jiu'hua'shan'ji'chang 池州九华山机场
'chong'qing'guo'ji'ji'chang 重庆国际机场
'chong'qing'ji'chang 重庆机场
'chong'qing'jiang'bei'guo'ji'ji'chang 重庆江北国际机场
