'a'er'fa'qiao 阿尔法乔
'an'qu 暗区
'ba'lei'te 巴雷特
'bao'ji'shang 暴击伤
'bao'tou'shang 爆头伤
'bi'li'si 碧利斯
'da'di'biao 打地标
'da'ma'jia 大妈甲
'da'wu'ran 打污染
'da'ya'li'hang'de'luo 大亚历杭德罗
'die'ceng'shu 叠层数
'duan'gong 短弓
'fang'ping'tai 放平台
'fei'luo 费洛
'huo'guan 火冠
'ji'mi'tao 机密套
'ji'neng'jia'su 技能加速
'jie'fang'zhe 解放者
'jing'ying'shang 精英伤
'kai'tuo'zhe 开拓者
'ku'lou'ji'che 骷髅机车
'lai'si'bang 赖斯帮
'lang'ren'zhi'lu 浪人之路
'lie'ren'xin'yang 猎人信仰
'lue'duo'zhe 掠夺者
'mian'yi'ping'tai 免疫平台
'mou'lue'zhi'quan 谋略之权
'na'kong'tou 拿空投
'niu'wa 牛蛙
'po'jia'shang 破甲伤
'quan'yu'shi'jian 全域事件
'ren'zhe'xin'chai 忍者信差
'si'yan 死眼
'te'you'ji'neng 特有技能
'tian'ji 天际
'tian'ji'xiao'niao 天际小鸟
'tu'xi'zhe 突袭者
'wan'dian 万电
'wan'huo 万火
'wan'ti 万体
'wei'shao'hu'huan 卫哨呼唤
'xing'cun'zhe'shi'bing 幸存者士兵
'zhou'ben 周本
'zhuang'jia 庄家
'zui'hou'xing'cun 最后幸存
'zui'jia'hua 最佳化
'zui'zhong'shou'duan 最终手段
