'a'er'dao'fu'zhu'fang'jun 阿尔道夫驻防军
'a'ge'wei'long 阿格维隆
'a'ge'wei'long'pan'jun 阿格维隆叛军
'a'gu'er 阿骨尔
'a'gu'er'pan'jun 阿骨尔叛军
'a'kui'tan 阿奎坦
'a'kui'tan'pan'jun 阿奎坦叛军
'a'kui'tan'si'nue'zhe 阿奎坦肆虐者
'a'kui'tan'si'nue'zhe'fen'li'shi'li 阿奎坦肆虐者分离势力
'a'lan'luo'ke 阿兰洛克
'a'lan'luo'ke'pan'jun 阿兰洛克叛军
'a'li'sa'la'fu'chou'zhe 阿利萨拉复仇者
'a'li'sa'la'fu'chou'zhe'pan'jun 阿利萨拉复仇者叛军
'a'shen'xia'qi'yue'jun 阿什夏契约军
'a'tu'wa 阿图瓦
'a'tu'wa'pan'jun 阿图瓦叛军
'a'wa'long 阿瓦隆
'a'wa'long'pan'jun 阿瓦隆叛军
'a'zuo'ge'jun'tuan 阿佐格军团
'a'zuo'ge'jun'tuan'pan'jun 阿佐格军团叛军
'ai'li'ang 艾里昂
'ai'li'ang'pan'jun 艾里昂叛军
'ai'ren 矮人
'ai'ren'pan'jun 矮人叛军
'ai'rui'er'jun'feng 艾瑞尔军锋
'ai'rui'er'jun'feng'pan'jun 艾瑞尔军锋叛军
'ai'si'lin 艾斯林
'ai'si'lin'pan'jun 艾斯林叛军
'ai'si'ta'li'ya 埃斯塔利亚
'ai'si'ta'li'ya'pan'jun 埃斯塔利亚叛军
'ai'wei'ling 艾维领
'ai'wei'ling'pan'jun 艾维领叛军
'ai'xin'shi'zu 艾辛氏族
'ai'xin'shi'zu'fen'li'shi'li 艾辛氏族分离势力
'ai'xin'shi'zu'pan'jun 艾辛氏族叛军
'an'di'wei'qi 安蒂维奇
'an'di'wei'qi'pan'jun 安蒂维奇叛军
'an'du 暗毒
'an'du'pan'jun 暗毒叛军
'an'ge'lang'de'shi'zu 安格朗德氏族
'an'ge'lang'de'shi'zu'pan'jun 安格朗德氏族叛军
'an'mi'er 安米尔
'an'mi'er'pan'jun 安米尔叛军
'an'ying'jun'tuan 暗影军团
'an'ying'jun'tuan'pan'jun 暗影军团叛军
'ao'rui'en'jian'tuan 奥瑞恩箭团
'ao'rui'en'jian'tuan'pan'jun 奥瑞恩箭团叛军
'ao'si'te'ling 奥斯特领
'ao'si'te'ling'pan'jun 奥斯特领叛军
'ao'si'te'ma'ke 奥斯特马克
'ao'si'te'ma'ke'pan'jun 奥斯特马克叛军
'ba'la'ke'hai'men 巴拉克海门
'ba'la'ke'hai'men'pan'jun 巴拉克海门叛军
'ba'si'tuo'nie 巴斯托涅
'ba'si'tuo'nie'pan'jun 巴斯托涅叛军
'ba'tuo'ni'ya 巴托尼亚
'ba'tuo'ni'ya'pan'jun 巴托尼亚叛军
'ba'tuo'ni'ya'shang'chuan 巴托尼亚商船
'ba'yan 疤眼
'ba'yan'pan'jun 疤眼叛军
'bai'yin'xue'jun 白银血军
'bai'yin'xue'jun'pan'jun 白银血军叛军
'bao'pi'ren'pan'jun 剥皮人叛军
'bao'zang'lie'ren 宝藏猎人
'bao'zheng'kui'lei 暴政傀儡
'bao'zheng'kui'lei'pan'jun 暴政傀儡叛军
'bei'er'suo'lin 贝尔索林
'bei'er'suo'lin'pan'jun 贝尔索林叛军
'bi'yue'lin 比约林
'bi'yue'lin'pan'jun 比约林叛军
'bian'jing'qin'wang 边境亲王
'bian'jing'qin'wang'pan'jun 边境亲王叛军
'bing'xue'wang'ting 冰雪王廷
'bing'xue'wang'ting'pan'jun 冰雪王廷叛军
'bo'en'huo'fu'fei'tu 伯恩霍夫匪徒
'bo'en'huo'fu'fei'tu'tao'bing 伯恩霍夫匪徒逃兵
'bo'er'de'luo'chang'zheng'jun 波尔德罗长征军
'bo'er'de'luo'chang'zheng'jun'pan'jun 波尔德罗长征军叛军
'bu'li'ao'nie 布理奥涅
'bu'li'ao'nie'pan'jun 布理奥涅叛军
'bu'shou'lie'tuan 捕兽猎团
'bu'shou'lie'tuan'pan'jun 捕兽猎团叛军
'bu'xun'chang'zhi'chu 不寻常之处
'cang'bai'ru'ying 苍白乳婴
'cang'bai'ru'ying'pan'jun 苍白乳婴叛军
'cha'bang 叉棒
'cha'bang'pan'jun 叉棒叛军
'cha'rui'si 查瑞斯
'cha'rui'si'pan'jun 查瑞斯叛军
