'a'yi'men'zhai 阿一焖斋
'an'hui'cai 安徽菜
'an'yang'san'xun 安阳三熏
'ba'bao'bo'cai 八宝菠菜
'ba'bao'gui'yu 八宝桂鱼
'ba'bao'jia'yu 八宝甲鱼
'ba'bao'qing'xie'fan 八宝青蟹饭
'ba'kuai'ji 八块鸡
'ba'si'shi'jin'shan'yao 拔丝什锦山药
'ba'si'zha'gao 拔丝楂糕
'ba'wang'bie'ji 霸王别姬
'bai'ba'yu'chi 白扒鱼翅
'bai'chao'dao'yu'si 白炒刀鱼丝
'bai'chao'xia'qiu 白炒虾球
'bai'gan'zhu'san'si 白干煮三丝
'bai'guo'gui'hua'geng 白果桂花羹
'bai'hua'da'xia 百花大虾
'bai'jiao'yong'yu'tou 白浇鳙鱼头
'bai'niao'chao'feng 百鸟朝凤
'bai'you'gan'pian 白油肝片
'bai'yu'fei'cui 白玉翡翠
'bai'zhan'ji 白斩鸡
'bai'zhi'cai'xin 白汁菜心
'bai'zhi'yu'chi 白汁玉翅
'bai'zhuo'xia 白灼虾
'bai'zhuo'xiang'luo'pian 白灼响螺片
'ban'li'hong'shao'rou 板栗红烧肉
'bao'chao'yao'hua 爆炒腰花
'bao'mo'yu'juan 爆墨鱼卷
'bao'san'cui 爆三脆
'bao'tun 爆氽
'bao'xiang'dou'fu 宝箱豆腐
'bao'zai'yu'wan 煲仔鱼丸
'bao'zhu'ji 爆竹鸡
'bi'bo'tian'ji 碧波田鸡
'bi'lv'xia'ren 碧绿虾仁
'bing'tang'yan'wo 冰糖燕窝
'bo'bo'ji 钵钵鸡
'bo'cai'ji'bao 菠菜鸡煲
'bo'li'xian'mo 玻璃鲜墨
'bo'luo'gui'yu 菠萝鳜鱼
'bo'luo'ji'ding 菠萝鸡丁
'cai'dai'yu'tou 彩带鱼头
'cai'gan'kou'rou 菜干扣肉
'cai'se'rou'si 彩色肉丝
'cai'si'jin'liu 彩丝金柳
'cai'yuan'niu'rou 菜远牛肉
'cha'kao'gui'yu 叉烤鳜鱼
'cha'shao'ya'zi 叉烧鸭子
'cha'xiang'gu 茶香骨
'chai'ba'yu 柴把鱼
'chai'hui'da'yu'tou 拆烩大鱼头
'chai'hui'lian'yu'tou 拆烩鲢鱼头
'chao'bai'ge 炒白鸽
'chao'cong'jiao'ji 炒葱椒鸡
'chao'gan'pian 炒肝片
'chao'he'hua'que 炒禾花雀
'chao'xi'shi'she 炒西施舌
'chao'xia'si 炒虾丝
'chao'yang'du'si 炒羊肚丝
'chao'zhou'shao'yan'e 潮州烧雁鹅
'chen'nian'cai'pu'ji 陈年菜脯鸡
'cheng'hua'pai'gu 橙花排骨
'cheng'liu'qi 蛏溜奇
'cheng'shuang'cheng'dui 成双成对
'chui'lian'hua'ji 炊莲花鸡
'chun'cai'huang'yu'geng 莼菜黄鱼羹
'chun'sun'bai'ban'ji 春笋白拌鸡
'chun'ya'men'dan 椿芽焖蛋
'cong'bao'rou'si 葱爆肉丝
'cong'chuan'pai'gu 葱穿排骨
'cong'you'ji 葱油鸡
'cong'you'zheng'ya 葱油蒸鸭
'cu'liu'gui'yu 醋熘鳜鱼
'cu'liu'huang'gua 醋溜黄瓜
'cui'lv'yu'mi 翠绿玉米
'cui'pi'juan 脆皮卷
'cui'pi'zha'ji 脆皮炸鸡
'cui'zhu'fen'zheng'hui'yu 翠竹粉蒸鮰鱼
'cui'zhu'lu'jin 翠珠鹿筋
'da'bian'lu 大边炉
'da'chang'sheng'chao'xian'suan'cai 大肠生炒咸酸菜
'da'wei'shan'zheng'fang'rou 大围山蒸方肉
'dan'dan'mian 担担面
'deng'ying'niu'rou 灯影牛肉
'ding'xiang'pai'gu 丁香排骨
'dong'an'zi'ji 东安子鸡
'dong'bi'long'zhu 东壁龙珠
'dong'cai'dun'ya 冬菜炖鸭
'dong'cai'kou'rou 冬菜扣肉
'dong'gu'ou'jia 冬菇藕夹
'dong'gua'bao'tang 冬瓜煲汤
'dong'gua'bie'qun'geng 冬瓜鳖裙羹
'dong'jiang'dou'fu'bao 东江豆腐煲
'dong'jiang'yan'ju'ji 东江盐焗鸡
'dong'po'fang'rou 东坡方肉
'dong'po'rou 东坡肉
'dong'po'zhou'zi 东坡肘子
'dong'sun'ge'pu 冬笋鸽脯
'dong'ting'jin'gui 洞庭金龟
'dong'xiang'yan'yu 侗乡腌鱼
'dou'ban'ji'yu 豆瓣鲫鱼
'dou'fu'chao'jiu'cai 豆腐炒韭菜
'dou'gu'yu 豆鼓鱼
'dou'rong'niang'pi'pa 豆茸酿枇杷
'dun'cai'he 炖菜核
'dun'jian'shen'quan'ya 炖健身全鸭
'duo'jiao'pang'yu'tou 剁椒胖鱼头
'fa'si'bai'ye 发丝百叶
'fa'si'bai'ye 发丝百页
'fan'qie'ji'bao 蕃茄鸡煲
'fan'qie'yao'liu 番茄腰柳
'fang'yu'zheng'ji 方鱼蒸鸡
'fei'cui'dou'fu 翡翠豆腐
'fei'cui'ji'chi 翡翠鸡翅
'fei'cui'tao'ren'ji 翡翠桃仁鸡
'fen'zheng'gui'yu 粉蒸鳜鱼
'feng'hua'yao'la 奉化摇蜡
'feng'huang'luo'bo 凤凰萝卜
'feng'ji'zhan'rou 风鸡斩肉
'feng'jin'long'zhua 凤筋龙爪
'feng'lin'qie'zi 风林茄子
'feng'si'xian'ren'zhang 凤丝仙人掌
'feng'wei'nan'mei'luo 风味南美螺
'feng'wei'yao'hua 凤尾腰花
'fo'tiao'qiang 佛跳墙
'fu'chun'ji 富春鸡
'fu'jian'cai 福建菜
'fu'pi'rou'juan 腐皮肉卷
'fu'qi'fei'pian 夫妻肺片
'fu'rong'cai'xin 芙蓉菜心
'fu'rong'gan'bei 芙蓉干贝
'fu'rong'hai'di 芙蓉海底
'fu'rong'hai'shen 芙蓉海参
'fu'rong'ji'yu 芙蓉鲫鱼
'fu'rong'tao'xie 芙蓉套蟹
'fu'rong'yan'cai 芙蓉燕菜
'fu'shou'lin'men 福寿临门
'ga'li'da'dou'hui'rou 咖喱大豆烩肉
'ga'li'jiao 咖喱饺
'ga'li'niu'pai 咖喱牛排
'gan'bei'shui'jing'ji 干贝水晶鸡
'gan'bian'shan'bei 干煸鳝背
'gan'cai'men'rou 干菜焖肉
'gan'guo'dai'pi'niu'rou 干锅带皮牛肉
'gan'jian'huang'yu 干煎黄鱼
'gan'peng'zi'ji 干烹仔鸡
'gan'shao'dong'sun 干烧冬笋
'ge'xi'niu'wa 鸽戏牛蛙
'gong'bao'ji 宫保鸡
'gong'bao'ji'ding 宫保鸡丁
'gong'bao'mo'yu'dou'fu 宫保魔芋豆腐
'gua'lu'kao'ya 挂炉烤鸭
'guai'wei'ji 怪味鸡
'guai'wei'ji'kuai 怪味鸡块
'guan'xie'yu'yuan 灌蟹鱼圆
'guang'dong'cai 广东菜
'guang'zhou'wen'chang'ji 广州文昌鸡
'gui'fei'ji 贵妃鸡
'gui'ma'niu'rou 鬼马牛肉
'gui'yu'pai'gu 桂鱼排骨
'guo'ba'rou'pian 锅巴肉片
'guo'bian'dou'fu 锅煸豆腐
'guo'shao'man 锅烧鳗
'guo'shao'ya 锅烧鸭
'guo'shao'ye'ya 锅烧野鸭
'guo'ta'duo'wei'dou'fu 锅塌多维豆腐
'guo'yi'yin'yu 锅熠银鱼
'guo'you'rou 过油肉
'guo'zhi'rou'pu 果汁肉脯
'guo'zhi'yu'kuai 果汁鱼块
'hai'mi'zhen'zhu'sun 海米珍珠笋
'hai'shen'mei'mao'rou'wan 海参眉毛肉丸
'hai'shen'wan'yu 海参碗鱼
'hai'shen'wu'chang'yu 海参武昌鱼
'hai'xian'dou'fu'geng 海鲜豆腐羹
'hai'zhe'yao'hua 海蛰腰花
'han'bao'zi 韩包子
'hang'zhou'cai 杭州菜
'hao'gan'chao'shan'si 蒿杆炒鳝丝
'hao'si'bai'ye 好丝百叶
'hao'you'mo'gu 蚝油蘑菇
'hao'you'niu'rou 蚝油牛肉
'hao'you'niu'rou'si 蚝油牛肉丝
'hao'you'ya'zhang 蚝油鸭掌
'he'bao'yuan'zi 荷包圆子
'he'cai'gai'bei 合菜盖被
'he'qin'chao'la'wei 荷芹炒腊味
'he'ye'fen'zheng'ji 荷叶粉蒸鸡
'he'ye'ji 荷叶鸡
'he'ye'san'zheng 荷叶三蒸
'hei'jiao'niu'zai'gu 黑椒牛仔骨
'hong'ba'yu'du 红扒鱼肚
'hong'cong'shao'la'rou 红葱烧腊肉
'hong'du'ji 洪都鸡
'hong'jiao'niang'rou 红椒酿肉
'hong'men'hai'shen 红焖海参
'hong'men'wa'wa'yu 红焖娃娃鱼
'hong'pao'lian'zi 红袍莲子
'hong'run'la'de'tiao 红润辣得跳
'hong'shao'fu'pi 红烧浮皮
'hong'shao'hua'shui 红烧划水
'hong'shao'hui'yu 红烧鮰鱼
'hong'shao'huo'nan 红烧火腩
'hong'shao'li'zi'ji 红烧栗子鸡
'hong'shao'quan'gou 红烧全狗
'hong'shao'ti'jin 红烧蹄筋
'hong'shao'wu'hua'rou 红烧五花肉
'hong'shao'ye'ya 红烧野鸭
'hong'shao'yu'chun 红烧鱼唇
'hong'shao'zhu'du 红烧猪肚
'hong'shao'zhu'shou 红烧猪手
'hong'su'xiao'ji'yu 红酥小鲫鱼
'hong'you'er'pian 红油耳片
'hong'zao'pian'ya 红糟片鸭
'hong'zao'wei'zhou 红枣煨肘
'hong'zao'yu'si 红糟鱼丝
'hu'die'hai'shen 蝴蝶海参
'hu'die'hui'shan 蝴蝶烩鳝
'hu'lu'da'ji'chi'zi 葫芦大吉翅子
'hu'nan'cai 湖南菜
'hu'pi'mao'dou'fu 虎皮毛豆腐
'hu'pi'shu'zi'rou 虎皮梳子肉
'hu'pi'xiang'rou 虎皮香肉
'hua'diao'ji 花雕鸡
'hua'guo'huang'yu 花果黄鱼
'hua'rou 滑肉
'hua'shi'xiu'qiu'su 花式绣球酥
'huang'jin'xia'tuo 黄金虾托
'huang'men'jia'yu 黄焖甲鱼
'huang'men'man 黄焖鳗
'huang'ni'wei'ji 黄泥煨鸡
'hui'cai 徽菜
'hui'guo'niu'xiao'pai 回锅牛小排
'hui'guo'rou 回锅肉
'hui'zhou'yuan'zi 徽州园子
'huo'bao'yao'kuai 火爆腰块
'huo'tui'dun'jia'yu 火腿炖甲鱼
'huo'tui'su'yao 火腿酥腰
'ji'huo'ti'yan 鸡火蹄燕
'ji'li'jiu'cai'he 鸡粒韭菜盒
'ji'li'xia 吉利虾
'ji'rong'bi'jia'yu'du 鸡茸笔架鱼肚
'ji'rong'yin'xing 鸡茸银杏
'ji'si'chao'er'kuai 鸡丝炒耳块
'ji'si'yan'wo 鸡丝燕窝
