'ba'zhuan'fa 八专法
'ba'zhuan'ke 八专课
'bi'yong 比用
'bi'yong'fa 比用法
'bi'yong'ke 比用课
'bie'ze'fa 别责法
'bie'ze'ke 别责课
'bu'yu 不虞
'cha'wei 察微
'chen'gong'xian 陈公献
'chong'shen 重审
'chu'chuan 初传
'dong'she'yan'mu 冬蛇掩目
'du'chuan 杜传
'du'zu 独足
'dun'gan 遁干
'fa'yong 发用
'fan'yin'fa 返吟法
'fan'yin'ke 返吟课
'fu'yin'fa 伏吟法
'fu'yin'ke 伏吟课
'hao'shi 蒿矢
'hu'shi 虎视
'jian'ji 见机
'jing'lan'chong 井栏冲
'jing'lan'she 井栏射
'mao'xing'fa 昴星法
'mao'xing'ke 昴星课
'meng'zhong'ji 孟仲季
'mo'chuan 末传
'ni'zong'shun'ling 逆总顺零
'nian'ming 年命
'ri'chen 日辰
'san'chuan 三传
'shao'yan'he 邵彦和
'she'hai'fa 涉害法
'she'hai'ke 涉害课
'she'hai'shen'qian 涉害深浅
'shi'ru 始入
'shun'zong'ni'ling 顺总逆零
'si'ke 四课
'tan'she 弹射
'wei'bo'bu'xiu 帷薄不修
'wu'qin 无亲
'wu'yi 无依
'wu'yin 芜淫
'xing'nian 行年
'yang'gui 阳贵
'yao'ke'fa 遥克法
'yao'ke'ke 遥克课
'yin'gui 阴贵
'yuan'shou 元首
'yue'jiang 月将
'zei'ke'fa 贼克法
'zei'ke'ke 贼克课
'zhi'yi 知一
'zhong'chuan 中传
'zhui'xia 缀瑕
'zi'ren 自任
'zi'xin 自信
