'an'hei'long'wang'de'ling'hun 暗黑龙王的灵魂
'dai'dai'xue'jing'ling 呆呆雪精灵
'hei'mu'yao 黑木妖
'hong'wo'niu 红蜗牛
'hua'mo'gu 花蘑菇
'jiong'jiong'xue'jing'ling 囧囧雪精灵
'jue'wang'de'lv'mo'gu 绝望的绿蘑菇
'kai'xin'de'gu'mu'yao 开心的古木妖
'lan'wo'niu 蓝蜗牛
'lv'shui'ling 绿水灵
'lv'wo'niu 绿蜗牛
'mo'gu'zai 蘑菇仔
'mu'yao 木妖
'pa'pa'xue'jing'ling 趴趴雪精灵
'piao'piao'zhu 漂漂猪
'qing'wa 青蛙
'sheng'qi'de'jiang'shi'mo'gu 生气的僵尸蘑菇
'te'shu'xiao'shi'qiu 特殊小石球
'ti'bu 提布
'ti'gu'er 提古尔
'ti'lu 提鲁
'ti'mu 提姆
'ti'nuo 提诺
'wan'shi'bu'gong'de'hua'mo'gu 玩世不恭的花蘑菇
'xiang'chang'zui'xue'jing'ling 香肠嘴雪精灵
'xue'jing'ling 雪精灵
'zhu'zhu 猪猪
