'a'mu 阿牧
'ai'lang 哀朗
'ai'lao'gu'mu 哀牢古墓
'ai'man 哀蛮
'an'neng'liang 暗能量
'bai'xiao'sheng 白晓生
'bai'yi'zhi'shi 白衣执事
'bao'tou'ren 豹头人
'bao'zi 宝子
'bi'qi'dan 闭气丹
'bi'xie'guo 辟邪果
'bu'cheng'xiang 不承想
'bu'jin 不禁
'bu'ni 布尼
'bu'ni'pei 布尼沛
'bu'ni'xin'xiang 布尼心想
'bu'you'de 不由得
'bu'zhen'shi 布阵师
'can'ying 残影
'can'ying'tao'fan 残影逃犯
'chang'mao 长矛
'chi'mu'shuang'tong 赤目双瞳
'chou'bao 臭宝
'chou'bao'er 臭宝儿
'chou'chou 臭臭
'chou'jiang 臭酱
'chuan'guo'yi'jie 穿过异界
'da'bao'zi 大宝子
'da'chou'er 大臭儿
'da'li 大力
'da'mei'li 大美丽
'da'qi 大旗
'da'wu 大吴
'deng'guo'hao 邓国豪
'di'sheng 低声
'dong'huang'shi 东皇石
'dong'huang'xuan'shi 东皇玄石
'dong'huang'zhong 东皇钟
'dong'ta 动它
'dun'le'dun 顿了顿
'duo'duo 朵朵
'duo'pu'da 朵普达
'duo'wei'kong'jian 多维空间
'er'shun'zi 二顺子
'feng'shou 疯兽
'feng'yin 封印
'feng'ying'ding 封影钉
'fu'gui 富贵
'fu'xi'qin 伏羲琴
'fu'xi'shi 伏羲石
'fu'xi'xuan'shi 伏羲玄石
'gan'mang 赶忙
'gu'ji'wa 古吉瓦
'gua'zi'ji 瓜子姬
'guai'niao 怪鸟
'gui'fang 归方
'gui'fang'dao 归方岛
'gui'fang'dao'tu'yu 归方岛土语
'gui'fang'guo 归方国
'gui'fang'yu 归方语
'gui'fang'zu 归方族
'gui'ji'sheng'wu 硅基生物
'gui'li'gu 归离谷
'gui'teng 鬼藤
'gui'yi'ping 归一平
'guo'jie 过界
'hai'li'ya 还离崖
'hai'ying'gong 还影弓
'han'bing'ding 寒冰钉
'he'hua'biao'ji 荷花标记
'he'hua'yin'ji 荷花印记
'he'shu 河叔
'hei'ban'bao 黑斑豹
'hei'jin'ling'shi 黑金灵石
'hei'lin'deng 黑磷灯
'hei'mo'ze 黑墨泽
'hei'pao'ren 黑袍人
'hei'she 黑蛇
'hei'shui'ren 黑水人
'hei'shui'zu 黑水族
'hei'xiong 黑熊
'hei'yi'ren 黑衣人
'hei'yi'zhi'shi 黑衣执事
'hei'yu 黑域
'hei'yu'can'ying 黑域残影
'hei'yu'gu'cun 黑域孤村
'hei'yu'jie 黑域界
'hei'yu'kong'jian 黑域空间
'hei'yu'kui'wang 黑域魁王
'hei'yu'shen'zhu 黑域神主
'hei'yu'shi'ying'shou 黑域噬影兽
'hei'yu'shou 黑域兽
'hei'yu'shou'ren 黑域兽人
'hei'yu'shui'xing'ren 黑域水形人
'hei'yu'shui'xing'zu 黑域水形族
'hei'yu'shui'zu 黑域水族
'hei'yu'xie'gu 黑域邪骨
'hei'yu'xie'mu 黑域邪木
'hei'yu'xiong'shou 黑域凶兽
'hei'yu'ye'xing'ren 黑域液型人
'hei'yu'zu 黑域族
'hei'yu'zu'zhu 黑域族主
'hei'yuan 黑猿
'hong'tong'xue'fu 红瞳血蝠
'hou'qing 后卿
'hu'po'ding 琥珀钉
'hua'jiu'ren 化九仞
'huan'ban'cheng 幻半城
'huan'cai 幻彩
'huan'chu 唤出
'huan'chu'zhu'di'dao 唤出竹笛刀
'huan'shu'shi 幻术师
'huan'xing'jiang 唤醒僵
'huan'yao 幻妖
'hui'su 回溯
'huo'feng'huang 火凤凰
'huo'shi'ren 活尸人
'huo'yan'jian 火焰箭
'ji'guan'na'mi 机关纳米
'ji'guan'shou 机关兽
'ji'huo'bao'zi 激活孢子
'ji'ren 几人
'ji'sheng'ling 寄生灵
'ji'sheng'shou 寄生兽
'jia'ka'xi'tong 甲卡西酮
'jiang'ju 将巨
'jiang'ruo'yu 蒋若愚
'jiang'shi'zhen'jun 僵尸真菌
'jie'jie 结界
'jin'gang'chu 金刚杵
'jin'gang'shi 金刚石
'jin'gang'xuan'shi 金刚玄石
'jin'gang'xue 金刚血
'jin'gu 禁锢
'jin'qian 近前
'jin'zhi 禁制
'jiu'gong'cheng 九宫城
'jiu'long 九隆
'jiu'long'wang 九隆王
'jiu'wu 九巫
'kan'dao'zhe 看到这
'kan'xiang 看向
'kang'run 康润
'kang'run'jia'yuan 康润家园
'kui'lei'ren 傀儡人
'kui'lei'shi 傀儡师
'kui'lei'ying 傀儡婴
'kui'xing'bi 魁星笔
'kui'xing'dou'jia'zhen 魁星斗甲阵
'kui'xing'gu'juan 魁星古卷
'kui'xing'shi 魁星石
'kui'xing'xuan'shi 魁星玄石
'kun'lun'jing 昆仑镜
'kun'lun'shi 昆仑石
'kun'lun'xuan'shi 昆仑玄石
'lai'shi'pu 莱士普
'lao'bu 老布
'li'fu'gui 李富贵
'lian'mang 连忙
'lin'cang'hai 林沧海
'lin'ruo'tong 林若彤
'lin'xin'yi 林心仪
'ling'xu'dan 灵虚丹
'liu'fang'jie 流放界
'liu'ye'jin 柳叶金
'long'gu 龙姑
'long'gu'tai'sui 龙骨太岁
'lun'zhuan'di'jun 轮转帝君
'lun'zhuan'kong'jian 轮转空间
'mei'mei 莓莓
'meng'lao'tou 孟老头
'meng'mian'ren 蒙面人
'mian'ju'ren 面具人
'ming'ying 命影
'mo'chou'he 莫愁河
'mo'chou'hua 莫愁花
'mo'chou'qiao 莫愁桥
'mo'chou'shi 莫愁石
'mo'ling'jiang 墨灵浆
'mo'ling'shi 墨灵石
'mo'ling'xuan'shi 墨灵玄石
'mo'xian 墨贤
'mo'yu 墨玉
'mo'zu 魔族
'mu'lao'shi 牧老师
'niu'che'shui 牛车水
'nu'jian 弩箭
'nv'ta 女她
'pei'dian 配殿
'pie'le'yi'yan 瞥了一眼
'ping'zhang 屏障
'qi'ta'wei'ci'kong'jian 其他维次空间
'qi'ta'wei'du'kong'jian 其他维度空间
'qi'xiao'xia 齐晓霞
'qi'zi 琪子
'qin'lian'zhang 秦连长
'qing'feng'po'po 青风婆婆
'qing'feng'xian'zi 青风仙子
'qing'feng'zhuang 青风庄
'qu'bi'a'mei 曲比阿美
'ruan'qin 阮琴
'san'chong'xin'yin 三重心印
'san'jie'ling 三界令
'sang'shi 丧尸
'sang'shi'yao 丧尸药
'shan'shen'ye 山神爷
'shao'fang'xiao 邵方晓
'shao'kang'jie 邵康杰
'she'qun 蛇群
'shen'nong'ding 神农鼎
'shen'nong'shi 神农石
'shen'nong'xuan'shi 神农玄石
'shi'jie 石阶
'shi'kong'lie'xi 时空裂隙
'shi'shang'fei 史上飞
'shi'wu 石屋
'shi'xuan'jin'ling 十玄金令
'shi'xuan'men 十玄门
'shi'xuan'yu'ling 十玄玉令
'shi'yi'nan 石亦男
'shi'ying'ding 十影钉
'shi'zi'mo'yin 十字墨印
'shou'ling'ren 守陵人
'shou'ren 兽人
'shuo'dao'zhe 说到这
'shuo'wan 说完
'shuo'zhe 说着
'si'zhou 四周
'suo'nan 索南
'ta'ta 她他
'ta'ta'ta 她他它
'tai'sui'zhen'jun 太岁真菌
'te'me 特么
'tian'nv 天女
'tie'jian 铁箭
'tong'bi'chui 通臂锤
'tong'xiao 铜箫
'tou'gu'jing 透骨镜
'tou'ying'shi 投影石
'wang'si'chuan 王四川
'wei'ci'kong'jian 维次空间
'wei'du'kong'jian 维度空间
'wen'shen'shou 纹身兽
'wu'gu 巫姑
'wu'gu'mei'ren 无骨美人
'wu'gu'ren 无骨人
'wu'gu'yin 巫蛊印
'wu'ji'shi 无极石
'wu'ji'xuan'shi 无极玄石
'wu'lao'shi 吴老师
'wu'ling'hou'yi 乌灵后裔
'wu'ling'kong'jian 乌灵空间
'wu'ling'li 乌灵力
'wu'ling'mu 乌灵木
'wu'ling'sa'duo 乌灵萨埵
'wu'ling'yin 乌灵印
'wu'ling'zhang'lao 乌灵长老
'wu'ling'zu 乌灵族
'wu'ling'zu'zhu 乌灵族主
'wu'na 巫娜
'wu'shan'jiu'wu 巫山九巫
'wu'shan'shi'wu 巫山十巫
'wu'xian 巫咸
'wu'zhang'ding 五丈钉
'wu'zi 兀自
'wu'zu 巫族
'xiang'dao'zhe 想到这
'xin'yi 心仪
'xin'zhu 心竹
'xiong'da'li 熊大力
'xiong'mian'ren 凶面人
'xu'kong'jin'gang'chu 虚空金刚杵
'xu'ling'dan 虚灵丹
'xuan'gu'hua'sheng'ren 玄古化生人
'xuan'gu'kong'jian 玄古空间
'xuan'gu'tong'xuan'shu 玄古通玄术
'xuan'gu'zu 玄古族
'xuan'gu'zu'zhu 玄古族主
'xuan'men'jin'zhen 玄门金针
'xuan'men'zhen 玄门针
'xuan'yuan'jian 轩辕剑
'xuan'yuan'shi 轩辕石
'xuan'yuan'xuan'shi 轩辕玄石
'xuan'zhen 玄针
'xue'mo 踅摸
'yan'jing 眼镜
'yang'zhao'di 杨招娣
'yao'zu 妖族
'yi'ci'yuan 异次元
'yi'du'kong'jian 异度空间
'yi'jian 一箭
'yi'jie'lun'zhuan'di 异界轮转地
