'a'mang 阿芒
'ba'cao'xun'she 拔草寻蛇
'ba'wang'ci'jiu 霸王赐酒
'ba'ya 巴哑
'ba'zhen'tu 八阵图
'bai'bu'chuan'yang 百步穿杨
'bai'hu'wang'chuan 白虎望川
'bai'hu'xing'pai 白虎星牌
'bai'hua'lou 百花楼
'bai'jing'yi 白静怡
'bai'jing'yi'tan'jiu'juan 白静怡探究卷
'bai'lu'dian'qing'tai 白露点青苔
'bai'niao'tou'lin 百鸟投林
'bai'she'tu'rui 白蛇吐蕊
'bai'tan 摆摊
'bai'wei'lou 百味楼
'bai'yi'men'sheng'wang 白衣门声望
'bang'ding 绑定
'bang'hui'chuan'song 帮会传送
'bang'hui'huo'dong 帮会活動
'bang'hui'shi'zhe 帮会使者
'bang'zhan 帮战
'bao'qi 爆气
'bao'shi'sui'pian 宝石碎片
'bao'shi'yuan'shi 宝石原石
'bao'wei'cun'zhuang 保卫村庄
'bao'wei'jun'ying 保卫军营
'bao'xiang'si'teng'yu'gu'cheng 宝相寺滕玉古城
'bao'zi'qin'yang 豹子擒羊
'bei'nang 背囊
'ben'lei 奔雷
'bi'men'shi 闭门式
'bi'sha 必杀
'bian'yan'zhu 变颜珠
'bian'zi 鞭子
'bing'shou 冰狩
'bing'yuan'mei 冰原煤
'bu'dong'zun 不动尊
'bu'gang'ta'dou 步罡踏斗
'bu'jian'tian 不见天
'cai'wa'bei 踩蛙背
'cang'dao'shi 藏刀式
'cang'yu'duan'hun 苍域锻魂
'cang'yu'tian'zhu 苍域天铸
'chan'long'shou 缠龙手
'chan'tou'guo'nao 缠头裹脑
'chang'bian'xin'fa 长鞭心法
'chang'hong'guan'ri 长虹贯日
'chang'jing'bai'yue 长鲸拜月
'chao'tian'que 朝天闕
'chen'cang 陈仓
'chen'cang'tan'jiu'juan 陈仓探究卷
'cheng'feng 乘风
'cheng'zhang'fu'wu'qi 成长副武器
'chi'tu'yan'zhi 赤兔胭脂
'chi'xie'du'xie'zhi'ci 蚩邪毒蝎之刺
'chi'xie'fei'hun'lie'zhao 蚩邪飞魂烈爪
'chi'xie'gui'pi'pa 蚩邪鬼琵琶
'chi'xie'huo'ming'shan 蚩邪火鸣扇
'chi'xie'ju'hun'san 蚩邪聚魂伞
'chi'xie'long'jin'huo'lin'bian 蚩邪龙筋火鳞鞭
'chi'xie'po'hun'ju'ren 蚩邪破魂巨刃
'chi'xie'qing'zhu'di 蚩邪青竹笛
'chi'xie'shi'hun'yin'yang'chui 蚩邪嗜魂阴阳锤
'chi'xie'tang'lang'ju'ci 蚩邪螳螂巨刺
'chi'xie'tian'can'yu'hu'lu 蚩邪天蚕玉葫芦
'chi'xie'xuan'tie'han'yue'ren 蚩邪玄铁寒月刃
'chi'xie'xuan'tie'hu'wang'zhao 蚩邪玄铁虎王爪
'chu'ru'jiang'hu 出入江湖
'chuan'yan'suo 穿岩梭
'chuan'zhen'yin'xian 穿针引线
'ci'hong'men 刺鸿门
'ci'ke 刺客
'cui'jin'ding 催金锭
'cui'jin'ding'tan'jiu'juan 催金锭探究卷
'cui'xian'shui 萃纤水
'cui'yu 催玉
'cui'yu'tan'jiu'juan 催玉探究卷
'cui'zhu'bie'yuan 翠竹别院
'da'bao'tian'di'yuan 大包天地圆
'da'bi'sha 大必杀
'da'feng'che 大风车
'da'han 大寒
'da'hu'shi 打虎势
'da'hu'tao'xin 大虎掏心
'da'jin'er'ren'ben 打金二人本
'da'kai'men 大开门
'da'qun'xia 打群侠
'da'ti'liu 大提柳
'da'xie'bai'wei 大蝎摆尾
'dan'die 单蝶
'dan'ping 单平
'dan'ping'tan'jiu'juan 单平探究卷
'dao'ke 刀客
'dao'li 倒立
'di'shui'shi 滴水式
'di'zi'xin'fa 笛子心法
'die'fen'fei 蝶纷飞
'die'xun'xiang 蝶寻香
'ding'yang 顶羊
'dou'shen'sai 斗神赛
'duan'yun 断云
'dui'gong'ji 堆攻击
'dui'hui'xin 堆会心
'dui'jing'zhun 堆精准
'dui'li'liang 堆力量
'dui'ren'xing 堆韧性
'dui'shang'hai 堆伤害
'dui'shen'fa 堆身法
'dui'teng'nuo 堆腾挪
'dui'ti'po 堆体魄
'dui'yuan'shen 堆元神
'dui'zhi'ming 堆致命
'er'ji'jing'tie'rong'lian'ji'san'ji'jing'tie'rong'lian'ji 二级精铁熔炼剂三级精铁熔炼剂
'er'ji'mian'bu'ran'ji 二级棉布染剂
'er'ji'xuan'jing'ti'lian'ji 二级玄晶提炼剂
'er'ren'ben 二人本
'fa'dao'shen'bing 法刀神兵
'fa'shu'fang'yu'deng'ji 法术防御等级
'fa'shu'gong'ji'deng'ji 法术攻击等级
'fa'shu'hui'xin'deng'ji 法术会心等级
'fa'shu'shang'hai'shang'xian 法术伤害上限
'fa'shu'shang'hai'xia'xian 法术伤害下限
'fan'hun'dan 返魂丹
'fang'cun'po 方寸破
'fang'yu'ping'fen 防御评分
'fei'hong'lue'ri 飞虹掠日
'fei'tian'duan'hun 飞天锻魂
'fei'tian'tian'zhu 飞天天铸
'fei'yuan'shi 飞鸢矢
'fei'zhao 飞爪
'fei'zhao'xin'fa 飞爪心法
'fen'jie'ren'zhu 分解认主
'fen'shen'hua'ying 分身花影
'feng'bo'ping'bu 风波平步
'feng'jiao'xue'wu'hua'zuo'shan 风搅雪舞花坐山
'feng'juan'can'yun 风卷残云
'feng'lei'ding 风雷钉
'feng'sun'tui'fa 风隼腿法
'feng'yin'yao'shi 封印钥匙
'fo'hua'lue'ying 佛花掠影
'fu'ben'ren'wu 副本任务
'fu'guang'zhui'yue'duan'hun 浮光追月锻魂
'fu'guang'zhui'yue'tian'zhu 浮光追月天铸
'fu'mo'hui 伏魔会
'fu'mo'hui'sheng'wang 伏魔会声望
'fu'ru'jie'zhi 妇孺皆知
'fu'shi'shang'ren 服饰商人
'fu'wu'qi'da'shi 副武器大师
'fu'wu'qi'xin'fa 副武器心法
'fu'wu'qi'xin'fa'shu'xing'jia'cheng 副武器心法属性加成
'fu'yin'duan'hun 伏吟锻魂
'fu'yin'tian'zhu 伏吟天铸
'gang'zhua 钢爪
'gang'zhua'xin'fa 钢爪心法
'gao'cheng'feng 高乘风
'gao'cheng'feng'tan'jiu'juan 高乘风探究卷
'ge'da'hu 疙瘩虎
'ge'dang'xiao'hao'ti'li'jian'shao 格挡消耗体力减少
'ge'yu'cheng 葛喻成
'ge'yu'cheng'tan'jiu'juan 葛喻成探究卷
'gong'bei'yan'tan'jiu'juan 宫北燕探究卷
'gong'ji 攻击
'gong'ji'ping'fen 攻击评分
'gong'shou 弓手
'gu'qiu'yang 古秋阳
'gu'qiu'yang'tan'jiu'juan 古秋阳探究卷
'guan'shan'lin'que'yue 关山临却月
'guan'yu'duan'hun 冠宇锻魂
'guan'yu'tian'zhu 冠宇天铸
'gui'po'qian'long'zhuang 桂魄潜龙装
'gun'ding'ban 滚钉板
'han'sha'she'ying 含沙射影
'han'xiao'sheng 韩啸声
'han'xiao'sheng'tan'jiu'juan 韩啸声探究卷
'han'ya'xi'shui 寒鸦戏水
'hang'di'chui 夯地锤
'hao'tian'shen'bing 昊天神兵
'he'he'liu'chu 和合六出
'he'he'you'ming 赫赫有名
'he'jia'lao'zhai 何家老宅
'he'li'shi 鹤立式
'hei'yan'bao 黑炎爆
'hong'fei'bi'luo 鸿飞碧落
'hong'ji 轰击
'hong'ji'shen'bing 轰击神兵
'hong'lei'lian'da 轰雷连打
'hong'lian'kai 红莲开
'hong'yu'ji'gu 红玉击鼓
'hou'ding'yun 猴顶云
'hu'bai'wei 虎摆尾
'hu'guan'shan 虎观山
'hu'hui'tou 虎回头
'hu'ju'long'pan 虎踞龙蟠
'hu'lu 葫芦
'hu'men'tou 虎门投
'hu'shi'fa'shu'fang'yu'deng'ji 忽视法术防御等级
'hu'shi'wu'li'fang'yu'deng'ji 忽视物理防御等级
'hu'yi'duan'hun 虎翼锻魂
'hu'yi'tian'zhu 虎翼天铸
'hua'mian'niang 花面娘
'hua'rui'san'hui'feng 花蕊散回风
'hua'xiang 滑翔
'hua'xing 滑行
'huan'jing'sha 浣晶沙
'huan'tian'xi'di'zhong'cai 欢天喜地种菜
'huan'ying'zhen'jing'zhong'yue 幻影阵井中月
'huan'you'duan'hun 幻幽锻魂
'huan'you'tian'zhu 幻幽天铸
'huang'feng'da 黄蜂打
'huang'liu'zi 黄骝子
'huang'long'san'zhuan'shen 黄龙三转身
'huang'que'duo 黄雀夺
'hui'feng'zhui 回锋锥
'hui'lan'pai'an 回澜拍岸
'hui'xin 会心
'hun'yuan'zhui 混元锥
'huo'dong 活動
'huo'huan'yi 火浣衣
'huo'shan'tan 火山碳
'huo'shen'fen'jin'lie'huo'liao'yuan 火神分金烈火燎原
'ji'guan'shan 鸡冠山
'ji'neng 技能
'ji'sha'jing'yan'jia'cheng 击杀经验加成
'ji'shi 集市
'ji'shi'cang'ku 集市仓库
'ji'shi'chuan'song 集市传送
'ji'shui'chong'yue 击水冲月
'jia'wen 贾问
'jia'wen'tan'jiu'juan'gong'bei'yan 贾问探究卷宫北燕
'jia'yu'hu'xiao 家喻户晓
'jian'ding'shi 鉴定师
'jian'fu'rong 剪芙蓉
'jian'kai'tian'he 剑开天河
'jian'ke 剑客
'jian'zong 剑宗
'jian'zong'shen'bing 剑宗神兵
'jiang'cao'huang 江草黄
'jiang'hu'ming'wang 江湖名望
'jiang'ling 将领
'jiang'qiang'shen'bing 将枪神兵
'jie'ao'qian'kun'duan'hun 桀傲乾坤锻魂
'jie'ao'qian'kun'tian'zhu 桀傲乾坤天铸
'jie'bai 结拜
'jie'cang'long 截苍龙
'jie'hun 结婚
'jie'lao 劫牢
'jie'niu'dao'fa'tang'lang'ci 解牛刀法螳螂刺
'jie'yu 劫狱
'jie'zhi'xiang'wen 街知巷闻
'jin'gang'hu'ti 金刚护体
'jin'gang'zhong'zhui 金刚重坠
'jin'ling 金陵
'jin'ling'cang'ku 金陵仓库
'jin'ling'cheng'wai 金陵城外
'jin'ling'chuan'song'zhao'ge'chuan'song 金陵传送朝歌传送
'jin'ling'mi'gong 金陵迷宫
'jin'ling'mo'ku 金陵魔窟
'jin'ling'qian'zhuang 金陵钱庄
'jin'si'chan'wan 金丝缠腕
'jin'yun'pu'di 锦云铺地
'jin'zi'jue 禁字诀
'jing'feng 惊风
'jing'feng'yan'cao 劲风偃草
'jing'hong'wei'chang 惊鸿围场
'jing'li'zhi 精力值
'jing'tie'yuan'shi 精铁原石
'jing'wu'meng'sheng'wang 精武盟声望
'jing'zhong'ying 镜中影
'jing'zhun 精准
'jing'zhun'deng'ji 精准等级
'jiu'cheng'fei'xu 旧城废墟
'jiu'di'pu'yun 就地扑云
'jiu'guan 酒馆
'jiu'shi'zong 救世宗
'jiu'shi'zong'sheng'wang 救世宗声望
'jiu'tian'luo'lei 九天落雷
'jiu'tian'shen'ta 九天神塔
'ju'ao'zai'san'shan 巨鳌载三山
'jue'di'tian'tong 绝地天通
'kai'tian'shi 开天势
'kan'li'huo'ya 坎离火鸦
'kua'fu'zheng'ba'sai 跨服争霸赛
'kui'xing'dian'dou 魁星点斗
'lan'zha'yi 懒扎衣
'lang'di'fei'jiao 浪底飞蛟
'lang'juan'ping'qi'lin'dou'zhao 浪卷平麒麟抖爪
'lang'shen'duan'hun 狼神锻魂
'lang'shen'tian'zhu 狼神天铸
'lang'zhai 狼寨
'li'cuo'jin'suo 力搓金锁
'li'dao'shen'bing 力刀神兵
'li'duo'jin'shi 立剁金石
'li'liang 力量
'li'mao'pu'shu 狸猫扑鼠
'li'shi 力士
'li'zi'hong 栗子红
'lian'hua'ling 莲花岭
'lian'shuang'tu 连双兔
'lie'mang'duan'hun 烈芒锻魂
'lie'mang'tian'zhu 烈芒天铸
'lie'qing'shi 裂青石
'lin'xi'guan'yu 临溪观鱼
'ling'feng'yun'duan'duan'hun 凌风云断锻魂
'ling'feng'yun'duan'tian'zhu 凌风云断天铸
'ling'jue'suo 凌绝梭
'ling'kong'bi'xue'duan'hun 凌空碧血锻魂
'ling'kong'bi'xue'tian'zhu 凌空碧血天铸
'ling'long'gu 凌龙谷
'ling'xu'duan'hun 凌虚锻魂
'ling'xu'tian'zhu 凌虚天铸
'ling'yang'gua'jiao 羚羊挂角
'ling'yun'shen'bing 凌云神兵
'liu'min'ying 流民营
'liu'peng 刘鹏
'liu'peng'tan'jiu'juan 刘鹏探究卷
'liu'xing'cai 流行菜
'liu'xing'gan'yue 流星赶月
'liu'yi'ping 柳一萍
'liu'yi'ping'tan'jiu'juan 柳一萍探究卷
'liu'yun'wan'bian 流云万变
'long'bo 龙博
'long'sha'duan'hun 龙煞锻魂
'long'sha'tian'zhu 龙煞天铸
'long'tan'shui 龙探水
'long'zhuan'shen 龙转身
'lu'bu'bai 陆不败
'lu'jia'yi'lu'jia'yi'tan'jiu'juan 陆嘉一陆嘉一探究卷
'luan'pi'feng 乱披风
'lue'you'er'wen 略有耳闻
'lun'hui'mie'duan'hun 轮回灭锻魂
'lun'hui'mie'tian'zhu 轮回灭天铸
'luo'cha 罗刹
'luo'cha'san'shi 罗刹三式
'luo'cha'shen'bing 罗刹神兵
'luo'jiu'niao 落九鸟
'luo'shen'dao 罗什岛
'luo'shen'hu 洛神湖
'ma'chang 马场
'ma'dao'zhai 马刀寨
'ma'fu'ben 马副本
'ma'wu'qi'jun'ji'feng 马武器峻极峰
'mai'cai 卖菜
'man'gong'jin'xian 满弓紧弦
'man'niu'zhuang 蛮牛撞
'man'tian'hua'yu 漫天花雨
'man'tuo'luo 曼陀罗
'mei'miao'hui'fu'sheng'ming'zhi 每秒恢复生命值
'meng'cen 孟岑
'meng'cen'tan'jiu'juan 孟岑探究卷
'meng'hu'chu'lin 猛虎出林
'mian'si 棉丝
'ming'tian'gu 鸣天鼓
'mo'cang'tian 摩苍天
'mo'jin'duan'gu 磨筋锻骨
'mo'mei'hong 抹眉红
'mo'qi'lin 墨麒麟
'mo'yang'du'xie'zhi'ci 魔炀毒蝎之刺
'mo'yang'fei'hun'lie'zhao 魔炀飞魂烈爪
'mo'yang'gui'pi'pa 魔炀鬼琵琶
'mo'yang'huo'ming'shan 魔炀火鸣扇
'mo'yang'ju'hun'san 魔炀聚魂伞
'mo'yang'long'jin'huo'lin'bian 魔炀龙筋火鳞鞭
'mo'yang'po'hun'ju'ren 魔炀破魂巨刃
'mo'yang'qing'zhu'di 魔炀青竹笛
'mo'yang'shi'hun'yin'yang'chui 魔炀嗜魂阴阳锤
'mo'yang'tang'lang'ju'ci 魔炀螳螂巨刺
'mo'yang'tian'can'yu'hu'lu 魔炀天蚕玉葫芦
'mo'yang'xuan'tie'han'yue'ren 魔炀玄铁寒月刃
'mo'yang'xuan'tie'hu'wang'zhao 魔炀玄铁虎王爪
'mu'cai 木材
'mu'fei'yan 穆菲嫣
'mu'fei'yan'tan'jiu'juan 穆菲嫣探究卷
'mu'rong'che 慕容澈
'mu'rong'che'tan'jiu'juan 慕容澈探究卷
'nan'man'wu'fu 南蛮武夫
'ni'huo'liu'xing 逆火流星
'ni'huo'xuan'feng 逆火旋风
'nie'jing'zhui'fei'fa'shu'song'you 蹑景追飞伐树送友
'ning'han'yin 凝寒引
'ning'hun'xue'dao 凝魂雪道
'ning'qi'zhou 凝气咒
'ning'xin 凝心
'nu'qi'zhuan'hua'su'du 怒气转化速度
'peng'tong 彭彤
'peng'tong'tan'jiu'juan 彭彤探究卷
'pi'ge 皮革
'pi'pa 琵琶
'pi'pa'xin'fa 琵琶心法
'pian'bu'zhai'guan 偏步摘冠
'po'jian 破坚
'po'jun 破军
'po'sun'de'tian'de'bao'shi 破损的天德宝石
'po'yu'zhang 破玉掌
'po'zhen'zi 破阵子
'qi'ning 气凝
'qi'sha'sheng 戚杀生
'qi'sha'sheng'tan'jiu'juan 戚杀生探究卷
'qi'xi'lang'zhai 奇袭狼寨
'qi'xing'shi'kua'hu'shi 七星式跨虎式
'qi'xuan 气旋
'qi'zhan 气斩
'qi'zong 气宗
'qi'zong'shen'bing 气宗神兵
'qian'ji'xian 牵机线
'qian'jiang'yi'yue 千江一跃
'qian'li'yin'he 千里银河
'qian'tian'po'duan'hun 乾天破锻魂
'qian'tian'po'tian'zhu 乾天破天铸
'qian'xia'duan'hun 千霞锻魂
'qian'xia'tian'zhu 千霞天铸
'qian'xuan'zhuan 千旋转
'qian'yun'yi'xian'duan'hun 乾云一线锻魂
'qian'yun'yi'xian'tian'zhu 乾云一线天铸
'qiang'ke 枪客
'qiang'qin 抢亲
'qin'tou 擒投
'qin'tou'shen'bing 擒投神兵
'qing'dao 请刀
'qing'long'jiao'shui 青龙搅水
'qing'long'xing'pai 青龙星牌
'qing'xie'fen'zhe 青蝎奋蜇
'qiu'hong'ye 秋红叶
'qiu'hong'ye'tan'jiu'juan 秋红叶探究卷
'qiu'liu'shi 邱刘式
'qiu'ye'xiang 秋叶香
'qiu'ye'xiang'tan'jiu'juan 秋叶香探究卷
'qu'yu'ren'wu 区域任务
'que'di'long 雀地龙
'qun'xia 群侠
'qun'xia'hui 群侠会
'ren'xing 韧性
