'an'xi 暗系
'ba'bu'qi'cai 八部奇才
'bao'yu 宝玉
'bing'xi 冰系
'cai'ling 彩绫
'cang'qiong 苍穹
'cao'yuan 草原
'ci'ke 刺客
'da'mo 大漠
'di'xi 地系
'diao'si'hong 屌丝红
'duan'dao 短刀
'e'yun 噩运
'fa'qi 法器
'fa'zhang 法杖
'fei'yue 飞月
'feng'hun 风魂
'feng'xi 风系
'ge'dang 格挡
'gou'zhao'huan 狗召唤
'hei'lin 黑鳞
'hui'xing 彗星
'huo'xi 火系
'jian'shi 剑士
'jian'yu 监狱
'jie'nan 劫难
'ka'dao 卡刀
'la'hua 拉花
'lan'lan 兰兰
'lei'xi 雷系
'li'da'hai 力大海
'li'shi 力士
'ling'jian 灵剑
'liu'xing 流星
'long'tie'quan 龙铁拳
'ma'gu'ka 麻古卡
'mi'gong 迷宫
'mu'di 墓地
'nan'su'rou 南素柔
'nan'tian 南天
'nan'tian'guo 南天国
'nan'xue'ling 南雪灵
'nie'su'rou 聂素柔
'pei'dao 佩刀
'qi'die 气爹
'qi'gong 气功
'qi'quan'jia 气拳甲
'qi'zong 气宗
'qian'zhen'quan 千甄拳
'qin'nv'shen 秦女神
'qin'xi'yan 秦夕颜
'qin'yi'jue 秦义绝
'quan'gu'lu 拳轱辘
'quan'shi 拳师
'shang'fang 尚方
'shen'miao 神妙
'shen'wu 神物
'sheng'di 圣地
'sheng'hun 生魂
'shi'guai'wang 石怪王
'shi'kong 时空
'shui'yue 水月
'tu'hao'jin 土豪金
'wang'bo'zong 王博宗
'wang'wan'ru 王婉茹
'wu'hun 武魂
'wu'qi 武器
'wu'qian 武乾
'wu'ri'feng 无日峰
'wu'shen 武神
'wu'shen'ta 武神塔
'xiao'tuo'luo 小陀螺
'xing'yun 星云
'xiu'luo'wang 修罗王
'xuan'jia 玄甲
'xue'du'chong 血毒虫
'xue'sha 血鲨
'xue'yu'gong 雪域宫
'ya'man 亚曼
'ya'quan 亚全
'yan'hun 炎魂
'yao'guang 耀光
'ying'gu 硬骨
'yu'jian 御剑
'yu'long'lin 御龙林
'yu'mao 羽毛
'zha'han 扎汗
'zhao'die 召爹
'zhao'huan 召唤
'zhou'da'hai 咒大海
'zhou'shu 咒术
'zhu'e 朱恶
'zhu'fu 祝福
'zhu'li'ya 茱莉亚
'zhu'mo 烛魔
'zhu'mo'hun 烛魔魂
'zhu'xian 主线
